字號,字
1953,圻
1964,蘄
1965,機
1966,譏
1968,嘰
1970,磯
1972,饑
1974,幾
1978,璣
1981,希
1982,晞
1986,稀
1987,豨
1992,欷
1993,依
1995,衣
2001,沂
2003,巍
2005,歸
2006,㱕
2010,魚
2011,𩺰
2012,漁
2013,𩼪
2014,䰻
2015,䱷
2019,衙
2020,初
2022,書
2025,舒
2027,紓
2029,居
2031,据
2032,裾
2033,琚
2036,車
2043,渠
2047,磲
2069,余
2073,餘
2074,輿
2081,歟
2082,與
2085,舁
2086,擧
2087,妤
2088,伃
2091,予
2095,狳
2098,胥
2109,疽
2113,趄
2116,狙
2118,蛆
2125,鉏
2126,鋤
2131,攄
2135,疏
2136,梳
2138,蔬
2139,踈
2146,虛
2149,噓
2152,徐
2156,於
2157,扵
2159,淤
2161,豬
2162,䐗
2163,猪
2164,瀦
2168,閭
2170,廬
2171,蘆
2172,櫚
2173,驢
2184,諸
2185,櫧
2188,𧄔
2191,除
2192,躇
2193,儲
2194,涂
2204,如
2206,𨚴
2211,茹
2213,且
2218,虛
2219,墟
2221,袪
2230,菹
2231,𧂚
2234,蜍
2235,𧄔
2241,挐
2242,虞
2243,𩦢
2244,愚
2245,娛
2249,嵎
2251,禺
2252,隅
2262,芻
2264,無
2265,毋
2268,蕪
2269,誣
2270,巫
2286,于
2287,迂
2288,盂
2290,雩
2292,竽
2307,吁
2326,衢
2332,臞
2333,癯
2345,瞿
2350,蚼
2362,儒
2364,濡
2365,襦
2366,懦
2378,須
2379,鬚
2386,需
2392,株
2393,誅
2395,鼄
2396,蛛
2405,殊
2406,銖
2407,洙
2408,茱
2417,逾
2418,踰
2420,臾
2422,腴
2423,諛
2426,覦
2428,俞
2430,愉
2434,瑜
2439,榆
2443,渝
2448,瘉
2462,區
2464,驅
2465,敺
2466,嶇
2467,軀
2470,朱
2471,珠
2472,侏
2479,硃
2480,趨
2481,趍
2482,鯫
2483,趣
2487,瞜
2492,摟
2496,婁
2500,扶
2501,𢻳
2502,芙
2503,符
2505,鳧
2507,苻
2508,蚨
2509,夫
2527,雛
2528,鶵
2532,敷
2533,麩
2534,麱
2535,孚
2539,鋪
2541,俘
2547,孵
2552,稃
2553,𥹃
2554,莩
2575,跗
2576,趺
2577,膚
2578,肤
2587,夫
2590,扶
2596,紆
2603,迂
2608,輸
2611,樞
2612,姝
2616,廚
2617,躕
2621,拘
2622,駒
2629,跔
2631,俱
2632,痀
2640,模
2641,橅
2642,摸
2643,嫫
2646,謨
2651,膜
2653,匍
2657,菩
2658,䔕
2659,蒲
2662,胡
2665,壺
2666,狐
2669,瑚
2670,湖
2672,猢
2674,𪏻
2675,䊀
2676,𪍒
2677,糊
2678,弧
2679,乎
2680,𠂞
2682,瓠
2683,葫
2692,孤
2694,菰
2697,姑
2698,辜
2699,呱
2703,蛄
2705,鴣
2708,沽
2717,箍
2721,徒
2722,𨑒
2723,屠
2725,塗
2726,途
2731,涂
2734,荼
2735,圖
2736,啚
2752,奴
2753,㚢
2755,駑
2757,孥
2759,呼
2776,吾
2777,鼯
2778,𪁙
2779,𧋋
2780,吳
2786,蜈
2792,梧
2797,租
2799,盧
2803,蘆
2804,顱
2805,髗
2806,鱸
2807,攎
2808,櫨
2809,轤
2812,鸕
2813,艫
2815,瀘
2817,爐
2833,蘇
2834,穌
2836,酥
2837,徂
2838,䢐
2839,殂
2840,𣨐
2842,烏
2843,嗚
2844,洿
2845,污
2846,杇
2847,圬
2848,釫
2851,鎢
2853,於
2855,鄔
2866,晡
2876,枯
2882,跍
2883,挎
2887,麤
2888,麁
2891,觕
2893,粗
2906,都
2914,鋪
2925,齊
2926,臍
2928,蠐
2933,𨥦
2934,黎
2935,犂
2936,𤛿
2937,莉
2939,藜
2955,妻
2956,萋
2957,淒
2958,凄
2959,悽
2965,低
2973,隄
2974,堤
2983,䚣
2987,䬫
2989,嗁
2990,啼
2991,㖒
2992,蹏
2993,蹄
2995,提
2998,隄
3000,題
3003,綈
3007,締
3042,銻
3053,𦱔
3054,蓖
3056,篦
3066,雞
3067,鷄
3068,稽
3070,笄
3076,奚
3078,徯
3080,蹊
3089,嵇
3090,兮
3091,鼷
3106,倪
3108,霓
3114,猊
3115,麑
3116,貎
3117,鯢
3118,兒
3130,西
3131,卤
3132,卥
3133,棲
3134,栖
3136,犀
3137,嘶
3138,撕
3144,粞
3146,梯
3162,磇
3164,𠜱
3167,批
3169,齎
3177,擠
3185,迷
3191,泥
3192,埿
3195,谿
3196,嵠
3197,溪
3198,磎
3204,圭
3205,珪
3207,閨
3212,洼
3220,奎
3229,蝰
3234,攜
3235,携
3240,畦
3263,佳
3264,街
3266,鮭
3267,膎
3268,鞵
3269,鞋
3273,牌
3275,𥱼
3284,蝸
3287,蛙
3288,鼃
3289,咼
3290,喎
3295,柴
3302,查
3303,釵
3306,叉
3310,差
3312,竵
3319,崖
3320,涯
3327,娃
3328,洼
3329,哇
3332,崽
3333,籭
3341,皆
3342,偕
3343,䕸
3344,稭
3346,階
3351,堦
3355,街
3359,鍇
3360,𢰇
3361,諧
3363,骸
3368,鞋
3370,排
3373,牌
3376,乖
3377,𦮃
3380,懷
3383,槐
3388,淮
3392,匯
3395,豺
3396,儕
3399,差
3404,埋
3405,薶
3406,霾
3408,齋
3410,崴
3418,揩
3423,崽
3427,搋
3432,灰
3434,鼿
3437,虺
3438,恢
3439,詼
3441,魁
3445,盔
3447,煨
3451,偎
3453,揋
3457,回
3458,洄
3459,迴
3460,槐
3461,徊
3463,蚘
3469,茴
3470,枚
3471,梅
3472,媒
3473,玫
3474,煤
3480,莓
3483,䊈
3485,傀
3488,瑰
3495,雷
3496,𩂩
3504,鐳
3509,頹
3521,崔
3522,催
3523,縗
3531,堆
3543,挼
3548,摧
3549,崔
3553,裴
3554,徘
3555,培
3556,陪
3562,𤗏
3565,桮
3566,杯
3567,盃
3568,肧
3569,坏
3577,桅
3578,嵬
3585,推
3589,捼
3592,脧
3595,咍
3598,開
3603,哀
3604,埃
3605,唉
3609,臺
3610,擡
3611,菭
3612,苔
3624,該
3626,垓
3638,賅
3645,裁
3646,纔
3647,財
3648,才
3649,材
3654,來
3655,萊
3658,崍
3678,徠
3679,烖
3680,灾
3681,災
3682,𤆎
3683,栽
3684,哉
3691,猜
3697,胎
3698,孡
3700,台
3702,𧉟
3704,孩
