字號,字,聲母,韻母,調值,調類,備註
1,東,t,oŋ,44,陰平,
18,同,d,oŋ,24,陽平,"崑山方言的陽平調為132,此處為24,疑印刷有誤,當改為132較正確。"
63,中,ts,oŋ,44,陰平,當中之意
67,蟲,z,oŋ,24,陽平,"崑山方言的陽平調為132,此處為24,疑印刷有誤,當改為132較正確。"
75,終,ts,oŋ,44,陰平,
93,崇,z,oŋ,24,陽平,"崑山方言的陽平調為132,此處為24,疑印刷有誤,當改為132較正確。"
93,崇,z,oŋ,24,陰平,
97,嵩,s,oŋ,44,陰平,
106,戎,z,oŋ,24,陽平,"崑山方言的陽平調為132,此處為24,疑印刷有誤,當改為132較正確。"
114,絨,ȵ,ioŋ,24,陽平,"崑山方言的陽平調為132,此處為24,疑印刷有誤,當改為132較正確。"
115,弓,k,oŋ,44,陰平,
126,熊,ɦ,ioŋ,24,陽平,"崑山方言的陽平調為132,此處為24,疑印刷有誤,當改為132較正確。"
133,穹,tɕʰ,ioŋ,44,陰平,
140,窮,dʑ,ioŋ,24,陽平,"崑山方言的陽平調為132,此處為24,疑印刷有誤,當改為132較正確。"
143,馮,v,oŋ,24,陽平,"崑山方言的陽平調為132,此處為24,疑印刷有誤,當改為132較正確。"
150,風,f,oŋ,44,陰平,
157,豐,f,oŋ,44,陰平,
165,充,tsʰ,oŋ,44,陰平,
172,隆,l,oŋ,24,陽平,"崑山方言的陽平調為132,此處為24,疑印刷有誤,當改為132較正確。"
178,空,kʰ,oŋ,44,陰平,空虛之意
192,公,k,oŋ,44,陰平,
200,攻,k,oŋ,44,陰平,
205,蒙,m,oŋ,24,陽平,"崑山方言的陽平調為132,此處為24,疑印刷有誤,當改為132較正確。"
240,聾,l,oŋ,24,陽平,"崑山方言的陽平調為132,此處為24,疑印刷有誤,當改為132較正確。"
262,紅,ɦ,oŋ,24,陽平,"崑山方言的陽平調為132,此處為24,疑印刷有誤,當改為132較正確。"
282,叢,z,oŋ,24,陽平,"崑山方言的陽平調為132,此處為24,疑印刷有誤,當改為132較正確。"
287,翁,ʔ,oŋ,44,陰平,
297,葱,tsʰ,oŋ,44,陰平,
310,通,tʰ,oŋ,44,陰平,
343,篷,b,oŋ,24,陽平,"崑山方言的陽平調為132,此處為24,疑印刷有誤,當改為132較正確。"
351,烘,h,oŋ,44,陰平,
361,冬,t,oŋ,44,陰平,
401,農,n,oŋ,24,陽平,"崑山方言的陽平調為132,此處為24,疑印刷有誤,當改為132較正確。"
422,宗,ts,oŋ,44,陰平,
427,鍾,ts,oŋ,44,陰平,
445,龍,l,oŋ,24,陽平,"崑山方言的陽平調為132,此處為24,疑印刷有誤,當改為132較正確。"
460,松,s,oŋ,44,陰平,
465,衝,tsʰ,oŋ,44,陰平,衝鋒之意
475,容,ɦ,ioŋ,24,陽平,"崑山方言的陽平調為132,此處為24,疑印刷有誤,當改為132較正確。"
510,封,f,oŋ,44,陰平,
515,胷,ɕ,ioŋ,44,陰平,
530,雍,ʔ,ioŋ,44,陰平,
547,濃,ȵ,ioŋ,24,陽平,"崑山方言的陽平調為132,此處為24,疑印刷有誤,當改為132較正確。"
553,重,z,oŋ,24,陽平,"重複之意。崑山方言的陽平調為132,此處為24,疑印刷有誤,當改為132較正確。"
560,從,z,oŋ,24,陽平,"跟從之意。崑山方言的陽平調為132,此處為24,疑印刷有誤,當改為132較正確。"
571,縫,v,oŋ,24,陽平,"縫衣之意。崑山方言的陽平調為132,此處為24,疑印刷有誤,當改為132較正確。"
585,蜂,f,oŋ,44,陰平,
597,蹤,ts,oŋ,44,陰平,
633,恭,k,oŋ,44,陰平,
664,江,k,ã,44,陰平,
664,江,tɕ,iã,44,陰平,
698,䆫,tsʰ,ã,44,陰平,
706,邦,p,ã,44,陰平,
712,降,ɦ,ã,24,陽平,"投降之意。崑山方言的陽平調為132,此處為24,疑印刷有誤,當改為132較正確。"
725,雙,s,ã,44,陰平,
732,龐,b,ã,24,陽平,"崑山方言的陽平調為132,此處為24,疑印刷有誤,當改為132較正確。"
742,腔,tɕʰ,iã,44,陰平,
765,樁,ts,ã,44,陰平,
772,支,ts,ɿ,44,陰平,
801,移,ɦ,i,24,陽平,"崑山方言的陽平調為132,此處為24,疑印刷有誤,當改為132較正確。"
834,為,ɦ,uᴇ,24,陽平,作為之意
880,垂,z,ᴇ,24,陽平,
891,吹,tsʰ,ʮ,52,陰上,崑山方言古次清平聲多讀成陰平調，此字卻讀成陰上調。
892,炊,tsʰ,ᴇ,44,陰平,
897,披,pʰ,i,44,陰平,
908,碑,p,ᴇ,44,陰平,
917,隨,z,ᴇ,24,陽平,
920,虧,tɕʰ,y,44,陰平,
920,虧,kʰ,uᴇ,44,陰平,
923,奇,dʑ,i,24,陽平,"崑山方言的陽平調為132,此處為24,疑印刷有誤,當改為132較正確。"
959,犧,ɕ,i,44,陰平,
988,宜,ȵ,i,24,陽平,"崑山方言的陽平調為132,此處為24,疑印刷有誤,當改為132較正確。"
999,皮,b,i,24,陽平,"崑山方言的陽平調為132,此處為24,疑印刷有誤,當改為132較正確。"
1008,匙,z,ɿ,24,陽平,
1018,兒,ɦ,əl,24,陽平,
1018,兒,ȵ,i,24,陽平,"崑山方言的陽平調為132,此處為24,疑印刷有誤,當改為132較正確。"
1022,離,l,i,24,陽平,"離別之意。崑山方言的陽平調為132,此處為24,疑印刷有誤,當改為132較正確。"
1121,施,s,ɿ,44,陰平,
1188,雌,tsʰ,ɿ,44,陰平,
1193,知,ts,ɿ,44,陰平,
1194,䵹,ts,ɿ,44,陰平,
1195,鼅,ts,ɿ,44,陰平,
1196,蜘,ts,ɿ,44,陰平,
1210,馳,z,ɿ,24,陽平,
1212,池,z,ɿ,24,陽平,
1225,危,ʔ,uᴇ,44,陰平,
1251,規,k,uᴇ,44,陰平,
1278,脂,ts,ɿ,44,陰平,
1314,師,s,ɿ,44,陰平,
1323,琵,b,i,24,陽平,
1344,資,ts,ɿ,44,陰平,
