字號,字,聲母,韻母,調值,調類,備註
1,東,t,əŋ,55,陰平,
18,同,d,əŋ,221,陽平,
20,童,d,əŋ,221,陽平,
21,僮,d,əŋ,221,陽平,
22,銅,d,əŋ,221,陽平,
23,桐,d,əŋ,221,陽平,
28,筒,d,əŋ,221,陽平,
29,瞳,d,əŋ,221,陽平,
63,中,t,əŋ,,陰平,文/白
63,中,tɕ,iɔŋ,,陰平,
65,忠,tɕ,iɔŋ,55,陰平,
67,蟲,dʑ,iɔŋ,221,陽平,
68,沖,tɕʰ,iɔŋ,55,陰平,
75,終,tɕ,iɔŋ,55,陰平,
92,盅,tɕ,iɔŋ,55,陰平,
93,崇,ʑ,iɔŋ,221,陽平,
97,嵩,s,əŋ,55,陰平,
106,戎,ʑ,iɔŋ,221,陽平,
114,絨,ʑ,iɔŋ,221,陽平,
115,弓,k,əŋ,55,陰平,
117,躬,k,əŋ,55,陰平,
119,宮,k,əŋ,55,陰平,
121,融,ø,iɔŋ,221,陽平,
125,雄,ʑ,iɔŋ,221,陽平,
125,雄,ø,iɔŋ,221,陽平,文/白
126,熊,ʑ,iɔŋ,221,陽平,
140,窮,dʑ,iɔŋ,221,陽平,
143,馮,v,əŋ,221,陽平,
150,風,f,əŋ,55,陰平,
152,楓,f,əŋ,55,陰平,
157,豐,f,əŋ,55,陰平,
165,充,tɕʰ,iɔŋ,55,陰平,
172,隆,l,əŋ,221,陽平,
175,窿,l,əŋ,55,陰平,
178,空,kʰ,əŋ,55,陰平,~氣
192,公,k,əŋ,55,陰平,
193,功,k,əŋ,55,陰平,
194,工,k,əŋ,55,陰平,
196,蚣,k,əŋ,55,陰平,
200,攻,k,əŋ,55,陰平,
205,蒙,m,əŋ,,陰平,文/白/又
205,蒙,m,iaŋ,,陰平,
205,蒙,m,əŋ,,陰平,
223,蠓,m,iaŋ,55,陰平,
232,籠,l,əŋ,221,陽平,
240,聾,l,əŋ,221,陽平,
242,礱,l,əŋ,221,陽平,
245,嚨,l,əŋ,221,陽平,
259,洪,,əŋ,221,陽平,
262,紅,,əŋ,221,陽平,
282,叢,ʑ,iɔŋ,221,陽平,
287,翁,,əŋ,55,陰平,
295,怱,tsʰ,əŋ,55,陰平,
297,葱,tsʰ,əŋ,55,陰平,
300,聦,tsʰ,əŋ,55,陰平,
305,囪,tsʰ,əŋ,55,陰平,
310,通,tʰ,əŋ,55,陰平,
341,蓬,b,əŋ,221,陽平,
343,篷,b,əŋ,221,陽平,
351,烘,x,əŋ,55,陰平,文/白
351,烘,ɕ,iɔŋ,55,陰平,
361,冬,t,əŋ,55,陰平,
394,淙,ts,əŋ,55,陰平,
396,鬃,ts,əŋ,55,陰平,
401,農,n,əŋ,221,陽平,
412,膿,l,əŋ,212,陽去,文/白
412,膿,n,əŋ,212,陽去,
422,宗,ts,əŋ,55,陰平,
424,鬆,s,əŋ,55,陰平,
427,鍾,tɕ,iɔŋ,55,陰平,
428,鐘,tɕ,iɔŋ,55,陰平,
445,龍,l,iɔŋ,221,陽平,
454,舂,,iɔŋ,55,陰平,
