字號,字,聲母,韻母,調值,調類,備註
1,東,t,oŋ,33,陰平,
2,菄,t,oŋ,33,陰平,
18,同,h,oŋ,22,陽平,
19,仝,h,oŋ,22,陽平,
20,童,h,oŋ,22,陽平,
22,銅,h,oŋ,22,陽平,
23,桐,h,oŋ,22,陽平,
28,筒,h,oŋ,22,陽平,
29,瞳,h,oŋ,22,陽平,
63,中,ts,oŋ,33,陰平,當中。
65,忠,ts,oŋ,33,陰平,
67,蟲,tʰ,oŋ,22,陽平,
75,終,ts,oŋ,33,陰平,
93,崇,s,oŋ,22,陽平,
94,崈,s,oŋ,22,陽平,
97,嵩,s,oŋ,55,陰上,
98,崧,s,oŋ,55,陰上,
106,戎,(j),ioŋ,22,陽平,
107,𢦦,(j),ioŋ,22,陽平,
113,狨,ᵑg,oŋ,22,陽平,
114,絨,ᵑg,oŋ,22,陽平,
115,弓,k,oŋ,33,陰平,
116,躳,k,oŋ,33,陰平,
117,躬,k,oŋ,33,陰平,
119,宮,k,oŋ,33,陰平,
121,融,(j),ioŋ,22,陽平,
122,融,(j),ioŋ,22,陽平,
125,雄,h,oŋ,22,陽平,
126,熊,h,oŋ,22,陽平,
140,窮,kʰ,oŋ,22,陽平,
143,馮,f,oŋ,22,陽平,
150,風,f,oŋ,33,陰平,
151,飌,f,oŋ,33,陰平,
152,楓,f,oŋ,33,陰平,
157,豐,f,oŋ,33,陰平,
165,充,tʰ,oŋ,33,陰平,
172,隆,l,oŋ,22,陽平,
178,空,h,oŋ,33,陰平,空虛。
192,公,k,oŋ,33,陰平,
193,功,k,oŋ,33,陰平,
194,工,k,oŋ,33,陰平,
196,蚣,k,oŋ,33,陰平,蜈蚣。
200,攻,k,oŋ,33,陰平,攻擊。
205,蒙,ᵐb,oŋ,22,陽平,
232,籠,l,oŋ,22,陽平,
240,聾,l,oŋ,22,陽平,
259,洪,h,oŋ,22,陽平,
262,紅,h,oŋ,22,陽平,
263,虹,h,oŋ,22,陽平,
265,鴻,h,oŋ,22,陽平,
282,叢,tʰ,oŋ,22,陽平,
283,藂,tʰ,oŋ,22,陽平,
287,翁,(j),ioŋ,33,陰平,
295,怱,tʰ,oŋ,33,陰平,
296,忩,tʰ,oŋ,33,陰平,
297,葱,tʰ,oŋ,,,
300,聦,tʰ,oŋ,33,陰平,
305,囪,h,oŋ,33,陰平,煙囪。
310,通,h,oŋ,33,陰平,
327,騣,ts,oŋ,33,陰平,馬鬃。
