字號,字,聲母,韻母,調值,調類,備註
65,忠,pf,ɯŋ,31,陰平,白讀。
65,忠,ts,uŋ,31,陰平,文讀
140,窮,tɕʰ,yŋ,213,陽平,
150,風,f,ɯŋ,31,陰平,
262,紅,x,uŋ,213,陽平,
361,冬,t,uŋ,31,陰平,
401,農,l,ɯŋ,213,陽平,
445,龍,l,uŋ,213,陽平,
510,封,f,ɯŋ,31,陰平,
706,邦,p,ɯŋ,31,陰平,
725,雙,f,ɯŋ,31,陰平,
917,隨,s,uei,213,陽平,文讀
917,隨,ɕ,y,213,陽平,白讀。
1018,兒,z,ɿ,213,陽平,白讀。
1018,兒,0,ər,213,陽平,文讀
1193,知,ts,ɿ,31,陰平,知道。
1288,姨,0,i,213,陽平,
1314,師,s,ɿ,213,陽平,
1344,資,ts,ɿ,31,陰平,
1358,飢,tɕ,i,31,陰平,飢餓。
1410,遲,tsʰ,ɿ,213,陽平,
1661,時,s,ɿ,213,陽平,
1668,疑,ȵ,i,213,陽平,
1995,衣,ȵ,iɛ,31,陰平,估衣／老時衣（壽衣）。
1995,衣,ȵ,i,31,陰平,白讀
1995,衣,0,i,31,陰平,文讀
2010,魚,0,y,213,陽平,
2126,鋤,tsʰ,əu,213,陽平,
2161,豬,pf,u,31,陰平,
2173,驢,l,y,213,陽平,
2470,朱,pf,u,31,陰平,
2797,租,ts,əu,31,陰平,
2842,烏,0,u,31,陰平,
3066,雞,tɕ,i,31,陰平,
3130,西,ɕ,i,31,陰平,
3191,泥,ȵ,i,213,陽平,泥土。
3207,閨,k,yei,213,陽平,
3269,鞋,x,ai,213,陽平,
3273,牌,pʰ,ai,213,陽平,
3432,灰,x,yei,31,陰平,
3495,雷,l,yei,213,陽平,
3531,堆,t,yei,31,陰平,
3654,來,l,ai,213,陽平,文讀
3654,來,l,i,213,陽平,白讀。
3681,災,ts,æ,31,陰平,
3776,新,ɕ,ieɪ̃,31,陰平,
3794,人,z,eɪ̃,213,陽平,
4070,春,pfʰ,eɪ̃,31,陰平,
4150,雲,0,yeɪ̃,213,陽平,雲彩。
4219,分,f,eɪ̃,31,陰平,分開。
