字號,字,聲母,韻母,調值,調類,備註
67,蟲,ʂɦ,oŋ,35,陽平,
113,狨,ʐ,oŋ,35,陽平,
114,絨,ʐ,oŋ,35,陽平,
115,弓,k,oŋ,31,陰平,
125,雄,ʂɦ,oŋ,35,陽平,
157,豐,f,oŋ,31,陰平,
165,充,tʂʰ,oŋ,31,陰平,
192,公,k,oŋ,31,陰平,
262,紅,xɦ,oŋ,35,陽平,
287,翁,0,oŋ,31,陰平,
297,葱,tsʰ,oŋ,31,陰平,
310,通,tʰ,oŋ,31,陰平,
343,篷,fɦ,oŋ,35,陽平,
361,冬,t,oŋ,31,陰平,
362,𡘬,t,oŋ,31,陰平,
424,鬆,s,oŋ,31,陰平,鬆緊。
425,䯳,s,oŋ,31,陰平,鬆緊。
428,鐘,tʂ,oŋ,31,陰平,
445,龍,l,oŋ,35,陽平,
460,松,s,oŋ,31,陰平,松樹。
461,㮤,s,oŋ,31,陰平,松樹。
547,濃,n,oŋ,35,陽平,
584,蠭,f,oŋ,31,陰平,
585,蜂,f,oŋ,31,陰平,
586,𧒒,f,oŋ,31,陰平,
633,恭,k,oŋ,31,陰平,
698,䆫,tʂʰ,uã,31,陰平,
699,牎,tʂʰ,uã,31,陰平,
700,窓,tʂʰ,uã,31,陰平,
706,邦,p,ã,31,陰平,
707,𤰫,p,ã,31,陰平,
725,雙,ʂ,uã,31,陰平,
772,支,tʂ,ʅ,31,陰平,
891,吹,tʂʰ,uei,31,陰平,
908,碑,p,ei,31,陰平,
925,騎,ɕɦ,i,35,陽平,
959,犧,ɕ,i,31,陰平,
999,皮,fɦ,i,35,陽平,
1018,兒,0,ɚ,35,陽平,
1019,𠒆,0,ɚ,35,陽平,
1193,知,tʂ,ʅ,31,陰平,
1225,危,0,uei,35,陽平,
1288,姨,0,i,35,陽平,
1314,師,s,ɿ,31,陰平,
1317,篩,ʂ,ɛ,31,陰平,篩子。
1344,資,ts,ɿ,31,陰平,
1358,飢,tɕ,i,31,陰平,
1410,遲,ʂɦ,ʅ,35,陽平,
1411,遟,ʂɦ,ʅ,35,陽平,
1460,葵,xɦ,uei,35,陽平,
1468,追,tʂ,uei,31,陰平,
1471,龜,k,uei,31,陰平,
