字號,字,聲母,韻母,調值,調類,備註
1,東,t,uŋ,35,陰平,
2,菄,t,uŋ,35,陰平,
18,同,tʰ,uŋ,23,陽平,
19,仝,tʰ,uŋ,23,陽平,
20,童,tʰ,uŋ,23,陽平,
22,銅,tʰ,uŋ,23,陽平,
23,桐,tʰ,uŋ,23,陽平,
28,筒,tʰ,uŋ,23,陽平,
29,瞳,tʰ,uŋ,23,陽平,
63,中,ts,uŋ,35,陰平,當中。
65,忠,ts,uŋ,35,陰平,
67,蟲,tʰ,iuŋ,23,陽平,
75,終,ts,uŋ,35,陰平,
93,崇,tsʰ,uŋ,23,陽平,
94,崈,tsʰ,uŋ,23,陽平,
97,嵩,s,uŋ,35,陰平,
98,崧,s,uŋ,35,陰平,
106,戎,0,iuŋ,23,陽平,
107,𢦦,0,iuŋ,23,陽平,
113,狨,0,iuŋ,23,陽平,
114,絨,0,iuŋ,23,陽平,
115,弓,k,iuŋ,35,陰平,
116,躳,k,iuŋ,35,陰平,
117,躬,k,iuŋ,35,陰平,
119,宮,k,iuŋ,35,陰平,
121,融,0,iuŋ,23,陽平,
122,融,0,iuŋ,23,陽平,
125,雄,s,iuŋ,23,陽平,
126,熊,s,iuŋ,23,陽平,
140,窮,kʰ,iuŋ,23,陽平,
143,馮,f,uŋ,23,陽平,
150,風,f,uŋ,35,陰平,
151,飌,f,uŋ,35,陰平,
152,楓,f,uŋ,35,陰平,
157,豐,f,uŋ,35,陰平,
165,充,tsʰ,uŋ,35,陰平,
172,隆,l,uŋ,23,陽平,
178,空,h,uŋ,35,陰平,
192,公,k,uŋ,35,陰平,
193,功,k,uŋ,35,陰平,
194,工,k,uŋ,35,陰平,
196,蚣,k,uŋ,35,陰平,
200,攻,k,uŋ,35,陰平,
205,蒙,m,uŋ,23,陽平,
232,籠,l,uŋ,23,陽平,
240,聾,l,uŋ,35,陰平,
259,洪,h,uŋ,23,陽平,
262,紅,h,uŋ,23,陽平,
263,虹,k,aŋ,35,陰平,
265,鴻,h,uŋ,23,陽平,
282,叢,ts,uŋ,23,陽平,
283,藂,ts,uŋ,23,陽平,
287,翁,0,uŋ,35,陰平,
295,怱,tsʰ,uŋ,35,陰平,
296,忩,tsʰ,uŋ,35,陰平,
297,葱,tsʰ,uŋ,35,陰平,
300,聦,tsʰ,uŋ,35,陰平,
305,囪,tʰ,uŋ,35,陰平,
310,通,tʰ,uŋ,35,陰平,
326,椶,ts,uŋ,35,陰平,
327,騣,ts,uŋ,35,陰平,
341,蓬,p,uŋ,23,陽平,
343,篷,p,uŋ,23,陽平,
351,烘,h,uŋ,35,陰平,
361,冬,t,uŋ,35,陰平,
362,𡘬,t,uŋ,35,陰平,
369,疼,tʰ,ɐŋ,21,陽去,
401,農,n,uŋ,23,陽平,
402,䢉,n,uŋ,23,陽平,
403,辳,n,uŋ,23,陽平,
404,𨑋,n,uŋ,23,陽平,
411,𧗕,n,uŋ,23,陽平,
412,膿,n,uŋ,23,陽平,
422,宗,ts,uŋ,35,陰平,
424,鬆,s,uŋ,35,陰平,松散。
425,䯳,s,uŋ,35,陰平,松散。
427,鍾,ts,uŋ,35,陰平,
428,鐘,ts,uŋ,35,陰平,
445,龍,l,iuŋ,23,陽平,
454,舂,tsʰ,uŋ,35,陰平,
460,松,tsʰ,uŋ,21,陽去,松樹。
461,㮤,tsʰ,uŋ,21,陽去,松樹。
464,𧘂,tsʰ,uŋ,35,陰平,
465,衝,tsʰ,uŋ,35,陰平,
475,容,0,iuŋ,23,陽平,
478,庸,0,iuŋ,23,陽平,
479,𦤘,0,iuŋ,23,陽平,
484,鎔,0,iuŋ,23,陽平,
493,蓉,0,iuŋ,23,陽平,
510,封,f,uŋ,35,陰平,
511,𡉚,f,uŋ,35,陰平,
515,胷,s,iuŋ,35,陰平,
516,凶,s,iuŋ,35,陰平,吉凶。
517,𣧑,s,iuŋ,35,陰平,吉凶。
522,兇,s,iuŋ,35,陰平,凶惡。
530,雍,0,iuŋ,35,陰平,
536,癰,s,iuŋ,33,上聲,
547,濃,n,uŋ,23,陽平,
553,重,tsʰ,uŋ,23,陽平,重複。
560,從,tsʰ,uŋ,23,陽平,跟從。
561,从,tsʰ,uŋ,23,陽平,跟從。
570,逢,f,uŋ,23,陽平,
571,縫,f,uŋ,23,陽平,縫衣服。
