字號,字,聲母,韻母,調值,調類,備註
1,東,t,uoŋ,21,陰平,
11,凍,t,uoŋ,55,去,
18,同,tʰ,uoŋ,24,陽平,
20,童,tʰ,uoŋ,24,陽平,
22,銅,tʰ,uoŋ,24,陽平,
23,桐,tʰ,uoŋ,24,陽平,
28,筒,tʰ,uoŋ,53,上,
29,瞳,tʰ,uoŋ,24,陽平,
63,中,pf,əŋ,21,陰平,當中
64,衷,pf,əŋ,21,陰平,
65,忠,pf,əŋ,21,陰平,
67,蟲,pfʰ,əŋ,24,陽平,
75,終,pf,əŋ,21,陰平,
76,眾,pf,əŋ,55,去,
92,盅,pf,əŋ,21,陰平,語料作「職容切」
93,崇,pfʰ,əŋ,24,陽平,
106,戎,v,əŋ,24,陽平,
114,絨,v,əŋ,24,陽平,
115,弓,k,uoŋ,21,陰平,
117,躬,k,uoŋ,21,陰平,
119,宮,k,uoŋ,21,陰平,
121,融,0,yoŋ,24,陽平,
125,雄,ɕ,yoŋ,24,陽平,
126,熊,ɕ,yoŋ,24,陽平,
140,窮,tɕʰ,yoŋ,24,陽平,
143,馮,f,əŋ,24,陽平,
150,風,f,əŋ,21,陰平,
152,楓,f,əŋ,21,陰平,
157,豐,f,əŋ,21,陰平,
165,充,pfʰ,əŋ,53,上,
165,充,pfʰ,əŋ,21,陰平,未註明異讀原因
172,隆,l,uoŋ,24,陽平,
178,空,kʰ,uoŋ,21,陰平,空虛
192,公,k,uoŋ,21,陰平,
193,功,k,uoŋ,21,陰平,
194,工,k,uoŋ,21,陰平,
200,攻,k,uoŋ,53,上,
205,蒙,m,əŋ,24,陽平,
232,籠,l,uoŋ,24,陽平,鳥籠
240,聾,l,uoŋ,24,陽平,
259,洪,x,uoŋ,24,陽平,
259,洪,x,uoŋ,55,去,未註明異讀原因
262,紅,x,uoŋ,24,陽平,
263,虹,x,uŋ,24,陽平,"文,白"
263,虹,tɕ,iaŋ,55,去,
265,鴻,x,uoŋ,24,陽平,
282,叢,tsʰ,uoŋ,24,陽平,
287,翁,0,uoŋ,21,陰平,
297,葱,tsʰ,uoŋ,21,陰平,
300,聦,tsʰ,uoŋ,21,陰平,
310,通,tʰ,uoŋ,21,陰平,
341,蓬,pʰ,陽平,,24,
343,篷,pʰ,əŋ,24,陽平,
351,烘,x,uoŋ,21,陰平,
361,冬,t,uoŋ,21,陰平,
396,鬃,ts,uoŋ,21,陰平,
401,農,l,uoŋ,24,陽平,
412,膿,n,uoŋ,24,陽平,
413,攻,k,uoŋ,53,上,
422,宗,ts,uoŋ,21,陰平,
424,鬆,s,uoŋ,21,陰平,
427,鍾,pf,əŋ,21,陰平,
428,鐘,pf,əŋ,21,陰平,
445,龍,l,uoŋ,24,陽平,
454,舂,pfʰ,æ̃,53,上,
454,舂,pfʰ,əŋ,21,陰平,"正,俗."
460,松,s,uoŋ,21,陰平,
