字號,字,聲母,韻母,調值,調類,備註
65,忠,tʂ,uəŋ,41,陰平,
140,窮,tɕʰ,yəŋ,24,陽平,
150,風,x,uəŋ,41,陰平,
262,紅,x,uəŋ,24,陽平,
361,冬,t,uəŋ,41,陰平,
401,農,n,uəŋ,24,陽平,
445,龍,l,yəŋ,24,陽平,
510,封,x,uəŋ,41,陰平,
706,邦,p,æ,41,陰平,
725,雙,s,uæ,41,陰平,
917,隨,ɕ,y,24,陽平,白讀。
917,隨,s,uei,24,陽平,文讀
1018,兒,z,ɿ,24,陽平,
1018,兒,0,ər,24,陽平,
1193,知,tʂ,ʅ,41,陰平,知道。
1288,姨,0,i,24,陽平,
1314,師,s,ɿ,41,陰平,
1344,資,ts,ɿ,41,陰平,
1358,飢,tɕ,i,41,陰平,飢餓。
1410,遲,tsʰ,ɿ,24,陽平,印刷為35此地陽平應為24。
1661,時,s,ɿ,24,陽平,
1668,疑,n,i,24,陽平,
1995,衣,n,i,41,陰平,
2010,魚,0,y,24,陽平,
2126,鋤,tʂʰ,əu,24,陽平,
2161,豬,tʂ,u,41,陰平,
2173,驢,l,y,31,上聲,
2470,朱,tʂ,u,41,陰平,
2797,租,ts,əu,41,陰平,
2842,烏,0,u,41,陰平,
3066,雞,tɕ,i,41,陰平,
3130,西,ɕ,i,41,陰平,
3191,泥,n,i,24,陽平,泥土。
3207,閨,k,uei,41,陰平,
3269,鞋,x,æ,24,陽平,
3273,牌,pʰ,æ,24,陽平,
3432,灰,0,uei,41,陰平,
3495,雷,l,uei,24,陽平,
3531,堆,t,uɛi,41,陰平,
3654,來,l,ai,24,陽平,
3681,災,ts,ai,41,陰平,
3776,新,ɕ,iəŋ,41,陰平,
3794,人,ʐ,əŋ,24,陽平,
4070,春,tsʰ,uəŋ,41,陰平,
4150,雲,0,yəŋ,24,陽平,雲彩。
4219,分,x,uəŋ,41,陰平,分開。
4422,言,n,iɑŋ,24,陽平,
4623,恩,ŋ,əŋ,41,陰平,
4626,吞,tʰ,əŋ,41,陰平,
4655,安,ŋ,æ,41,陰平,
4808,酸,s,uæ,41,陰平,
4813,團,tʰ,uɑŋ,24,陽平,
4834,官,k,uæ,41,陰平,
4858,歡,x,uæ,41,陰平,
4933,般,p,æ,41,陰平,
4941,關,k,uæ,41,陰平,
4954,環,x,uɑŋ,24,陽平,
4973,班,p,æ,41,陰平,
4995,姦,tɕ,iæ,41,陰平,奸詐。
5009,山,s,æ,41,陰平,
5190,年,n,iɑŋ,24,陽平,
5309,錢,tɕʰ,iɑŋ,24,陽平,
5388,纏,ts,æ,31,上聲,白讀。
5388,纏,tsʰ,ɑŋ,24,陽平,文讀
5449,全,tɕʰ,yɑŋ,24,陽平,
5575,圓,0,yɑŋ,24,陽平,
5605,拳,tɕʰ,yɑŋ,24,陽平,
5700,條,tʰ,iɔo,24,陽平,
6191,抓,ts,ua,41,陰平,
6251,高,k,ɔo,41,陰平,
6359,袍,pʰ,ɔo,24,陽平,
6370,桃,tʰ,ɔo,24,陽平,
6478,多,t,ə,41,陰平,
6552,羅,l,ə,24,陽平,
6572,河,x,ə,24,陽平,
6597,鍋,k,uə,41,陰平,
6624,婆,pʰ,ə,24,陽平,
6666,騾,l,ə,24,陽平,
6731,茄,tɕʰ,iæ,24,陽平,茄子。
6742,瘸,tɕʰ,yɛ,24,陽平,印刷為35此地陽平應為24。
6786,蛇,ʂ,ə,24,陽平,
6799,瓜,k,ua,41,陰平,
6807,花,x,ua,41,陰平,
6828,家,tɕ,ia,41,陰平,
6907,牙,n,ia,24,陽平,
6931,茶,tsʰ,a,24,陽平,
6942,斜,ɕ,iæ,24,陽平,
7005,羊,0,iɑŋ,24,陽平,
7137,張,ts,æ,41,陰平,
7269,王,0,uɑŋ,24,陽平,
7367,當,t,æ,41,陰平,應當。
7401,桑,s,uə,41,陰平,
7435,黃,x,uɑŋ,24,陽平,
7467,光,k,uæ,41,陰平,
7608,橫,x,əŋ,24,陽平,橫豎。
7718,榮,ʐ,uəŋ,24,陽平,
7727,生,s,ə,41,陰平,白讀。
7727,生,s,əŋ,41,陰平,文讀
7765,耕,k,əŋ,41,陰平,
7795,宏,x,uəŋ,24,陽平,
7902,爭,ts,əŋ,41,陰平,
7916,精,tɕ,iæ,41,陰平,白讀。
7916,精,tɕ,iəŋ,41,陰平,文讀
7943,營,0,iəŋ,24,陽平,
8136,鈴,l,iæ,24,陽平,白讀。白讀調值印刷為35此地陽平應為24。
8136,鈴,l,iəŋ,24,陽平,文讀
8224,聽,tʰ,iɛ,41,陰平,聽見。
8266,螢,0,iəŋ,24,陽平,
8321,冰,p,iəŋ,41,陰平,文讀
8321,冰,p,iæ,41,陰平,白讀。
8324,繩,ʂ,əŋ,24,陽平,印刷為35此地陽平應為24。
8482,留,l,iəu,24,陽平,
8588,牛,n,iəu,24,陽平,
8736,愁,tsʰ,əu,24,陽平,
8864,謀,m,u,24,陽平,
9107,林,l,iəŋ,24,陽平,
9123,針,tʂ,əŋ,41,陰平,
9176,心,ɕ,iəŋ,41,陰平,
9320,南,n,ɑŋ,24,陽平,
9367,蠶,tsʰ,ɑŋ,24,陽平,
9444,三,s,æ,41,陰平,
9670,甜,tʰ,iɑŋ,24,陽平,
9704,鹹,ɕ,iɑŋ,24,陽平,咸魚。
9725,杉,s,æ,41,陰平,
9792,衫,s,æ,41,陰平,
10028,紙,ts,ɿ,31,上聲,
10312,跪,kʰ,uei,55,去聲,
10517,耳,z,ɿ,31,上聲,白讀。
10517,耳,0,iə,31,上聲,文讀
10648,鬼,k,uei,31,上聲,
10748,女,n,y,31,上聲,
11012,土,tʰ,u,31,上聲,
11025,魯,l,əu,31,上聲,
11088,祖,ts,əu,31,上聲,
11118,戶,x,u,55,去聲,
11217,洗,ɕ,i,31,上聲,
11296,矮,n,æ,31,上聲,
11301,解,ts,æ,31,上聲,解開。
11309,枴,k,uæ,24,陽平,拐杖。
11376,每,m,ei,31,上聲,
11467,改,k,ei,31,上聲,白讀。
11467,改,k,æ,31,上聲,文讀
11631,允,0,yəŋ,31,上聲,
12073,滿,m,ɑŋ,31,上聲,
12139,限,ɕ,iæ,55,去聲,
12166,眼,n,iɑŋ,31,上聲,
12213,繭,tɕ,iɑŋ,31,上聲,
12596,鳥,n,iɔo,31,上聲,
12677,趙,tsʰ,ɔo,55,去聲,
12856,炒,tsʰ,ɔo,31,上聲,
