字號,字,聲母,韻母,調值,調類,備註
1,東,t,ən,33,陰平,
18,同,t,ən,13,陽平,
20,童,t,ən,13,陽平,
22,銅,t,ən,13,陽平,
23,桐,t,ən,13,陽平,
28,筒,t,ən,13,陽平,
29,瞳,t,ən,13,陽平,
63,中,ts,ən,33,陰平,當中
64,衷,ts,ən,33,陰平,
65,忠,ts,ən,33,陰平,
67,蟲,ts,ən,13,陽平,
75,終,ts,ən,33,陰平,
92,盅,ts,ən,33,陰平,
93,崇,ts,ən,13,陽平,
106,戎,0,in,13,陽平,
114,絨,0,in,13,陽平,
115,弓,k,ən,33,陰平,
117,躬,k,ən,33,陰平,
119,宮,k,ən,33,陰平,
121,融,0,in,13,陽平,
125,雄,ɕ,in,13,陽平,
126,熊,ɕ,in,13,陽平,
140,窮,tɕ,in,13,陽平,
143,馮,x,ən,13,陽平,
150,風,x,ən,33,陰平,
152,楓,x,ən,33,陰平,
157,豐,x,ən,33,陰平,
165,充,tsʰ,ən,33,陰平,
172,隆,l,ən,13,陽平,
178,空,kʰ,ən,33,陰平,空虛
192,公,k,ən,33,陰平,
193,功,k,ən,33,陰平,
194,工,k,ən,33,陰平,
200,攻,k,ən,33,陰平,
205,蒙,m,ən,41,上,
205,蒙,m,ən,13,陽平,未註明異讀原因
232,籠,l,ən,13,陽平,
240,聾,l,ən,33,陰平,
259,洪,x,ən,13,陽平,
262,紅,x,ən,13,陽平,
263,虹,x,ən,13,陽平,"文,白"
263,虹,k,an,45,陰去,
265,鴻,x,ən,13,陽平,
282,叢,ts,ən,13,陽平,
287,翁,ŋ,ən,33,陰平,
297,葱,tsʰ,ən,33,陰平,
300,聦,tsʰ,ən,33,陰平,
310,通,tʰ,ən,33,陰平,
341,蓬,p,ən,13,陽平,
343,篷,p,ən,13,陽平,
351,烘,x,ən,33,陰平,
361,冬,t,ən,33,陰平,
396,鬃,ts,ən,33,陰平,
401,農,l,ən,13,陽平,
412,膿,l,ən,13,陽平,
422,宗,ts,ən,33,陰平,
424,鬆,s,ən,33,陰平,
427,鍾,ts,ən,33,陰平,鐘愛
428,鐘,ts,ən,33,陰平,鐘點
445,龍,l,ən,13,陽平,
454,舂,tsʰ,ən,33,陰平,
460,松,s,ən,33,陰平,"文,白"
460,松,ts,ən,13,陽平,
465,衝,tsʰ,ən,33,陰平,
475,容,0,in,13,陽平,
476,溶,0,in,13,陽平,
510,封,x,ən,33,陰平,
515,胷,ɕ,in,33,陰平,
516,凶,ɕ,in,33,陰平,
522,兇,ɕ,in,33,陰平,
524,匈,ɕ,in,33,陰平,
547,濃,l,ən,13,陽平,
553,重,ts,ən,13,陽平,重複
560,從,ts,ən,13,陽平,服從
570,逢,x,ən,13,陽平,
571,縫,x,ən,13,陽平,縫補
578,峯,x,ən,33,陰平,
579,鋒,x,ən,33,陰平,
585,蜂,x,ən,33,陰平,
595,縱,ts,ən,45,陰去,
597,蹤,ts,ən,33,陰平,
604,茸,0,in,13,陽平,
633,恭,k,ən,33,陰平,
635,供,k,ən,33,陰平,供給
664,江,tɕ,ian,33,陰平,
698,䆫,tɕʰ,yan,33,陰平,
706,邦,p,an,33,陰平,
712,降,ɕ,ian,13,陽平,投降
713,缸,k,an,33,陰平,
725,雙,ɕ,yan,33,陰平,
732,龐,p,an,13,陽平,
742,腔,tɕʰ,ian,33,陰平,
765,樁,tɕ,yan,33,陰平,
772,支,ts,ɿ,33,陰平,
779,枝,ts,ɿ,33,陰平,
783,肢,ts,ɿ,33,陰平,
801,移,0,i,13,陽平,
834,為,0,uei,13,陽平,
880,垂,tɕ,yei,13,陽平,
891,吹,tɕʰ,yei,33,陰平,
892,炊,tɕʰ,yei,33,陰平,
897,披,pʰ,i,33,陰平,
908,碑,p,ei,33,陰平,
917,隨,s,ei,13,陽平,
918,隋,s,ei,13,陽平,
920,虧,kʰ,uei,33,陰平,
923,奇,tɕ,i,13,陽平,
925,騎,tɕ,i,13,陽平,
959,犧,ɕ,i,33,陰平,
988,宜,0,i,0,輕聲,
988,宜,ȵ,i,13,陽平,未註明異讀原因
992,儀,ȵ,i,13,陽平,
999,皮,p,i,13,陽平,
1000,疲,p,i,13,陽平,
1008,匙,tsʰ,ɿ,33,陰平,未註明異讀原因
1008,匙,s,ɿ,0,輕聲,
1018,兒,0,ɤ,13,陽平,
1022,離,l,i,13,陽平,離別
1023,籬,l,i,13,陽平,
1093,卑,p,ei,33,陰平,
1107,脾,p,i,13,陽平,
1121,施,s,ɿ,33,陰平,
1131,斯,s,ɿ,33,陰平,
1171,彌,m,ei,13,陽平,
1188,雌,tsʰ,ɿ,33,陰平,
1193,知,ts,ɿ,33,陰平,知道
1196,蜘,ts,ɿ,24,入,
1196,蜘,ts,ɿ,33,陰平,未註明異讀原因
1210,馳,ts,ɿ,13,陽平,
1212,池,tsʰ,ɿ,13,陽平,
1225,危,0,uei,13,陽平,
1251,規,k,uei,33,陰平,
1278,脂,ts,ɿ,33,陰平,
1288,姨,0,i,13,陽平,
1290,寅,0,in,13,陽平,
1291,夷,0,i,13,陽平,
1314,師,s,ɿ,33,陰平,
1317,篩,s,ai,33,陰平,
1318,獅,s,ɿ,33,陰平,
1344,資,ts,ɿ,33,陰平,
1350,姿,ts,ɿ,33,陰平,
1358,飢,tɕ,i,33,陰平,
1360,肌,tɕ,i,33,陰平,
1393,瓷,ts,ɿ,13,陽平,
1398,尼,ȵ,i,13,陽平,
1403,呢,ȵ,i,13,陽平,呢絨
1410,遲,ts,ɿ,13,陽平,
1421,私,s,ɿ,33,陰平,
1428,屍,s,ɿ,33,陰平,
1437,祁,tɕ,i,13,陽平,
1439,鰭,tɕ,i,13,陽平,
1447,梨,l,i,13,陽平,
1460,葵,k,uei,13,陽平,
1468,追,tɕ,yei,33,陰平,
1471,龜,k,uei,33,陰平,
1484,衰,ɕ,yai,33,陰平,
1489,維,0,uei,13,陽平,
1490,遺,0,i,13,陽平,
1497,唯,0,uei,13,陽平,
1514,雖,s,ei,33,陰平,
1544,眉,m,ei,13,陽平,
1565,悲,p,ei,33,陰平,
1566,錐,tɕ,yei,33,陰平,
1574,誰,ɕ,yei,13,陽平,
1602,鎚,tɕ,yei,13,陽平,
1630,之,ts,ɿ,33,陰平,
1632,芝,ts,ɿ,33,陰平,
1661,時,s,ɿ,13,陽平,
1668,疑,ȵ,i,13,陽平,
1671,思,s,ɿ,33,陰平,
1673,司,s,ɿ,33,陰平,
1676,絲,s,ɿ,33,陰平,
1688,其,tɕ,i,13,陽平,
1689,期,tɕʰ,i,13,陽平,
1690,旗,tɕ,i,13,陽平,
1698,麒,tɕ,i,13,陽平,
1706,碁,tɕ,i,13,陽平,
1718,詩,s,ɿ,33,陰平,
1724,而,0,ɤ,13,陽平,
1745,欺,tɕʰ,i,33,陰平,
1759,基,tɕ,i,33,陰平,
1768,詞,ts,ɿ,13,陽平,
1769,祠,ts,ɿ,13,陽平,
1771,辭,ts,ɿ,13,陽平,
1775,釐,l,i,13,陽平,
1777,狸,l,i,13,陽平,
1825,醫,0,i,33,陰平,
1834,痴,tsʰ,ɿ,33,陰平,
1836,持,ts,ɿ,13,陽平,
1845,慈,ts,ɿ,13,陽平,
1846,礠,ts,ɿ,13,陽平,
1854,滋,ts,ɿ,33,陰平,
1868,微,0,uei,13,陽平,
1876,揮,f,ei,33,陰平,
1878,輝,f,ei,33,陰平,
1880,徽,f,ei,33,陰平,
1893,圍,0,uei,13,陽平,
1896,違,0,uei,13,陽平,
1906,妃,f,ei,33,陰平,
1914,飛,f,ei,33,陰平,
1918,非,f,ei,33,陰平,
1925,肥,f,ei,13,陽平,
1937,威,0,uei,33,陰平,
1945,祈,tɕ,i,13,陽平,
1965,機,tɕ,i,33,陰平,
1966,譏,tɕ,i,33,陰平,
1972,饑,tɕ,i,33,陰平,
1974,幾,tɕ,i,33,陰平,
1981,希,ɕ,i,33,陰平,
1986,稀,ɕ,i,33,陰平,
1993,依,0,i,33,陰平,
1995,衣,0,i,33,陰平,
2005,歸,k,uei,33,陰平,
2010,魚,0,y,13,陽平,
2020,初,tsʰ,əu,33,陰平,
2022,書,ɕ,y,33,陰平,
2025,舒,ɕ,y,33,陰平,
2029,居,tɕ,y,33,陰平,
2043,渠,tɕʰ,y,13,陽平,
2069,余,0,y,13,陽平,
2073,餘,0,y,13,陽平,
2118,蛆,tɕʰ,i,33,陰平,
2126,鋤,ts,əu,13,陽平,
2135,疏,s,əu,33,陰平,
2136,梳,s,əu,33,陰平,
2146,虛,ɕ,y,33,陰平,
2149,噓,ɕ,y,33,陰平,
2152,徐,ɕ,i,13,陽平,
2156,於,0,y,13,陽平,
2159,淤,0,y,33,陰平,
2161,豬,tɕ,y,33,陰平,
2173,驢,l,i,13,陽平,
2173,驢,l,əu,13,陽平,"文,白"
2184,諸,tɕ,y,33,陰平,
2191,除,tɕ,y,13,陽平,
2193,儲,tɕ,y,13,陽平,
2204,如,0,y,13,陽平,
2219,墟,ɕ,y,33,陰平,
2242,虞,0,y,13,陽平,
2244,愚,0,y,13,陽平,
2245,娛,0,y,13,陽平,
2264,無,0,u,13,陽平,
2286,于,0,y,13,陽平,
2288,盂,0,y,13,陽平,
2345,瞿,tɕ,y,13,陽平,
2362,儒,0,y,13,陽平,
2378,須,ɕ,i,33,陰平,
2379,鬚,ɕ,i,33,陰平,
2386,需,ɕ,y,33,陰平,
2392,株,tɕ,y,33,陰平,
2396,蛛,tɕ,y,33,陰平,
2405,殊,ɕ,y,33,陰平,
2430,愉,0,y,13,陽平,
2439,榆,0,y,13,陽平,
2462,區,tɕʰ,y,33,陰平,
2464,驅,tɕʰ,y,33,陰平,
2467,軀,tɕʰ,y,33,陰平,
2470,朱,tɕ,y,33,陰平,
2471,珠,tɕ,y,33,陰平,
2480,趨,tɕʰ,y,33,陰平,
2500,扶,f,u,13,陽平,
2503,符,f,u,13,陽平,
2532,敷,f,u,33,陰平,
2533,麩,f,u,33,陰平,
2577,膚,f,u,33,陰平,
2587,夫,f,u,33,陰平,
2608,輸,ɕ,y,33,陰平,
2616,廚,tɕ,y,13,陽平,
2621,拘,tɕ,y,33,陰平,
2622,駒,tɕ,y,33,陰平,
2640,模,m,o,13,陽平,
2659,蒲,p,u,13,陽平,
2662,胡,f,u,13,陽平,
2665,壺,f,u,13,陽平,
2666,狐,f,u,13,陽平,
2670,湖,f,u,13,陽平,
2677,糊,f,u,13,陽平,
2683,葫,f,u,13,陽平,
2692,孤,k,u,33,陰平,
2697,姑,k,u,33,陰平,
2717,箍,k,u,33,陰平,
2721,徒,t,əu,13,陽平,
2723,屠,t,əu,13,陽平,
2725,塗,tʰ,u,13,陽平,
2726,途,t,əu,13,陽平,
2735,圖,t,əu,13,陽平,
2752,奴,l,əu,13,陽平,
2759,呼,f,u,33,陰平,
2780,吳,0,u,13,陽平,
2792,梧,0,u,13,陽平,
2797,租,ts,əu,33,陰平,
2799,盧,l,əu,13,陽平,
2803,蘆,l,əu,13,陽平,
2817,爐,l,əu,13,陽平,
2833,蘇,s,əu,33,陰平,
2836,酥,s,əu,33,陰平,
2842,烏,0,u,33,陰平,
2876,枯,kʰ,u,33,陰平,
2893,粗,tsʰ,əu,33,陰平,
2906,都,t,əu,33,陰平,
2914,鋪,pʰ,u,33,陰平,鋪設
2925,齊,tɕʰ,i,13,陽平,
2926,臍,tɕʰ,i,45,陰去,
