字號,字,聲母,韻母,調值,調類,備註
1,東,t,əŋ,35,陰平,
2,菄,t,əŋ,35,陰平,
18,同,tʰ,əŋ,12,陽平,
19,仝,tʰ,əŋ,12,陽平,
20,童,tʰ,əŋ,31,陽去,
22,銅,tʰ,əŋ,12,陽平,
23,桐,tʰ,əŋ,12,陽平,
28,筒,tʰ,əŋ,12,陽平,
29,瞳,tʰ,ən,31,陽去,
63,中,tɕ,oŋ,35,陰平,當中。
65,忠,tɕ,oŋ,35,陰平,
67,蟲,tʰ,ioŋ,12,陽平,
75,終,ts,oŋ,33,上聲,
93,崇,tsʰ,oŋ,31,陽去,
94,崈,tsʰ,oŋ,31,陽去,
97,嵩,s,əŋ,35,陰平,
98,崧,s,əŋ,35,陰平,
106,戎,,ioŋ,12,陽平,
107,𢦦,,ioŋ,12,陽平,
113,狨,,ioŋ,12,陽平,
114,絨,,ioŋ,12,陽平,
115,弓,k,ioŋ,35,陰平,
116,躳,k,əŋ,33,上聲,
117,躬,k,əŋ,33,上聲,
119,宮,k,əŋ,33,上聲,
121,融,,ioŋ,31,陽去,
122,融,,ioŋ,31,陽去,
125,雄,h,ioŋ,12,陽平,
126,熊,h,ioŋ,12,陽平,
140,窮,kʰ,ioŋ,12,陽平,
143,馮,f,oŋ,12,陽平,
150,風,f,oŋ,35,陰平,
151,飌,f,oŋ,35,陰平,
152,楓,f,oŋ,31,陽去,
157,豐,f,oŋ,33,上聲,
165,充,tsʰ,oŋ,35,陰平,
172,隆,l,əŋ,31,陽去,
178,空,h,oŋ,35,陰平,空虛。
192,公,k,əŋ,35,陰平,
193,功,k,əŋ,35,陰平,
194,工,k,əŋ,35,陰平,
196,蚣,k,əŋ,35,陰平,蜈蚣。
200,攻,k,əŋ,35,陰平,攻擊。
205,蒙,m,əŋ,12,陽平,
232,籠,l,oŋ,12,陽平,
240,聾,l,oŋ,12,陽平,
259,洪,h,oŋ,12,陽平,
262,紅,h,oŋ,12,陽平,
263,虹,h,oŋ,12,陽平,
265,鴻,h,oŋ,31,陽去,
282,叢,tsʰ,əŋ,31,陽去,
283,藂,tsʰ,əŋ,31,陽去,
287,翁,0,oŋ,35,陰平,
295,怱,tsʰ,əŋ,31,陽去,
296,忩,tsʰ,əŋ,31,陽去,
297,葱,tsʰ,oŋ,35,陰平,
300,聦,tsʰ,əŋ,31,陽去,
305,囪,tsʰ,oŋ,35,陰平,烟囪。
310,通,tʰ,əŋ,35,陰平,
327,騣,ts,oŋ,35,陰平,
341,蓬,pʰ,əŋ,12,陽平,
343,篷,pʰ,əŋ,12,陽平,
351,烘,h,oŋ,35,陰平,烘乾。
361,冬,t,oŋ,35,陰平,
362,𡘬,t,oŋ,35,陰平,
369,疼,tʰ,əŋ,51,陰去,
401,農,n,əŋ,12,陽平,
402,䢉,n,əŋ,12,陽平,
403,辳,n,əŋ,12,陽平,
404,𨑋,n,əŋ,12,陽平,
410,儂,n,əŋ,12,陽平,我、你。
411,𧗕,n,əŋ,12,陽平,
412,膿,n,əŋ,12,陽平,
422,宗,ts,oŋ,35,陰平,
424,鬆,s,əŋ,35,陰平,
425,䯳,s,əŋ,35,陰平,
427,鍾,ts,oŋ,35,陰平,鍾、盅讀音亦同。
428,鐘,ts,oŋ,35,陰平,
445,龍,l,ioŋ,12,陽平,
454,舂,tsʰ,oŋ,35,陰平,舂米。
460,松,s,oŋ,31,陽去,
461,㮤,s,oŋ,31,陽去,
464,𧘂,tsʰ,oŋ,35,陰平,
465,衝,tsʰ,oŋ,35,陰平,
475,容,,ioŋ,31,陽去,
478,庸,,ioŋ,31,陽去,
479,𦤘,,ioŋ,31,陽去,
484,鎔,,ioŋ,31,陽去,
493,蓉,,ioŋ,31,陽去,
510,封,f,oŋ,35,陰平,
511,𡉚,f,oŋ,35,陰平,
515,胷,h,ioŋ,35,陰平,
516,凶,h,ioŋ,35,陰平,吉凶。
517,𣧑,h,ioŋ,35,陰平,吉凶。
522,兇,h,ioŋ,35,陰平,兇惡。
