字號,字,聲母,韻母,調值,調類,備註
1,東,t,ŋ,11,陰平,
2,菄,t,t,11,陰平,
22,銅,tʰ,ŋ,21,陽平,
63,中,t,ŋ,11,陰平,中間
67,蟲,tʰ,ŋ,21,陽平,
113,狨,l,ŋ,21,陽平,
114,絨,l,ŋ,21,陽平,
115,弓,tɕ,iŋ,11,,
115,弓,k,ŋ,11,,
119,宮,k,ŋ,11,陰平,
126,熊,ɕ,iŋ,21,陽平,
140,窮,tɕʰ,iŋ,21,陽平,
143,馮,h,ŋ,21,陽平,
150,風,h,ŋ,11,陰平,
151,飌,h,ŋ,11,陰平,
178,空,kʰ,ŋ,11,陰平,空虛
192,公,k,ŋ,11,陰平,
194,工,k,ŋ,11,陰平,
205,蒙,m,ŋ,11,陰平,白讀
205,蒙,m,ŋ,21,陽平,文讀
232,籠,l,ŋ,21,陽平,
262,紅,h,ŋ,21,陽平,
287,翁,h,ŋ,11,陰平,
297,葱,tsʰ,ŋ,11,陰平,
310,通,tʰ,ŋ,11,陰平,
326,椶,ts,ŋ,11,陰平,
343,篷,pʰ,ŋ,21,陽平,
361,冬,t,ŋ,11,陰平,
362,𡘬,t,ŋ,11,陰平,
401,農,l,ŋ,21,陽平,
402,䢉,l,ŋ,21,陽平,
403,辳,l,ŋ,21,陽平,
404,𨑋,l,ŋ,21,陽平,
411,𧗕,l,ŋ,21,陽平,
412,膿,l,ŋ,21,陽平,
422,宗,ts,ŋ,11,陰平,
424,鬆,s,ŋ,11,陰平,鬆緊
425,䯳,s,ŋ,11,陰平,鬆緊
428,鐘,t,ŋ,11,陰平,
445,龍,tʰ,iŋ,21,陽平,
454,舂,t,ŋ,11,陰平,
460,松,tɕʰ,iŋ,21,陽平,松樹
461,㮤,tɕʰ,iŋ,21,陽平,松樹
464,𧘂,tʰ,ŋ,11,陰平,
465,衝,tʰ,ŋ,11,陰平,
475,容,0,iŋ,21,陽平,
510,封,h,ŋ,11,陰平,
511,𡉚,h,ŋ,11,陰平,
515,胷,ɕ,iŋ,11,陰平,
516,凶,ɕ,iŋ,11,陰平,
