字號,字,聲母,韻母,調值,調類,備註
65,忠,ts,uəŋ,214,陰平上,
140,窮,tɕʰ,yəŋ,33,陽平,
150,風,f,əŋ,214,陰平上,
262,紅,x,uəŋ,33,陽平,
361,冬,t,uəŋ,214,陰平上,
401,農,n,əŋ,33,陽平,
445,龍,l,yəŋ,33,陽平,
510,封,f,əŋ,214,陰平上,
706,邦,p,æ̃,214,陰平上,
725,雙,s,uæ̃,214,陰平上,
917,隨,s,uei,33,陽平,
1018,兒,0,ər,33,陽平,
1193,知,ts,ɿ,214,陰平上,知道。
1288,姨,0,i,33,陽平,
1314,師,s,ɿ,214,陰平上,
1344,資,ts,ɿ,214,陰平上,
1358,飢,tɕ,i,214,陰平上,飢餓。
1410,遲,tsʰ,ɿ,33,陽平,
1661,時,s,ɿ,33,陽平,
1668,疑,0,i,33,陽平,
1995,衣,0,i,214,陰平上,
2010,魚,0,y,33,陽平,
2126,鋤,tsʰ,u,33,陽平,
2161,豬,ts,u,214,陰平上,
2173,驢,l,y,33,陽平,
2470,朱,ts,u,214,陰平上,
2797,租,ts,u,214,陰平上,
2842,烏,0,u,214,陰平上,
3066,雞,tɕ,i,214,陰平上,
3130,西,ɕ,i,214,陰平上,
3191,泥,n,i,33,陽平,泥土。
3207,閨,k,uei,214,陰平上,
3269,鞋,ɕ,iɛ,33,陽平,
3273,牌,pʰ,ɛ,33,陽平,
3432,灰,x,uei,214,陰平上,
3495,雷,l,uei,33,陽平,
3531,堆,t,uei,214,陰平上,
3654,來,l,ɛ,33,陽平,
3681,災,ts,ɛ,214,陰平上,
3776,新,ɕ,iəŋ,214,陰平上,
3794,人,z,əŋ,33,陽平,
4070,春,tsʰ,uəŋ,214,陰平上,
4150,雲,0,yəŋ,33,陽平,雲彩。
4219,分,f,əŋ,214,陰平上,分開。
4422,言,0,iŋ,33,陽平,
4623,恩,ŋ,əŋ,214,陰平上,
4626,吞,tʰ,əŋ,214,陰平上,
4655,安,ŋ,æ̃,214,陰平上,
4808,酸,s,uæ̃,214,陰平上,
4813,團,tʰ,uŋ,33,陽平,
4834,官,k,uŋ,214,陰平上,
4858,歡,x,uŋ,214,陰平上,
4933,般,p,æ̃,214,陰平上,
4941,關,k,uŋ,214,陰平上,
4954,環,x,uæ̃,33,陽平,
4973,班,p,æ̃,214,陰平上,
4995,姦,tɕ,iæ̃,214,陰平上,奸詐。
5009,山,s,æ̃,214,陰平上,
5190,年,n,iŋ,33,陽平,
5309,錢,tɕʰ,iŋ,33,陽平,
5388,纏,tsʰ,ɿŋ,33,陽平,
5449,全,tɕʰ,yŋ,33,陽平,
5575,圓,0,yŋ,33,陽平,
5605,拳,tɕʰ,yŋ,33,陽平,
5700,條,tɕ,io,33,陽平,
6191,抓,ts,uA,214,陰平上,
6251,高,k,o,214,陰平上,
6359,袍,pʰ,o,33,陽平,
6370,桃,tʰ,o,33,陽平,
6478,多,t,ɔ,214,陰平上,
6552,羅,l,ɔ,33,陽平,
6572,河,x,ɔ,33,陽平,
6597,鍋,k,uə,214,陰平上,
6624,婆,pʰ,uə,33,陽平,
6666,騾,l,ɔ,33,陽平,
6731,茄,tɕʰ,iɛ,33,陽平,茄子。
6742,瘸,tɕʰ,yə,33,陽平,
6786,蛇,s,A,33,陽平,白讀。
6786,蛇,s,ə,33,陽平,文讀
6799,瓜,k,uA,214,陰平上,
6807,花,x,uA,214,陰平上,
6828,家,tɕ,iA,214,陰平上,
6907,牙,n,iA,33,陽平,白讀。
6907,牙,0,iA,33,陽平,文讀
