字號,字,聲母,韻母,調值,調類,備註
1,東,t,ɔŋ,54,平,
11,凍,t,ɔŋ,22,陰去,
18,同,t,ɔŋ,21,上,
20,童,tʰ,ɔŋ,22,陰去,
20,童,t,ɔŋ,21,上,未註明異讀原因
22,銅,t,ɔŋ,21,上,
23,桐,t,ɔŋ,21,上,未註明異讀原因
23,桐,tʰ,ɔŋ,22,陰去,
28,筒,t,ɔŋ,22,陰去,
29,瞳,t,ɔŋ,21,上,
63,中,t,œyŋ,54,平,"文,白.當中"
63,中,t,ɔŋ,22,陰去,
64,衷,ts,œyŋ,54,平,
65,忠,t,œyŋ,54,平,
67,蟲,tʰ,ɔŋ,22,陰去,
75,終,ts,œyŋ,54,平,
76,眾,ts,œyŋ,22,陰去,
92,盅,ts,œyŋ,54,平,語料作「職容切」
93,崇,ts,ɔŋ,21,上,
106,戎,0,œyŋ,21,上,
114,絨,0,œyŋ,21,上,
115,弓,k,œyŋ,54,平,
117,躬,k,œyŋ,54,平,
119,宮,k,œyŋ,54,平,
121,融,0,œyŋ,21,上,
125,雄,x,œyŋ,21,上,未註明異讀原因
125,雄,x,œyŋ,22,陰去,
126,熊,x,œyŋ,22,陰去,
140,窮,k,œyŋ,21,上,未註明異讀原因
140,窮,k,œyŋ,22,陰去,
143,馮,p,ɔŋ,21,上,
150,風,x,ɔŋ,54,平,
152,楓,x,ɔŋ,54,平,
157,豐,x,ɔŋ,54,平,
165,充,tsʰ,œyŋ,54,平,
172,隆,l,œyŋ,22,陰去,
178,空,kʰ,ɔŋ,54,平,空虛
192,公,k,ɔŋ,54,平,"文,白.白讀為""翁""訓讀,烏紅切"
192,公,0,œyŋ,54,平,
193,功,k,ɔŋ,54,平,
194,工,k,ɔŋ,54,平,
200,攻,k,ɔŋ,54,平,
205,蒙,m,ɔŋ,21,上,
232,籠,l,ɔŋ,22,陰去,鳥籠
240,聾,l,ɔŋ,22,陰去,"文,白"
240,聾,s,ɔŋ,22,陰去,
259,洪,0,ɔŋ,21,上,
262,紅,0,ɔŋ,21,上,
263,虹,k,œyŋ,22,陰去,
263,虹,0,ɔŋ,21,上,"文,白"
265,鴻,0,ɔŋ,21,上,
282,叢,ts,ɔŋ,22,陰去,
287,翁,0,ɔŋ,54,平,"文,白"
287,翁,0,œyŋ,54,平,
297,葱,tsʰ,ɔŋ,54,平,
300,聦,tsʰ,ɔŋ,54,平,
310,通,tʰ,ɔŋ,54,平,
341,蓬,pʰ,ɔŋ,22,陰去,
