字號,字,聲母,韻母,調值,調類,備註
67,蟲,tɬʰ,əŋ,44,陽平,
113,狨,0,iəŋ,44,陽平,
114,絨,0,iəŋ,44,陽平,
115,弓,k,əŋ,55,陰平,
125,雄,ɕ,iəŋ,44,陽平,
157,豐,f,əŋ,55,陰平,
165,充,tɬʰ,əŋ,55,陰平,
192,公,k,əŋ,55,陰平,
262,紅,x,əŋ,44,陽平,
287,翁,v,əŋ,55,陰平,
297,葱,tɬʰ,əŋ,55,陰平,
310,通,tʰ,əŋ,55,陰平,
343,篷,pʰ,əŋ,44,陽平,
361,冬,t,əŋ,55,陰平,
362,𡘬,t,əŋ,55,陰平,
424,鬆,ɬ,əŋ,55,陰平,鬆緊。
425,䯳,ɬ,əŋ,55,陰平,鬆緊。
428,鐘,tɬ,əŋ,55,陰平,
445,龍,l,əŋ,44,陽平,
460,松,tɬʰ,əŋ,44,陽平,松樹。
461,㮤,tɬʰ,əŋ,44,陽平,松樹。
547,濃,n,əŋ,44,陽平,
584,蠭,f,əŋ,55,陰平,
585,蜂,f,əŋ,55,陰平,
586,𧒒,f,əŋ,55,陰平,
633,恭,k,əŋ,55,陰平,
698,䆫,tɬʰ,ɔ,55,陰平,
699,牎,tɬʰ,ɔ,55,陰平,
700,窓,tɬʰ,ɔ,55,陰平,
706,邦,p,ɔ,55,陰平,
707,𤰫,p,ɔ,55,陰平,
725,雙,ɬ,ɔ,55,陰平,
772,支,tɕ,i,55,陰平,
891,吹,tɕʰ,y,55,陰平,
908,碑,p,ɐ,55,陰平,
925,騎,tɕʰ,i,44,陽平,
959,犧,x,i,55,陰平,
999,皮,pʰ,i,44,陽平,
1018,兒,0,ɚ,44,陽平,
1019,𠒆,0,ɚ,44,陽平,
1193,知,tɕ,i,55,陰平,
1225,危,v,ɐ,44,陽平,
1288,姨,0,i,44,陽平,
1314,師,ɬ,l̩,55,陰平,
1317,篩,ɬ,ɑ,55,陰平,篩子。
1344,資,tɬ,l̩,55,陰平,
1358,飢,tɕ,i,55,陰平,
1410,遲,tɕʰ,i,44,陽平,
1411,遟,tɕʰ,i,44,陽平,
1460,葵,kʰ,uɐ,44,陽平,
1468,追,tɬ,uɐ,55,陰平,
1471,龜,k,uɐ,55,陰平,
1472,龜,k,uɐ,55,陰平,
1473,𠃾,k,uɐ,55,陰平,
1484,衰,ɬ,uɐ,55,陰平,
1514,雖,ɬ,uɐ,55,陰平,
1718,詩,ɬ,l̩,55,陰平,
1759,基,tɕ,i,55,陰平,
1825,醫,0,i,55,陰平,
1826,毉,0,i,55,陰平,
1880,徽,x,uɐ,55,陰平,
1914,飛,f,e,55,陰平,
1925,肥,f,e,44,陽平,
1986,稀,ɕ,i,55,陰平,
1995,衣,0,i,55,陰平,
2010,魚,n,y,44,陽平,
2011,𩺰,n,y,44,陽平,
2020,初,tɬʰ,u,55,陰平,
2022,書,ɕ,y,55,陰平,
2029,居,tɕ,y,55,陰平,
2069,余,0,y,44,陽平,節余。
2118,蛆,tɬʰ,y,55,陰平,
2125,鉏,tɬʰ,u,44,陽平,
2126,鋤,tɬʰ,u,44,陽平,
2152,徐,tɬʰ,y,44,陽平,
2161,豬,tɕ,y,55,陰平,
2162,䐗,tɕ,y,55,陰平,
2163,猪,tɕ,y,55,陰平,
2191,除,tɕʰ,y,44,陽平,
2204,如,0,y,44,陽平,
