字號,字,聲母,韻母,調值,調類,備註
67,蟲,tʂʰ,ʌŋ,35,陽平,
113,狨,ʐ,ʌŋ,35,陽平,
114,絨,ʐ,ʌŋ,35,陽平,
115,弓,k,ʌŋ,21,陰平,
125,雄,ɕ,iʌŋ,35,陽平,
157,豐,f,ʌŋ,21,陰平,
165,充,tʂʰ,ʌŋ,21,陰平,
192,公,k,ʌŋ,21,陰平,
262,紅,x,ʌŋ,35,陽平,
287,翁,0,ʌŋ,21,陰平,
297,葱,tsʰ,ʌŋ,21,陰平,
310,通,tʰ,ʌŋ,21,陰平,
343,篷,pʰ,ʌŋ,35,陽平,
361,冬,t,ʌŋ,21,陰平,
362,𡘬,t,ʌŋ,21,陰平,
424,鬆,s,ʌŋ,21,陰平,鬆緊。
425,䯳,s,ʌŋ,21,陰平,鬆緊。
428,鐘,tʂ,ʌŋ,21,陰平,
445,龍,n,ʌŋ,35,陽平,
460,松,s,ʌŋ,21,陰平,松樹。
461,㮤,s,ʌŋ,21,陰平,松樹。
547,濃,n,ʌŋ,35,陽平,
584,蠭,f,ʌŋ,21,陰平,
585,蜂,f,ʌŋ,21,陰平,
586,𧒒,f,ʌŋ,21,陰平,
633,恭,k,ʌŋ,21,陰平,
698,䆫,tʂʰ,uɑ̃,21,陰平,
699,牎,tʂʰ,uɑ̃,21,陰平,
700,窓,tʂʰ,uɑ̃,21,陰平,
706,邦,p,ɑ̃,21,陰平,
707,𤰫,p,ɑ̃,21,陰平,
725,雙,ʂ,uɑ̃,21,陰平,
772,支,tʂ,ʅ,21,陰平,
891,吹,tʂʰ,uei,21,陰平,
908,碑,p,ei,21,陰平,
925,騎,tɕʰ,i,35,陽平,
959,犧,ɕ,i,21,陰平,
999,皮,pʰ,i,35,陽平,
1018,兒,0,a,35,陽平,
1019,𠒆,0,a,35,陽平,
1193,知,tʂ,ʅ,21,陰平,
1225,危,0,uei,35,陽平,
1288,姨,0,i,35,陽平,
1314,師,s,ɿ,21,陰平,
1317,篩,ʂ,ɛ,21,陰平,篩子。
1344,資,ts,ɿ,21,陰平,
1358,飢,tɕ,i,21,陰平,
1410,遲,tʂʰ,ʅ,35,陽平,
1411,遟,tʂʰ,ʅ,35,陽平,
1460,葵,kʰ,uei,35,陽平,
1468,追,tʂ,uei,21,陰平,
1471,龜,k,uei,21,陰平,
1472,龜,k,uei,21,陰平,
1473,𠃾,k,uei,21,陰平,
1484,衰,ʂ,uɛ,21,陰平,
1514,雖,s,ei,21,陰平,
1718,詩,ʂ,ʅ,21,陰平,
1759,基,tɕ,i,21,陰平,
1825,醫,0,i,21,陰平,
1826,毉,0,i,21,陰平,
1880,徽,x,uei,21,陰平,
1914,飛,f,ei,21,陰平,
1925,肥,f,ei,35,陽平,
1986,稀,ɕ,i,21,陰平,
1995,衣,0,i,21,陰平,
2010,魚,0,y,35,陽平,
2011,𩺰,0,y,35,陽平,
2020,初,tsʰ,o,21,陰平,
2022,書,ʂ,u,21,陰平,
2029,居,tɕ,y,21,陰平,
2069,余,0,y,35,陽平,節余。
2118,蛆,tɕʰ,y,21,陰平,
2125,鉏,tsʰ,o,35,陽平,
2126,鋤,tsʰ,o,35,陽平,
2152,徐,ɕ,y,35,陽平,
2161,豬,tʂ,u,21,陰平,
2162,䐗,tʂ,u,21,陰平,
2163,猪,tʂ,u,21,陰平,
2191,除,tʂʰ,u,35,陽平,
2204,如,ʐ,u,35,陽平,
2378,須,ɕ,y,21,陰平,
2833,蘇,s,u,21,陰平,
2888,麁,tsʰ,u,21,陰平,
2893,粗,tsʰ,u,21,陰平,
2935,犂,n,i,35,陽平,
2936,𤛿,n,i,35,陽平,
2955,妻,tɕ,i,21,陰平,
3066,雞,tɕ,i,21,陰平,
3067,鷄,tɕ,i,21,陰平,
3146,梯,tʰ,ei,21,陰平,
3146,梯,tʰ,i,21,陰平,
3191,泥,n,i,35,陽平,
3191,泥,m,ɿ,35,陽平,
3192,埿,n,i,35,陽平,
3192,埿,m,ɿ,35,陽平,
3264,街,k,ɛ,21,陰平,
3264,街,tɕ,ie,21,陰平,
3268,鞵,ɕ,ie,35,陽平,
3268,鞵,x,ɛ,35,陽平,
3269,鞋,x,ɛ,35,陽平,
3269,鞋,ɕ,ie,35,陽平,
3273,牌,pʰ,ɛ,35,陽平,
3295,柴,tʂʰ,ɛ,35,陽平,
3355,街,tɕ,ie,21,陰平,
3355,街,k,ɛ,21,陰平,
3368,鞋,x,ɛ,35,陽平,
3368,鞋,ɕ,ie,35,陽平,
3370,排,pʰ,ɛ,35,陽平,
3373,牌,pʰ,ɛ,35,陽平,
3408,齋,tʂ,ɛ,21,陰平,
3432,灰,x,uei,21,陰平,
3495,雷,n,ei,35,陽平,
3496,𩂩,n,ei,35,陽平,
3598,開,kʰ,ɛ,21,陰平,
3654,來,l,ɛ,35,陽平,
3733,真,tʂ,ən,21,陰平,
3753,因,0,in,21,陰平,
3776,新,ɕ,in,21,陰平,
3794,人,ʐ,ən,35,陽平,
3831,鄰,n,in,35,陽平,
3860,陳,tʂʰ,ən,35,陽平,
3861,敶,tʂʰ,ən,35,陽平,
3958,貧,pʰ,in,35,陽平,
3959,𡧋,pʰ,in,35,陽平,
4070,春,tʂʰ,un,21,陰平,
4072,勻,0,yn,35,陽平,
4078,循,ɕ,yn,35,陽平,
4092,均,tɕ,yn,21,陰平,
4141,蟁,0,uən,35,陽平,
4142,蚊,0,uən,35,陽平,
4143,䘇,0,uən,35,陽平,
