字號,字,聲母,韻母,調值,調類,備註
67,蟲,tsʰ,uŋ,55,陽平,
113,狨,z,uŋ,55,陽平,
114,絨,z,uŋ,55,陽平,
115,弓,k,uŋ,212,陰平,
125,雄,ɕ,yŋ,55,陽平,
157,豐,f,ə̃,212,陰平,
165,充,tsʰ,uŋ,212,陰平,
192,公,k,uŋ,212,陰平,
262,紅,x,uŋ,55,陽平,
287,翁,0,uŋ,212,陰平,
297,葱,tsʰ,uŋ,212,陰平,
310,通,tʰ,ə̃,212,陰平,
343,篷,pʰ,ə̃,55,陽平,
361,冬,t,uŋ,212,陰平,
362,𡘬,t,uŋ,212,陰平,
424,鬆,s,uŋ,212,陰平,鬆緊。
425,䯳,s,uŋ,212,陰平,鬆緊。
428,鐘,ts,uŋ,212,陰平,
445,龍,l,uŋ,55,陽平,
460,松,s,uŋ,212,陰平,松樹。
461,㮤,s,uŋ,212,陰平,松樹。
547,濃,n,uŋ,55,陽平,
584,蠭,f,uŋ,212,陰平,
585,蜂,f,uŋ,212,陰平,
586,𧒒,f,uŋ,212,陰平,
633,恭,k,uŋ,212,陰平,
698,䆫,tsʰ,uɑ̃,212,陰平,
699,牎,tsʰ,uɑ̃,212,陰平,
700,窓,tsʰ,uɑ̃,212,陰平,
706,邦,p,ɑ̃,212,陰平,
707,𤰫,p,ɑ̃,212,陰平,
725,雙,s,uɑ̃,212,陰平,
772,支,ts,ɿ,212,陰平,
891,吹,tsʰ,uei,212,陰平,
908,碑,p,ei,212,陰平,
925,騎,tɕʰ,i,55,陽平,
959,犧,ɕ,i,212,陰平,
999,皮,pʰ,i,55,陽平,
1018,兒,0,a,55,陽平,
1019,𠒆,0,a,55,陽平,
1193,知,ts,ɿ,212,陰平,
1225,危,v,ei,55,陽平,
1288,姨,0,i,55,陽平,
1314,師,s,ɿ,212,陰平,
1317,篩,s,ɛ,212,陰平,篩子。
1344,資,ts,ɿ,212,陰平,
1358,飢,tɕ,i,212,陰平,
1410,遲,tsʰ,ɿ,55,陽平,
1411,遟,tsʰ,ɿ,55,陽平,
1460,葵,kʰ,uei,55,陽平,
1468,追,ts,uei,212,陰平,
1471,龜,k,uei,212,陰平,
1472,龜,k,uei,212,陰平,
1473,𠃾,k,uei,212,陰平,
1484,衰,s,uɛ,212,陰平,
1514,雖,s,ei,212,陰平,
1718,詩,s,ɿ,212,陰平,
1759,基,tɕ,i,212,陰平,
1825,醫,0,i,212,陰平,
1826,毉,0,i,212,陰平,
1880,徽,x,uei,212,陰平,
1914,飛,f,ei,212,陰平,
1925,肥,f,ei,55,陽平,
1986,稀,ɕ,i,212,陰平,
1995,衣,0,i,212,陰平,
2010,魚,0,y,55,陽平,
2011,𩺰,0,y,55,陽平,
2020,初,tsʰ,uo,212,陰平,
2022,書,s,u,212,陰平,
