字號,字,聲母,韻母,調值,調類,備註
67,蟲,tʃʰ,ɑŋ,44,陽平,
113,狨,0,iɑŋ,44,陽平,
114,絨,0,iɑŋ,44,陽平,
115,弓,tʃ,ɑŋ,21,陰平,
125,雄,ʃ,ɑŋ,44,陽平,
157,豐,f,ɑŋ,21,陰平,
165,充,tʃʰ,ɑŋ,21,陰平,
192,公,k,əŋ,21,陰平,
262,紅,x,əŋ,44,陽平,
287,翁,0,əŋ,21,陰平,
297,葱,tʃʰ,ɑŋ,21,陰平,
310,通,tʰ,ɑŋ,21,陰平,
343,篷,pʰ,ɑŋ,44,陽平,
361,冬,t,ɑŋ,21,陰平,
362,𡘬,t,ɑŋ,21,陰平,
424,鬆,s,ɑŋ,21,陰平,鬆緊。
425,䯳,s,ɑŋ,21,陰平,鬆緊。
428,鐘,tʃ,ɑŋ,21,陰平,
445,龍,l,ɑŋ,44,陽平,
460,松,tʃʰ,ɑŋ,44,陽平,松樹。
461,㮤,tʃʰ,ɑŋ,44,陽平,松樹。
547,濃,n,ɑŋ,44,陽平,
584,蠭,f,ɑŋ,21,陰平,
585,蜂,f,ɑŋ,21,陰平,
586,𧒒,f,ɑŋ,21,陰平,
633,恭,tʃ,ɑŋ,21,陰平,
698,䆫,tʃʰ,ɔŋ,21,陰平,
699,牎,tʃʰ,ɔŋ,21,陰平,
700,窓,tʃʰ,ɔŋ,21,陰平,
706,邦,p,ɔŋ,21,陰平,
707,𤰫,p,ɔŋ,21,陰平,
725,雙,ʃ,ɔŋ,21,陰平,
772,支,ts,ɿ,21,陰平,
891,吹,tsʰ,u,21,陰平,
908,碑,p,ɛi,21,陰平,
925,騎,tʃʰ,ɛi,44,陽平,
959,犧,ʃ,ɛi,21,陰平,
999,皮,pʰ,ɛi,44,陽平,
1018,兒,0,əɐ̆,44,陽平,
1019,𠒆,0,əɐ̆,44,陽平,
1193,知,ts,ɿ,21,陰平,
1225,危,ȵ,yɛi,44,陽平,
1288,姨,0,iɛi,44,陽平,
1314,師,s,ɿ,21,陰平,
1317,篩,ʃ,ɑ,21,陰平,
1344,資,ts,ɿ,21,陰平,
1358,飢,tʃ,ɛi,21,陰平,
1410,遲,tsʰ,ɿ,44,陽平,
1411,遟,tsʰ,ɿ,44,陽平,
1460,葵,tʃʰ,yɛi,44,陽平,
1468,追,tʃ,yɛi,21,陰平,
1471,龜,ʃ,yɛi,21,陰平,
1472,龜,ʃ,yɛi,21,陰平,
1473,𠃾,ʃ,yɛi,21,陰平,
1484,衰,ʃ,uɐɯ,21,陰平,
1514,雖,ʃ,yɛi,21,陰平,
1718,詩,s,ɿ,21,陰平,
1759,基,tʃ,ɛi,21,陰平,
1825,醫,0,iɛi,21,陰平,
1826,毉,0,iɛi,21,陰平,
1880,徽,x,uɛi,21,陰平,
1914,飛,f,ɛi,21,陰平,
1925,肥,f,ɛi,44,陽平,
1986,稀,ʃ,ɛi,21,陰平,
1995,衣,0,iɛi,21,陰平,
2010,魚,ȵ,yɛi,44,陽平,
