字號,字,聲母,韻母,調值,調類,備註
1,東,t,uŋ,21,陰平,
2,菄,t,uŋ,21,陰平,
22,銅,tʰ,uŋ,33,陽平,
63,中,t,iuŋ,21,陰平,中間
67,蟲,tʰ,uŋ,33,陽平,
113,狨,0,iuŋ,33,陽平,
114,絨,0,iuŋ,33,陽平,
115,弓,k,iuŋ,21,陰平,
119,宮,k,iuŋ,21,陰平,
126,熊,x,iuŋ,33,陽平,
140,窮,kʰ,iuŋ,33,陽平,
143,馮,f,uŋ,33,陽平,
150,風,f,uŋ,21,陰平,
151,飌,f,uŋ,21,陰平,
178,空,kʰ,uŋ,21,陰平,空虛
192,公,k,uŋ,21,陰平,
194,工,k,uŋ,21,陰平,
205,蒙,m,uŋ,33,陽平,
232,籠,l,uŋ,33,陽平,
262,紅,f,uŋ,33,陽平,
287,翁,0,uŋ,21,陰平,
297,葱,tsʰ,uŋ,21,陰平,文讀
297,葱,tʰ,uŋ,21,陰平,白讀
310,通,tʰ,uŋ,21,陰平,
326,椶,ts,uŋ,21,陰平,
343,篷,pʰ,uŋ,53,入聲,
361,冬,t,uŋ,21,陰平,
362,𡘬,t,uŋ,21,陰平,
401,農,n,uŋ,33,陽平,
402,䢉,n,uŋ,33,陽平,
403,辳,n,uŋ,33,陽平,
404,𨑋,n,uŋ,33,陽平,
411,𧗕,n,uŋ,53,入聲,
412,膿,n,uŋ,53,入聲,
422,宗,ts,uŋ,21,陰平,
428,鐘,tɕ,iuŋ,21,陰平,
445,龍,l,iuŋ,33,陽平,
454,舂,tɕʰ,iuŋ,21,陰平,
460,松,tʰ,iuŋ,33,陽平,"松樹,文讀,白讀"
460,松,s,iuŋ,33,陽平,"松樹,文讀,白讀"
461,㮤,s,iuŋ,33,陽平,"松樹,文讀,白讀"
461,㮤,tʰ,iuŋ,33,陽平,"松樹,文讀,白讀"
464,𧘂,tɕʰ,iuŋ,21,陰平,
465,衝,tɕʰ,iuŋ,21,陰平,
475,容,0,iuŋ,33,陽平,
510,封,f,uŋ,21,陰平,
511,𡉚,f,uŋ,21,陰平,
515,胷,x,iuŋ,21,陰平,
516,凶,x,iuŋ,21,陰平,
517,𣧑,x,iuŋ,21,陰平,
547,濃,n,iuŋ,33,陽平,白讀
547,濃,n,uŋ,33,陽平,文讀
553,重,tʰ,iuŋ,33,陽平,重複
560,從,tʰ,iuŋ,33,陽平,從來
561,从,tʰ,iuŋ,33,陽平,從來
571,縫,f,uŋ,33,陽平,裁縫
584,蠭,f,uŋ,21,陰平,
585,蜂,f,uŋ,21,陰平,
586,𧒒,f,uŋ,21,陰平,
635,供,k,iuŋ,21,陰平,供應
647,鬆,s,uŋ,21,陰平,鬆緊
664,江,k,aŋ,21,陰平,
697,囪,tsʰ,oŋ,21,陰平,
698,䆫,tsʰ,oŋ,21,陰平,
699,牎,tsʰ,oŋ,21,陰平,
700,窓,tsʰ,oŋ,21,陰平,
725,雙,s,oŋ,21,陰平,
772,支,tɕ,i,21,陰平,
