字號,字,聲母,韻母,調值,調類,備註
1,東,t,əŋ,44,陰平,
2,菄,t,əŋ,44,陰平,
18,同,tʰ,əŋ,24,陽平,
19,仝,tʰ,əŋ,24,陽平,
20,童,tʰ,əŋ,24,陽平,
22,銅,tʰ,əŋ,24,陽平,
23,桐,tʰ,əŋ,24,陽平,
28,筒,tʰ,əŋ,24,陽平,
29,瞳,tʰ,əŋ,24,陽平,
63,中,ts,əŋ,44,陰平,
65,忠,ts,əŋ,44,陰平,
67,蟲,tsʰ,əŋ,24,陽平,
75,終,ts,əŋ,44,陰平,
97,嵩,s,əŋ,44,陰平,
98,崧,s,əŋ,44,陰平,
106,戎,j,iŋ,24,陽平,
107,𢦦,j,iŋ,24,陽平,
113,狨,j,iŋ,24,陽平,
114,絨,j,iŋ,24,陽平,
115,弓,k,əŋ,44,陰平,
116,躳,k,əŋ,44,陰平,
117,躬,k,əŋ,44,陰平,
119,宮,k,əŋ,44,陰平,
125,雄,ɕ,iəŋ,24,陽平,
126,熊,ɕ,iəŋ,24,陽平,
140,窮,tɕʰ,iəŋ,24,陽平,
150,風,f,əŋ,44,陰平,
151,飌,f,əŋ,44,陰平,
152,楓,f,əŋ,44,陰平,
157,豐,f,əŋ,44,陰平,
165,充,tsʰ,əŋ,44,陰平,
172,隆,l,əŋ,24,陽平,
178,空,kʰ,əŋ,44,陰平,～了；天～
192,公,k,əŋ,44,陰平,
193,功,k,əŋ,44,陰平,
194,工,k,əŋ,44,陰平,
196,蚣,k,əŋ,44,陰平,
200,攻,k,əŋ,44,陰平,
205,蒙,m,əŋ,24,陽平,
232,籠,l,əŋ,31,上聲,"雞～,牢～,火籠"
232,籠,l,əŋ,24,陽平,
232,籠,l,əŋ,44,陰平,
240,聾,l,əŋ,44,陰平,
259,洪,h,əŋ,24,陽平,
262,紅,h,əŋ,24,陽平,
265,鴻,h,əŋ,24,陽平,
287,翁,v,əŋ,44,陰平,
300,聦,tsʰ,əŋ,44,陰平,
310,通,tʰ,əŋ,44,陰平,
326,椶,ts,əŋ,44,陰平,
343,篷,pʰ,əŋ,24,陽平,
351,烘,h,əŋ,44,陰平,
361,冬,t,əŋ,44,陰平,
362,𡘬,t,əŋ,44,陰平,
369,疼,tʰ,əŋ,53,陰去,
401,農,n,əŋ,24,陽平,
402,䢉,n,əŋ,24,陽平,
403,辳,n,əŋ,24,陽平,
404,𨑋,n,əŋ,24,陽平,
411,𧗕,n,əŋ,24,陽平,
412,膿,n,əŋ,24,陽平,
422,宗,ts,əŋ,44,陰平,
428,鐘,ts,əŋ,44,陰平,
445,龍,l,əŋ,24,陽平,
445,龍,t,iŋ,44,陰平,
454,舂,ts,əŋ,44,陰平,
460,松,s,əŋ,44,陰平,～勁
461,㮤,s,əŋ,44,陰平,～勁
464,𧘂,tsʰ,əŋ,44,陰平,
465,衝,tsʰ,əŋ,44,陰平,
475,容,j,iŋ,24,陽平,
478,庸,j,iŋ,24,陽平,
479,𦤘,j,iŋ,24,陽平,
493,蓉,j,iŋ,24,陽平,
510,封,f,əŋ,44,陰平,
511,𡉚,f,əŋ,44,陰平,
515,胷,ɕ,iəŋ,44,陰平,
516,凶,ɕ,iəŋ,44,陰平,
517,𣧑,ɕ,iəŋ,44,陰平,
530,雍,j,iŋ,44,陰平,
547,濃,n,iəŋ,24,陽平,
553,重,tsʰ,əŋ,24,陽平,～疊
560,從,tsʰ,əŋ,24,陽平,
561,从,tsʰ,əŋ,24,陽平,
570,逢,f,əŋ,24,陽平,
