字號,字,聲母,韻母,調值,調類,備註
1,東,t,uŋ,35,陰平甲,
2,菄,t,uŋ,35,陰平甲,
22,銅,tʰ,uŋ,42,陽平,
63,中,t,uŋ,35,陰平甲,
67,蟲,tʰ,uŋ,42,陽平,
113,狨,l,uŋ,42,陽平,
114,絨,l,uŋ,42,陽平,
115,弓,k,uŋ,35,陰平甲,
119,宮,k,uŋ,35,陰平甲,
126,熊,s,uŋ,42,陽平,
140,窮,tɕʰ,iuŋ,42,陽平,
143,馮,f,uŋ,42,陽平,
150,風,f,uŋ,35,陰平甲,
151,飌,f,uŋ,35,陰平甲,
178,空,kʰ,uŋ,24,陰平乙,
192,公,k,uŋ,35,陰平甲,
194,工,k,uŋ,35,陰平甲,
205,蒙,m,aŋ,35,陰平甲,白讀
205,蒙,m,uŋ,42,陽平,文讀
232,籠,l,uŋ,42,陽平,
262,紅,f,uŋ,42,陽平,
287,翁,0,uəŋ,35,陰平甲,
297,葱,tɕʰ,iuŋ,24,陰平乙,
310,通,tʰ,uŋ,24,陰平乙,
326,椶,tɕ,iuŋ,35,陰平甲,
343,篷,pʰ,uŋ,42,陽平,
361,冬,t,uŋ,35,陰平甲,
362,𡘬,t,uŋ,35,陰平甲,
401,農,l,uŋ,42,陽平,
402,䢉,l,uŋ,42,陽平,
403,辳,l,uŋ,42,陽平,
404,𨑋,l,uŋ,42,陽平,
411,𧗕,l,uŋ,42,陽平,
412,膿,l,uŋ,42,陽平,
422,宗,tɕ,iuŋ,35,陰平甲,
424,鬆,s,uŋ,35,陰平甲,
425,䯳,s,uŋ,35,陰平甲,
428,鐘,t,uŋ,35,陰平甲,
445,龍,l,iuŋ,42,陽平,
460,松,tɕʰ,iuŋ,42,陽平,
461,㮤,tɕʰ,iuŋ,42,陽平,
464,𧘂,tʰ,uŋ,24,陰平乙,
465,衝,tʰ,uŋ,24,陰平乙,
475,容,0,iuŋ,42,陽平,
510,封,f,uŋ,35,陰平甲,
511,𡉚,f,uŋ,35,陰平甲,
515,胷,s,uŋ,35,陰平甲,
516,凶,s,uŋ,35,陰平甲,
517,𣧑,s,uŋ,35,陰平甲,
547,濃,l,uŋ,42,陽平,
547,濃,tsʰ,u,42,陽平,
553,重,tʰ,uŋ,42,陽平,
560,從,tɕʰ,iuŋ,42,陽平,
561,从,tɕʰ,iuŋ,42,陽平,
571,縫,f,uŋ,42,陽平,
584,蠭,f,uŋ,35,陰平甲,
585,蜂,f,uŋ,35,陰平甲,
586,𧒒,f,uŋ,35,陰平甲,
635,供,tɕ,iuŋ,35,陰平甲,白讀
635,供,k,uŋ,35,陰平甲,
664,江,k,ɔŋ,35,陰平甲,
697,囪,tɕʰ,iɔŋ,24,陰平乙,
698,䆫,tɕʰ,iɔŋ,24,陰平乙,
699,牎,tɕʰ,iɔŋ,24,陰平乙,
700,窓,tɕʰ,iɔŋ,24,陰平乙,
725,雙,s,ɔŋ,35,陰平甲,
772,支,t,i,35,陰平甲,
801,移,0,i,42,陽平,
802,䄬,0,i,42,陽平,
877,錘,tsʰ,ɿ,42,陽平,
891,吹,tʰ,ui,24,陰平乙,
897,披,pʰ,i,24,陰平乙,
908,碑,p,i,35,陰平甲,
917,隨,ɕ,i,42,陽平,
920,虧,kʰ,ui,24,陰平乙,
925,騎,tɕʰ,i,42,陽平,
999,皮,pʰ,i,42,陽平,
1018,兒,0,e,42,陽平,
1019,𠒆,0,e,42,陽平,
1193,知,t,i,35,陰平甲,
1212,池,tʰ,i,42,陽平,
1251,規,k,ui,35,陰平甲,
1314,師,s,ɿ,35,陰平甲,
1317,篩,s,ɿ,35,陰平甲,
1344,資,ts,ɿ,35,陰平甲,
1393,瓷,ts,ɿ,42,陽平,
1410,遲,tʰ,i,42,陽平,
1411,遟,tʰ,i,42,陽平,
1421,私,s,ɿ,35,陰平甲,
1428,屍,ɕ,i,35,陰平甲,
1446,棃,l,i,42,陽平,
1447,梨,l,i,42,陽平,
1460,葵,kʰ,ui,42,陽平,
1468,追,t,ui,35,陰平甲,
1471,龜,k,ui,35,陰平甲,
1472,龜,k,ui,35,陰平甲,
1473,𠃾,k,ui,35,陰平甲,
1544,眉,m,i,42,陽平,
1545,睂,m,i,42,陽平,
1555,黴,m,i,42,陽平,
1565,悲,p,i,35,陰平甲,
1630,之,t,i,35,陰平甲,
1661,時,ɕ,i,42,陽平,
1662,旹,ɕ,i,42,陽平,
1668,疑,ȵ,i,42,陽平,
1690,旗,tɕʰ,i,42,陽平,
1718,詩,ɕ,i,35,陰平甲,
1724,而,0,e,42,陽平,
1745,欺,tɕʰ,i,24,陰平乙,
1759,基,tɕ,i,35,陰平甲,
1825,醫,0,i,35,陰平甲,
1826,毉,0,i,35,陰平甲,
1893,圍,0,ui,42,陽平,
1914,飛,f,ui,35,陰平甲,
1925,肥,f,ui,42,陽平,
1937,威,0,ui,35,陰平甲,
1965,機,tɕ,i,35,陰平甲,
1995,衣,0,i,1,陰平,
2005,歸,k,ui,35,陰平甲,
2006,㱕,k,ui,35,陰平甲,
2010,魚,n,i,42,陽平,
2020,初,tsʰ,ɿ,24,陰平乙,
2022,書,s,ɿ,35,陰平甲,
2036,車,ts,ɿ,35,陰平甲,
2069,余,0,i,42,陽平,
2125,鉏,tsʰ,ɿ,42,陽平,
2126,鋤,tsʰ,ɿ,42,陽平,
2136,梳,s,ɿ,35,陰平甲,
2146,虛,s,ɿ,35,陰平甲,
2152,徐,ɕ,i,42,陽平,
2152,徐,ɕ,i,42,陽平,
2161,豬,ts,ɿ,35,陰平甲,
2162,䐗,ts,ɿ,35,陰平甲,
2163,猪,ts,ɿ,35,陰平甲,
2191,除,tsʰ,ɿ,42,陽平,
2378,須,ɕ,i,35,陰平甲,
2379,鬚,ɕ,i,35,陰平甲,
2462,區,tsʰ,ɿ,35,陰平甲,
2470,朱,ts,ɿ,35,陰平甲,
2500,扶,f,u,42,陽平,
2503,符,f,u,42,陽平,
2587,夫,f,u,35,陰平甲,
2608,輸,s,ɿ,35,陰平甲,
2616,廚,tsʰ,ɿ,42,陽平,
2662,胡,f,u,42,陽平,
2670,湖,f,u,42,陽平,
2697,姑,k,u,35,陰平甲,
2717,箍,k,u,35,陰平甲,
2725,塗,tʰ,u,42,陽平,
2735,圖,tʰ,u,42,陽平,
2780,吳,ŋ,,42,陽平,
2797,租,ts,ɿ,35,陰平甲,
2817,爐,l,u,42,陽平,
2833,蘇,s,ɿ,35,陰平甲,
2842,烏,0,u,35,陰平甲,
2876,枯,kʰ,u,24,陰平乙,
2887,麤,tsʰ,ɿ,42,陽平,
2888,麁,tsʰ,ɿ,42,陽平,
2891,觕,tsʰ,ɿ,42,陽平,
2893,粗,tsʰ,ɿ,42,陽平,
2906,都,t,u,35,陰平甲,
2914,鋪,pʰ,u,24,陰平乙,
2925,齊,tɕʰ,i,42,陽平,
2935,犂,l,i,42,陽平,
2936,𤛿,l,i,42,陽平,
2955,妻,tɕʰ,i,24,陰平乙,
2965,低,l,i,35,陰平甲,
2995,提,tʰ,i,42,陽平,
2995,提,tʰ,ia,42,陽平,白讀
2998,隄,tʰ,i,42,陽平,
3000,題,tʰ,i,42,陽平,
3130,西,ɕ,i,35,陰平甲,
3131,卤,ɕ,i,35,陰平甲,
3132,卥,ɕ,i,35,陰平甲,
3146,梯,tʰ,i,24,陰平乙,
3167,批,pʰ,i,24,陰平乙,
3191,泥,ȵ,i,42,陽平,
3192,埿,ȵ,i,42,陽平,
3264,街,k,ai,35,陰平甲,
3268,鞵,h,ai,42,陽平,
3269,鞋,h,ai,42,陽平,
3273,牌,pʰ,ai,42,陽平,
3312,竵,0,uai,35,陰平甲,
3346,階,k,ai,35,陰平,
3351,堦,k,ai,35,陰平,
3355,街,k,ai,35,陰平甲,
3360,𢰇,ŋ,ai,35,陰平甲,
3368,鞋,h,ai,42,陽平,
3373,牌,pʰ,ai,42,陽平,
3376,乖,k,uai,35,陰平甲,
3377,𦮃,k,uai,35,陰平甲,
3380,懷,f,ai,42,陽平,
3404,埋,m,ai,42,陽平,
3432,灰,f,ɔi,35,陰平甲,
3457,回,f,ui,42,陽平,
3598,開,kʰ,ɔi,24,陰平乙,
3603,哀,ŋ,ai,35,陰平甲,
3609,臺,tʰ,ɔi,42,陽平,
3624,該,k,ɔi,35,陰平甲,
3647,財,tsʰ,ɔi,42,陽平,
3654,來,l,ɔi,42,陽平,
3683,栽,ts,ɔi,35,陰平甲,
3733,真,tʰ,ən,35,陰平甲,
3753,因,0,in,35,陰平甲,
3776,新,s,ən,35,陰平甲,
3794,人,ȵ,in,42,陽平,
3795,神,s,ən,42,陽平,
3797,親,tɕʰ,in,24,陰平乙,
3798,寴,tɕʰ,in,24,陰平乙,
3799,𡪔,tɕʰ,in,24,陰平乙,
3815,身,s,ən,35,陰平甲,
3819,賓,p,in,35,陰平甲,
3820,𧶉,p,in,35,陰平甲,
3837,麟,l,ən,42,陽平,
3838,麐,l,ən,42,陽平,
3860,陳,tʰ,ən,42,陽平,
3861,敶,tʰ,ən,42,陽平,
3905,銀,ȵ,in,42,陽平,
3921,巾,tɕ,in,35,陰平甲,
3958,貧,pʰ,in,42,陽平,
3959,𡧋,pʰ,in,42,陽平,
3980,民,m,in,42,陽平,
4014,純,s,un,42,陽平,
4065,遵,tɕ,yn,35,陰平甲,
4070,春,tʰ,un,24,陰平乙,
4141,蟁,m,ən,42,陽平,
4142,蚊,m,ən,42,陽平,
4143,䘇,m,ən,42,陽平,
4150,雲,0,yn,42,陽平,
4183,墳,f,ən,42,陽平,
4219,分,f,ən,35,陰平甲,
4226,帬,tɕʰ,yn,42,陽平,
4227,裠,tɕʰ,yn,42,陽平,
4232,勳,s,un,35,陰平甲,
4233,勛,s,un,35,陰平甲,
4234,熏,s,un,35,陰平甲,
4235,燻,s,un,35,陰平甲,
4243,軍,tɕ,yn,35,陰平甲,
