字號,字,聲母,韻母,調值,調類,備註
67,蟲,tsʰ,ɑ̃,44,陽平,
113,狨,0,yɑ̃,44,陽平,
114,絨,0,yɑ̃,44,陽平,
115,弓,k,uɑ̃,31,陰平,
125,雄,ɕ,yɑ̃,44,陽平,印刷未輸入調值，此地陽平應為44。
157,豐,f,ɑ̃,31,陰平,
165,充,tsʰ,ɑ̃,31,陰平,
192,公,k,uɑ̃,31,陰平,
262,紅,x,uɑ̃,44,陽平,
287,翁,v,ɑ̃,31,陰平,
297,葱,tsʰ,ɑ̃,31,陰平,
310,通,tʰ,ɑ̃,31,陰平,
343,篷,pʰ,ɑ̃,44,陽平,
361,冬,t,ɑ̃,31,陰平,
362,𡘬,t,ɑ̃,31,陰平,
424,鬆,s,ɑ̃,31,陰平,鬆緊。
425,䯳,s,ɑ̃,31,陰平,鬆緊。
428,鐘,ts,ɑ̃,31,陰平,
445,龍,l,ɑ̃,44,陽平,
460,松,tsʰ,ɑ̃,44,陽平,松樹。
461,㮤,tsʰ,ɑ̃,44,陽平,松樹。
547,濃,l,ɑ̃,44,陽平,
584,蠭,f,ɑ̃,31,陰平,
585,蜂,f,ɑ̃,31,陰平,
586,𧒒,f,ɑ̃,31,陰平,
633,恭,k,uɑ̃,31,陰平,
698,䆫,tsʰ,õ,31,陰平,
699,牎,tsʰ,õ,31,陰平,
700,窓,tsʰ,õ,31,陰平,
706,邦,p,õ,31,陰平,
707,𤰫,p,õ,31,陰平,
725,雙,s,õ,31,陰平,
772,支,ts,ɿ,31,陰平,
891,吹,tɕʰ,y,31,陰平,
908,碑,p,ɪi,31,陰平,
925,騎,tsʰ,ɿ,44,陽平,
959,犧,ɕ,ɿ,31,陰平,
999,皮,pʰ,ɿ,44,陽平,
1018,兒,0,ɛ̃,44,陽平,
1019,𠒆,0,ɛ̃,44,陽平,
1193,知,ts,ɿ,31,陰平,
1225,危,v,ei,44,陽平,
1288,姨,0,ɿ,44,陽平,
1314,師,s,ɿ,31,陰平,
1317,篩,ɕ,iɔ,31,陰平,篩子。
1344,資,ts,ɿ,31,陰平,
1358,飢,ts,ɿ,31,陰平,
1410,遲,tsʰ,ɿ,44,陽平,
1411,遟,tsʰ,ɿ,44,陽平,
1460,葵,kʰ,uei,44,陽平,
1468,追,ts,uei,31,陰平,
1471,龜,k,uei,31,陰平,
1472,龜,k,uei,31,陰平,
1473,𠃾,k,uei,31,陰平,
1484,衰,s,æ,31,陰平,
1514,雖,s,uei,31,陰平,
1718,詩,s,ɿ,31,陰平,
1759,基,ts,ɿ,31,陰平,
1825,醫,0,ɿ,31,陰平,
1826,毉,0,ɿ,31,陰平,
1880,徽,x,uei,31,陰平,
1914,飛,f,ɪi,31,陰平,
1925,肥,f,ɪi,44,陽平,
1986,稀,s,ɿ,31,陰平,
1995,衣,0,ɿ,31,陰平,
2010,魚,n,y,44,陽平,
2011,𩺰,n,y,44,陽平,
2020,初,tsʰ,u,31,陰平,
2022,書,ɕ,y,31,陰平,
2029,居,tɕ,y,31,陰平,
2069,余,0,y,44,陽平,節余。
2118,蛆,tɕʰ,y,31,陰平,
2125,鉏,s,u,44,陽平,
2126,鋤,s,u,44,陽平,
2152,徐,tɕʰ,y,44,陽平,
2161,豬,tɕ,y,31,陰平,
2162,䐗,tɕ,y,31,陰平,
2163,猪,tɕ,y,31,陰平,
2191,除,tɕʰ,y,44,陽平,
2204,如,0,y,44,陽平,
2378,須,ɕ,y,31,陰平,
2833,蘇,s,u,31,陰平,
2888,麁,tsʰ,u,31,陰平,
2893,粗,tsʰ,u,31,陰平,
2935,犂,n,ɿ,44,陽平,
2936,𤛿,n,ɿ,44,陽平,
2955,妻,tsʰ,ɿ,31,陰平,
3066,雞,tsʰ,ɿ,31,陰平,
3067,鷄,tsʰ,ɿ,31,陰平,
3146,梯,tʰ,æ,31,陰平,
3191,泥,n,ɿ,44,陽平,
3192,埿,n,ɿ,44,陽平,
3264,街,k,ɔ,31,陰平,
3268,鞵,x,ɔ,44,陽平,
3269,鞋,x,ɔ,44,陽平,
3273,牌,pʰ,ɔ,44,陽平,
3295,柴,ɕ,iɔ,44,陽平,
3355,街,k,ɔ,31,陰平,
3368,鞋,x,ɔ,44,陽平,
3370,排,pʰ,ɔ,44,陽平,
3373,牌,pʰ,ɔ,44,陽平,
3408,齋,ts,æ,31,陰平,
3432,灰,x,uæ,31,陰平,
3495,雷,l,æ,44,陽平,
3496,𩂩,l,æ,44,陽平,
3598,開,kʰ,æ,31,陰平,
3654,來,l,æ,44,陽平,
3733,真,tɕ,iɑ̃,31,陰平,
3753,因,0,iɑ̃,31,陰平,
3776,新,ɕ,iɑ̃,31,陰平,
3794,人,0,iɑ̃,44,陽平,
3794,人,n,iɑ̃,44,陽平,
3831,鄰,n,iɑ̃,44,陽平,
3860,陳,tɕʰ,iɑ̃,44,陽平,
3861,敶,tɕʰ,iɑ̃,44,陽平,
3958,貧,pʰ,iɑ̃,44,陽平,
3959,𡧋,pʰ,iɑ̃,44,陽平,
4070,春,tɕʰ,yɑ̃,31,陰平,
4072,勻,0,yɑ̃,44,陽平,
4078,循,tsʰ,ɑ̃,44,陽平,
4092,均,tɕ,yɑ̃,31,陰平,
4141,蟁,m,ɑ̃,44,陽平,
4141,蟁,v,ɑ̃,44,陽平,
4142,蚊,m,ɑ̃,44,陽平,
