字號,字,聲母,韻母,調值,調類,備註
65,忠,ts,uŋ,213,陰平,
140,窮,tɕʰ,yŋ,24,陽平,
150,風,f,əŋ,213,陰平上,
262,紅,x,uŋ,24,陽平,
361,冬,t,uŋ,213,陰平,
401,農,n,uŋ,24,陽平,
445,龍,l,uŋ,24,陽平,
510,封,f,əŋ,213,陰平上,
706,邦,p,aŋ,213,陰平,
725,雙,tsʰ,uaŋ,213,陰平,一雙筷子。
725,雙,s,uaŋ,45,陰去,雙生子
725,雙,s,uaŋ,213,陰平,雙
917,隨,s,uei,24,陽平,
1018,兒,0,l̩,24,陽平,
1193,知,ts,ɿ,213,陰平,知道。
1288,姨,0,i,24,陽平,
1314,師,s,ɿ,213,陰平,
1344,資,ts,ɿ,213,陰平,
1358,飢,tɕ,i,213,陰平,飢餓。
1410,遲,tsʰ,ɿ,24,陽平,
1661,時,s,ɿ,24,陽平,
1668,疑,0,i,24,陽平,
1995,衣,0,i,213,陰平,
2010,魚,0,y,24,陽平,
2126,鋤,tsʰ,uə,24,陽平,白讀。
2126,鋤,tsʰ,u,24,陽平,文讀
2161,豬,ts,u,213,陰平,
2173,驢,l,y,24,陽平,
2470,朱,ts,u,213,陰平,
2797,租,ts,u,213,陰平,
2842,烏,0,u,213,陰平,
3066,雞,tɕ,i,213,陰平,
3130,西,ɕ,i,213,陰平,
3191,泥,n,i,24,陽平,泥土。
3207,閨,k,uei,213,陰平,
3273,牌,pʰ,ai,24,陽平,
3432,灰,x,uei,213,陰平,
3495,雷,l,uei,24,陽平,
3531,堆,t,uei,213,陰平,
3654,來,l,ai,24,陽平,
3681,災,ts,ai,213,陰平,
3776,新,ɕ,in,213,陰平,
3794,人,0,in,24,陽平,
4070,春,tsʰ,uən,213,陰平,
4150,雲,0,yn,24,陽平,雲彩。
4219,分,f,ən,213,陰平,分開。
4422,言,0,iæ̃,24,陽平,
4623,恩,ŋ,ən,213,陰平,
4626,吞,tʰ,uən,213,陰平,
4655,安,ŋ,̃̃̃æ̃,213,陰平,
4808,酸,s,uæ̃,45,陰去,
4813,團,tʰ,uæ̃,24,陽平,
4834,官,k,uæ̃,213,陰平,
4858,歡,x,uæ̃,213,陰平,
