字號,字,聲母,韻母,調值,調類,備註
1,東,t,əŋ,55,陰平,
2,菄,t,əŋ,55,陰平,
18,同,d,əŋ,13,陽平,
19,仝,d,əŋ,13,陽平,
65,忠,ts,əŋ,55,陰平,
67,蟲,hz,əŋ,13,陽平,
75,終,ts,əŋ,55,陰平,
93,崇,hz,əŋ,13,陽平,
94,崈,hz,əŋ,13,陽平,
97,嵩,s,əŋ,55,陰平,
98,崧,s,əŋ,55,陰平,
113,狨,0,ʯŋ,33,次濁平,
114,絨,0,ʯŋ,33,次濁平,
115,弓,k,əŋ,55,陰平,
125,雄,hʐ,ʯŋ,13,陽平,
140,窮,hʐ,ʯŋ,13,陽平,
143,馮,ɣ,əŋ,13,陽平,
150,風,f,əŋ,55,陰平,
151,飌,f,əŋ,55,陰平,
157,豐,f,əŋ,55,陰平,
165,充,tsʰ,əŋ,55,陰平,
178,空,kʰ,əŋ,55,陰平,
192,公,k,əŋ,55,陰平,
205,蒙,m,əŋ,33,次濁平,
240,聾,l,əŋ,33,次濁平,
259,洪,ɣ,əŋ,31,去聲,
282,叢,hz,əŋ,13,陽平,
283,藂,hz,əŋ,13,陽平,
287,翁,0,uŋ,55,陰平,
297,葱,tsʰ,əŋ,55,陰平,
310,通,tʰ,əŋ,55,陰平,
327,騣,ts,əŋ,55,陰平,
343,篷,b,əŋ,13,陽平,
351,烘,x,əŋ,55,陰平,
361,冬,t,əŋ,55,陰平,
362,𡘬,t,əŋ,55,陰平,
401,農,l,əŋ,33,次濁平,
402,䢉,l,əŋ,33,次濁平,
403,辳,l,əŋ,33,次濁平,
404,𨑋,l,əŋ,33,次濁平,
422,宗,ts,əŋ,55,陰平,
424,鬆,s,əŋ,55,陰平,
425,䯳,s,əŋ,55,陰平,
427,鍾,ts,əŋ,55,陰平,
445,龍,l,əŋ,33,次濁平,
460,松,hz,əŋ,13,陽平,
461,㮤,hz,əŋ,13,陽平,
464,𧘂,tsʰ,əŋ,55,陰平,
465,衝,tsʰ,əŋ,55,陰平,
475,容,0,ʯŋ,33,次濁平,
510,封,f,əŋ,55,陰平,
511,𡉚,f,əŋ,55,陰平,
516,凶,ɕ,ʯŋ,55,陰平,
517,𣧑,ɕ,ʯŋ,55,陰平,
530,雍,0,ʯŋ,55,陰平,
547,濃,l,əŋ,33,次濁平,
553,重,hz,əŋ,13,陽平,
560,從,hz,əŋ,13,陽平,
561,从,hz,əŋ,13,陽平,
570,逢,b,əŋ,13,陽平,
584,蠭,f,əŋ,55,陰平,
585,蜂,f,əŋ,55,陰平,
586,𧒒,f,əŋ,55,陰平,
633,恭,k,əŋ,55,陰平,
664,江,k,œ,55,陰平,
706,邦,p,œ,55,陰平,
707,𤰫,p,œ,55,陰平,
712,降,hʑ,iœ,13,陽平,
725,雙,s,œ,55,陰平,
765,樁,ts,œ,55,陰平,
772,支,ts,ɿ,55,陰平,
801,移,0,iɪ,33,次濁平,
802,䄬,0,iɪ,33,次濁平,
833,爲,0,ui,33,次濁平,
834,為,0,ui,33,次濁平,
879,𡍮,hz,e,13,陽平,
880,垂,hz,e,13,陽平,
891,吹,tsʰ,e,55,陰平,
897,披,pʰ,iɪ,55,陰平,
908,碑,p,e,55,陰平,
917,隨,hz,e,13,陽平,
920,虧,kʰ,ui,55,陰平,
925,騎,hz,ɿ,13,陽平,
959,犧,s,ɿ,55,陰平,
988,宜,0,iɪ,33,次濁平,
989,宐,0,iɪ,33,次濁平,
990,𡪀,0,iɪ,33,次濁平,
991,𡨆,0,iɪ,33,次濁平,
999,皮,b,iɪ,13,陽平,
1008,匙,hz,ɿ,13,陽平,
1018,兒,0,ər,33,次濁平,
1019,𠒆,0,ər,33,次濁平,
1023,籬,l,iɪ,33,次濁平,
1059,疵,hz,ɿ,13,陽平,
1121,施,s,ɿ,55,陰平,
1157,差,tsʰ,ɿ,55,陰平,
1171,彌,m,iɪ,33,次濁平,
1172,𢏏,m,iɪ,33,次濁平,
1188,雌,tsʰ,ɿ,55,陰平,
1193,知,ts,ɿ,55,陰平,
1212,池,hz,ɿ,13,陽平,
1225,危,0,ui,33,次濁平,
1251,規,k,ui,55,陰平,
1278,脂,ts,ɿ,55,陰平,
1288,姨,0,iɪ,33,次濁平,
1314,師,s,ɿ,55,陰平,
1333,枇,b,iɪ,13,陽平,
1344,資,ts,ɿ,55,陰平,
1360,肌,ts,ɿ,55,陰平,
1393,瓷,hz,ɿ,13,陽平,
1398,尼,ȵ,iɪ,33,次濁平,
1410,遲,hz,ɿ,13,陽平,
1411,遟,hz,ɿ,13,陽平,
1421,私,s,ɿ,55,陰平,
1426,尸,s,ɿ,55,陰平,
1437,祁,hz,ɿ,13,陽平,
1441,伊,0,iɪ,55,陰平,
1446,棃,l,iɪ,33,次濁平,
1447,梨,l,iɪ,33,次濁平,
1460,葵,ɣ,ui,13,陽平,
1468,追,ts,e,55,陰平,
1471,龜,k,ui,55,陰平,
1472,龜,k,ui,55,陰平,
1473,𠃾,k,ui,55,陰平,
1489,維,0,ui,33,次濁平,
1490,遺,0,iɪ,33,次濁平,
1514,雖,s,e,55,陰平,
1544,眉,m,e,33,次濁平,
1545,睂,m,e,33,次濁平,
1555,黴,m,e,33,次濁平,
1565,悲,p,e,55,陰平,
1566,錐,ts,ɛ,55,陰平,
1584,丕,pʰ,iɪ,55,陰平,
1585,㔻,pʰ,iɪ,55,陰平,
1603,椎,hz,e,13,陽平,
1604,槌,hz,e,13,陽平,
1605,桘,hz,e,13,陽平,
1630,之,ts,ɿ,55,陰平,
1634,飴,0,iɪ,33,次濁平,
1635,𩛛,0,iɪ,33,次濁平,
1636,䬮,0,iɪ,33,次濁平,
1661,時,hz,ɿ,13,陽平,
1662,旹,hz,ɿ,13,陽平,
1668,疑,0,iɪ,33,次濁平,
1676,絲,s,ɿ,55,陰平,
1689,期,hz,ɿ,13,陽平,
1718,詩,s,ɿ,55,陰平,
1724,而,0,ər,33,次濁平,
1745,欺,tsʰ,ɿ,55,陰平,
1759,基,ts,ɿ,55,陰平,
1768,詞,hz,ɿ,13,陽平,
1776,貍,l,iɪ,33,次濁平,
1777,狸,l,iɪ,33,次濁平,
1801,輜,ts,ɿ,55,陰平,
1812,熙,s,ɿ,55,陰平,
1813,嬉,s,ɿ,55,陰平,
1825,醫,0,iɪ,55,陰平,
1826,毉,0,iɪ,55,陰平,
1831,癡,tsʰ,ɿ,55,陰平,
1834,痴,tsʰ,ɿ,55,陰平,
1836,持,hz,ɿ,13,陽平,
1839,嗤,tsʰ,ɿ,55,陰平,
1845,慈,hz,ɿ,13,陽平,
1854,滋,ts,ɿ,55,陰平,
1868,微,0,ui,33,次濁平,
1876,揮,x,ui,55,陰平,
1893,圍,0,ui,33,次濁平,
1906,妃,f,e,55,陰平,
1918,非,f,e,55,陰平,
1925,肥,b,e,13,陽平,
1937,威,0,ui,55,陰平,
1945,祈,hz,ɿ,13,陽平,
1965,機,ts,ɿ,55,陰平,
1986,稀,s,ɿ,55,陰平,
1995,衣,0,iɪ,55,陰平,
2005,歸,k,ui,55,陰平,
2006,㱕,k,ui,55,陰平,
2010,魚,ȵ,ʯ,33,次濁平,
2011,𩺰,ȵ,ʯ,33,次濁平,
2020,初,tsʰ,u,55,陰平,
2022,書,ʂ,ʯ,55,陰平,
2029,居,tʂ,ʯ,55,陰平,
2069,余,0,ʯ,33,次濁平,
2118,蛆,tɕʰ,ʯ,55,陰平,
2125,鉏,hʐ,ʯ,13,陽平,
2126,鋤,hʐ,ʯ,13,陽平,
2136,梳,ʂ,ʯ,55,陰平,
2146,虛,ɕ,ʯ,55,陰平,
2152,徐,hʑ,ʯ,13,陽平,
2156,於,0,ʯ,55,陰平,
2157,扵,0,ʯ,55,陰平,
2161,豬,tʂ,ʯ,55,陰平,
2162,䐗,tʂ,ʯ,55,陰平,
2163,猪,tʂ,ʯ,55,陰平,
2170,廬,l,u,33,次濁平,
2191,除,hʐ,ʯ,13,陽平,
2204,如,0,ʯ,33,次濁平,
2244,愚,0,ʯ,33,次濁平,
2286,于,0,ʯ,33,次濁平,
2378,須,ʂ,ʯ,55,陰平,
2396,蛛,tʂ,ʯ,55,陰平,
2405,殊,hʐ,ʯ,13,陽平,
2439,榆,0,ʯ,33,次濁平,
2462,區,tʂʰ,ʯ,55,陰平,
2470,朱,tʂ,ʯ,55,陰平,
2503,符,hv,u,13,陽平,
2532,敷,f,u,55,陰平,
2587,夫,f,u,55,陰平,
2603,迂,0,ʯ,55,陰平,
2608,輸,ʂ,ʯ,55,陰平,
2611,樞,tʂʰ,ʯ,55,陰平,
2621,拘,tʂ,ʯ,55,陰平,
2640,模,m,u,33,次濁平,
2641,橅,m,u,33,次濁平,
2657,菩,b,u,13,陽平,
2662,胡,ɣ,u,13,陽平,
2697,姑,k,u,55,陰平,
2735,圖,d,u,13,陽平,
2752,奴,l,u,33,次濁平,
2759,呼,x,u,55,陰平,
2780,吳,0,u,33,次濁平,
2786,蜈,0,ʯ,33,次濁平,
2797,租,ts,u,55,陰平,
2803,蘆,l,u,33,次濁平,
2833,蘇,s,u,55,陰平,
2842,烏,0,u,55,陰平,
2876,枯,kʰ,u,55,陰平,
2888,麁,tsʰ,u,55,陰平,
2893,粗,tsʰ,u,55,陰平,
2906,都,t,u,55,陰平,
2914,鋪,pʰ,u,55,陰平,
2925,齊,hz,ɿ,13,陽平,
2935,犂,l,iɪ,33,次濁平,
2936,𤛿,l,iɪ,33,次濁平,
2955,妻,tsʰ,ɿ,55,陰平,
2965,低,t,iɪ,55,陰平,
3000,題,d,iɪ,13,陽平,
3053,𦱔,p,iɪ,55,陰平,
3054,蓖,p,iɪ,55,陰平,
3066,雞,ts,ɿ,55,陰平,
3067,鷄,ts,ɿ,55,陰平,
3106,倪,ȵ,iɪ,33,次濁平,
3130,西,s,ɿ,55,陰平,
3131,卤,s,ɿ,55,陰平,
3132,卥,s,ɿ,55,陰平,
3146,梯,tʰ,ɛ,55,陰平,
3167,批,pʰ,iɪ,55,陰平,
3185,迷,m,iɪ,33,次濁平,
3191,泥,ȵ,iɪ,33,次濁平,
3192,埿,ȵ,iɪ,33,次濁平,
3195,谿,tsʰ,ɿ,55,陰平,
3196,嵠,tsʰ,ɿ,55,陰平,
3197,溪,tsʰ,ɿ,55,陰平,
3198,磎,tsʰ,ɿ,55,陰平,
3207,閨,k,ui,55,陰平,
3264,街,k,a,55,陰平,
3268,鞵,ɣ,a,13,陽平,
3269,鞋,ɣ,a,13,陽平,
3273,牌,b,a,13,陽平,
3295,柴,hz,a,13,陽平,
3303,釵,tsʰ,ua,55,陰平,
3312,竵,0,uɛ,55,陰平,
3333,籭,s,a,55,陰平,
3360,𢰇,ŋ,a,55,陰平,
3370,排,b,a,13,陽平,
3376,乖,k,ua,55,陰平,
3377,𦮃,k,ua,55,陰平,
3383,槐,ɣ,uɛ,13,陽平,
3395,豺,hz,a,13,陽平,
3404,埋,m,a,55,陰平,
3408,齋,ts,a,55,陰平,
3418,揩,kʰ,a,325,陰上,
3432,灰,x,uɛ,55,陰平,
3441,魁,kʰ,ui,55,陰平,
3471,梅,m,e,33,次濁平,
3495,雷,l,e,55,陰平,
3496,𩂩,l,e,55,陰平,
3522,催,tsʰ,e,55,陰平,
3531,堆,t,e,55,陰平,
3555,培,b,e,13,陽平,
3565,桮,p,e,55,陰平,
3566,杯,p,e,55,陰平,
3567,盃,p,e,55,陰平,
3569,坏,pʰ,e,55,陰平,
3585,推,tʰ,e,55,陰平,
3598,開,kʰ,ɛ,55,陰平,
3603,哀,ŋ,ɛ,55,陰平,
3609,臺,d,ɛ,13,陽平,
3624,該,k,ɛ,55,陰平,
3648,才,hz,ɛ,13,陽平,
3654,來,l,ɛ,33,次濁平,
3683,栽,ts,ɛ,55,陰平,
3691,猜,tsʰ,ɛ,55,陰平,
3697,胎,tʰ,ɛ,55,陰平,
3698,孡,tʰ,ɛ,55,陰平,
3712,鰓,s,ɛ,55,陰平,
3733,真,tɕ,iŋ,55,陰平,
3753,因,0,iŋ,55,陰平,
3776,新,ɕ,iŋ,55,陰平,
3789,臣,hʑ,iŋ,13,陽平,
3794,人,ȵ,iŋ,33,次濁平,
3795,神,hʑ,iŋ,13,陽平,
3797,親,tɕʰ,iŋ,55,陰平,
3798,寴,tɕʰ,iŋ,55,陰平,
3799,𡪔,tɕʰ,iŋ,55,陰平,
3815,身,ɕ,iŋ,55,陰平,
3831,鄰,l,iŋ,33,次濁平,
3857,珍,tɕ,iŋ,55,陰平,
3860,陳,hʑ,iŋ,13,陽平,
3861,敶,hʑ,iŋ,13,陽平,
3865,津,tɕ,iŋ,55,陰平,
3866,𦪉,tɕ,iŋ,55,陰平,
3876,秦,hʑ,iŋ,13,陽平,
3879,寅,0,iŋ,33,次濁平,
3905,銀,ȵ,iŋ,33,次濁平,
3921,巾,tɕ,iŋ,55,陰平,
3958,貧,b,iŋ,13,陽平,
3959,𡧋,b,iŋ,13,陽平,
3967,彬,p,iŋ,55,陰平,
3969,份,b,əŋ,31,去聲,
3980,民,m,iŋ,33,次濁平,
3990,椿,tsʰ,uŋ,55,陰平,
4014,純,hʐ,ʯŋ,13,陽平,
4037,倫,l,əŋ,33,次濁平,
