字號,字,聲母,韻母,調值,調類,備註
772,支,ts,ɿ,52,陰平,
891,吹,tsʰ,ᴇɪ,52,陰平,
891,吹,tsʰ,ʮ,52,陰平,
908,碑,p,ᴇɪ,52,陰平,
1008,匙,z,ɿ,113,陽去,寧波方言無陽平調，古陽平字讀成陽去調113。
1121,施,s,ɿ,52,陰平,
1188,雌,tsʰ,ɿ,52,陰平,
1193,知,ts,ʮ,52,陰平,
1194,䵹,ts,ʮ,52,陰平,
1195,鼅,ts,ʮ,52,陰平,
1196,蜘,ts,ʮ,52,陰平,
1210,馳,dz,ɿ,113,陽去,寧波方言無陽平調，古陽平字讀成陽去調113。
1212,池,dʑ,i,113,陽去,寧波方言無陽平調，古陽平字讀成陽去調113。
1212,池,dz,ɿ,113,陽去,
1278,脂,ts,ɿ,52,陰平,
1314,師,s,ɿ,52,陰平,
1344,資,ts,ɿ,52,陰平,
1393,瓷,dz,ɿ,113,陽去,寧波方言無陽平調，古陽平字讀成陽去調113。
1410,遲,dz,ɿ,113,陽去,寧波方言無陽平調，古陽平字讀成陽去調113。
1411,遟,dz,ɿ,113,陽去,寧波方言無陽平調，古陽平字讀成陽去調113。
1421,私,s,ɿ,52,陰平,
1565,悲,p,ᴇɪ,52,陰平,
1584,丕,pʰ,ᴇɪ,52,陰平,
1585,㔻,pʰ,ᴇɪ,52,陰平,
1630,之,ts,ɿ,52,陰平,
1661,時,z,ɿ,113,陽去,寧波方言無陽平調，古陽平字讀成陽去調113。
1662,旹,z,ɿ,113,陽去,寧波方言無陽平調，古陽平字讀成陽去調113。
1676,絲,s,ɿ,52,陰平,
1718,詩,s,ɿ,52,陰平,
1768,詞,dz,ɿ,113,陽去,寧波方言無陽平調，古陽平字讀成陽去調113。
1831,癡,tsʰ,ʮ,52,陰平,
1834,痴,tsʰ,ʮ,52,陰平,
1836,持,dʑ,i,113,陽去,
1836,持,dz,ɿ,113,陽去,寧波方言無陽平調，古陽平字讀成陽去調113。
1846,礠,dz,ɿ,113,陽去,寧波方言無陽平調，古陽平字讀成陽去調113。
1854,滋,ts,ɿ,52,陰平,
2010,魚,ɦ,yʮ,113,陽去,
2010,魚,ɦ,ŋ̀,113,陽去,寧波方言無陽平調，古次濁平聲讀成陽去調。
2011,𩺰,ɦ,ŋ̀,113,陽去,寧波方言無陽平調，古次濁平聲讀成陽去調。
2011,𩺰,ɦ,yʮ,113,陽去,
2022,書,s,ʮ,52,陰平,
2161,豬,ts,ʮ,52,陰平,
2162,䐗,ts,ʮ,52,陰平,
2163,猪,ts,ʮ,52,陰平,
2184,諸,ts,ʮ,52,陰平,
2191,除,dz,ʮ,113,陽去,寧波方言無陽平調，古陽平字讀成陽去調113。
2204,如,z,ʮ,113,陽去,寧波方言無陽平調，古陽平字讀成陽去調113。
2362,儒,z,ʮ,113,陽去,寧波方言無陽平調，古陽平字讀成陽去調113。
2405,殊,z,ʮ,123,陽去,此字的聲調123有誤。
2471,珠,ts,ʮ,52,陰平,
2608,輸,s,ʮ,52,陰平,
2616,廚,dz,ʮ,113,陽去,寧波方言無陽平調，古陽平字讀成陽去調113。
2780,吳,v,Y,113,陽去,寧波方言無陽平調，古次濁平聲讀成陽去調。
3264,街,tɕ,ia,52,陰平,
3264,街,k,a,52,陰平,
3268,鞵,ɦ,a,113,陽去,寧波方言無陽平調，古陽平字讀成陽去調113。
3269,鞋,ɦ,a,113,陽去,寧波方言無陽平調，古陽平字讀成陽去調113。
3273,牌,b,a,113,陽去,"寧波方言無陽平調,古全濁平聲字併入陽去調"
3295,柴,z,a,113,陽去,寧波方言無陽平調，古陽平字讀成陽去調113。
3310,差,tsʰ,a,52,陰平,出差之意
3333,籭,s,a,52,陰平,
3346,階,k,a,52,陰平,
3346,階,tɕ,ia,52,陰平,
3351,堦,tɕ,ia,52,陰平,
3351,堦,k,a,52,陰平,
3355,街,k,a,52,陰平,
3355,街,tɕ,ia,52,陰平,
3360,𢰇,ʔ,a,52,陰平,挨近之意
3368,鞋,ɦ,a,113,陽去,寧波方言無陽平調，古陽平字讀成陽去調113。
3370,排,b,a,113,陽去,"寧波方言無陽平調,古全濁平聲字併入陽去調"
3373,牌,b,a,113,陽去,"寧波方言無陽平調,古全濁平聲字併入陽去調"
3395,豺,dz,a,113,陽去,
3395,豺,z,a,113,陽去,寧波方言無陽平調，古陽平字讀成陽去調113。
3404,埋,m,ᴇ,113,陽去,"寧波方言無陽平調,古次濁平聲字併入陽去調"
3408,齋,ts,a,52,陰平,
3418,揩,kʰ,a,52,陰平,
3472,媒,m,ᴇɪ,113,陽去,寧波方言無陽平調，古陽平字讀成陽去調113。
3495,雷,l,ᴇɪ,113,陽去,寧波方言無陽平調，古陽平字讀成陽去調113。
3496,𩂩,l,ᴇɪ,113,陽去,寧波方言無陽平調，古陽平字讀成陽去調113。
3531,堆,t,ᴇɪ,52,陰平,
3556,陪,b,ᴇɪ,113,陽去,寧波方言無陽平調，古陽平字讀成陽去調113。
3565,桮,p,ᴇɪ,52,陰平,
3566,杯,p,ᴇɪ,52,陰平,
3567,盃,p,ᴇɪ,52,陰平,
3568,肧,pʰ,ᴇɪ,52,陰平,
3585,推,tʰ,ᴇɪ,52,陰平,
3598,開,kʰ,e,52,陰平,
3603,哀,ʔ,ᴇɪ,52,陰平,
3624,該,k,e,52,陰平,
3654,來,l,e,113,陽去,寧波方言無陽平調，古陽平字讀成陽去調113。
3697,胎,tʰ,e,52,陰平,
3698,孡,tʰ,e,52,陰平,
3700,台,d,e,113,陽去,寧波方言無陽平調，古陽平字讀成陽去調113。
3704,孩,ɦ,e,113,陽去,寧波方言無陽平調，古陽平字讀成陽去調113。
3726,獃,ŋ,e,113,陽去,同「呆」。寧波方言無陽平調，古陽平字讀成陽去調113。
6191,抓,ts,o,52,陰平,
6545,佗,tʰ,a,52,陰平,
6546,他,tʰ,a,52,陰平,
6731,茄,dʑ,ia,113,陽去,寧波方言無陽平調，古陽平字讀成陽去調113。
6744,麻,m,o,113,陽去,"寧波方言無陽平調,古陽平字多併入陽去調"
6752,車,tsʰ,o,52,陰平,
6754,奢,s,o,52,陰平,
6755,賖,s,o,52,陰平,
6770,遮,ts,o,52,陰平,
6786,蛇,dz,o,113,陽去,"寧波方言無陽平調,古全濁平聲字併入陽去調"
6786,蛇,z,o,113,陽去,
6787,虵,z,o,113,陽去,
6787,虵,dz,o,113,陽去,"寧波方言無陽平調,古全濁平聲字併入陽去調"
6818,拏,n,a,113,陽去,
6818,拏,ʔn,o,52,陰平,
6828,家,tɕ,ia,52,陰平,
6828,家,k,o,52,陰平,
6856,霞,ʔ,ia,52,陰平,
