字號,字,聲母,韻母,調值,調類,備註
1,東,t,aŋ,33,陰平,
1,東,t,oŋ,33,陰平,"白,文"
2,菄,t,oŋ,33,陰平,
2,菄,t,aŋ,33,陰平,"白,文"
18,同,t,aŋ,55,陽平,
18,同,t,oŋ,55,陽平,"白,文"
19,仝,t,aŋ,55,陽平,"白,文"
19,仝,t,oŋ,55,陽平,
22,銅,t,aŋ,55,陽平,
23,桐,tʰ,aŋ,55,陽平,"白,文"
23,桐,tʰ,oŋ,55,陽平,
28,筒,t,aŋ,55,陽平,
63,中,t,ioŋ,33,陰平,當中
65,忠,t,ioŋ,33,陰平,
67,蟲,tʰ,ioŋ,55,陽平,
67,蟲,tʰ,aŋ,55,陽平,"白,文"
75,終,ts,ioŋ,33,陰平,
93,崇,tsʰ,oŋ,55,陽平,
94,崈,tsʰ,oŋ,55,陽平,
113,狨,z,ioŋ,55,陽平,
114,絨,z,ioŋ,55,陽平,
115,弓,k,ioŋ,33,陰平,
119,宮,k,ioŋ,33,陰平,
121,融,l,oŋ,55,陽平,
122,融,l,oŋ,55,陽平,
125,雄,h,ioŋ,55,陽平,
126,熊,h,im,55,陽平,
140,窮,k,ioŋ,55,陽平,
143,馮,pʰ,aŋ,33,陰平,
150,風,h,uaŋ,33,陰平,
150,風,h,oŋ,33,陰平,"白,文"
151,飌,h,oŋ,33,陰平,
165,充,tsʰ,ioŋ,33,陰平,
172,隆,l,oŋ,55,陽平,
178,空,kʰ,aŋ,33,陰平,
178,空,kʰ,oŋ,33,陰平,"白,文"
192,公,k,aŋ,33,陰平,"白,文"
192,公,k,oŋ,33,陰平,
194,工,k,aŋ,33,陰平,
205,蒙,m,o,55,陽平,
240,聾,l,aŋ,55,陽平,
262,紅,0,aŋ,55,陽平,"白,文"
262,紅,h,oŋ,55,陽平,
265,鴻,h,oŋ,55,陽平,
287,翁,0,oŋ,33,陰平,
297,葱,tsʰ,aŋ,33,陰平,
300,聦,tsʰ,oŋ,33,陰平,
310,通,tʰ,oŋ,33,陰平,"白,文"
310,通,tʰ,aŋ,33,陰平,
327,騣,ts,aŋ,33,陰平,
341,蓬,pʰ,oŋ,55,陽平,
343,篷,pʰ,oŋ,55,陽平,
343,篷,pʰ,aŋ,55,陽平,"白,文"
361,冬,t,aŋ,33,陰平,"白,文"
361,冬,t,oŋ,33,陰平,
362,𡘬,t,aŋ,33,陰平,"白,文"
362,𡘬,t,oŋ,33,陰平,
401,農,l,oŋ,55,陽平,
402,䢉,l,oŋ,55,陽平,
403,辳,l,oŋ,55,陽平,
404,𨑋,l,oŋ,55,陽平,
411,𧗕,n,aŋ,55,陽平,"白,文"
411,𧗕,l,aŋ,55,陽平,
412,膿,l,aŋ,55,陽平,
412,膿,n,aŋ,55,陽平,"白,文"
422,宗,ts,oŋ,33,陰平,
424,鬆,s,aŋ,33,陰平,
424,鬆,s,oŋ,33,陰平,"白,文;蓬鬆"
425,䯳,s,oŋ,33,陰平,
425,䯳,s,aŋ,33,陰平,"白,文;蓬鬆"
428,鐘,ts,ioŋ,33,陰平,
445,龍,l,ioŋ,55,陽平,
454,舂,ts,eŋ,33,陰平,
460,松,s,eŋ,55,陽平,
460,松,s,ioŋ,55,陽平,"白,文;松樹"
461,㮤,s,ioŋ,55,陽平,
461,㮤,s,eŋ,55,陽平,"白,文;松樹"
553,重,t,ioŋ,55,陽平,重複
571,縫,pʰ,oŋ,55,陽平,"白,文;縫衣"
571,縫,h,oŋ,55,陽平,
578,峯,h,oŋ,33,陰平,
584,蠭,h,oŋ,33,陰平,
584,蠭,pʰ,aŋ,33,陰平,"白,文"
585,蜂,h,oŋ,33,陰平,
585,蜂,pʰ,aŋ,33,陰平,"白,文"
586,𧒒,pʰ,aŋ,33,陰平,"白,文"
586,𧒒,h,oŋ,33,陰平,
595,縱,tsʰ,ioŋ,55,陽平,縱橫
652,從,tsʰ,ioŋ,55,陽平,從容
664,江,k,aŋ,33,陰平,
665,扛,k,ŋ,33,陰平,
698,䆫,tʰ,ioŋ,33,陰平,
699,牎,tʰ,ioŋ,33,陰平,
700,窓,tʰ,ioŋ,33,陰平,
706,邦,p,aŋ,33,陰平,
707,𤰫,p,aŋ,33,陰平,
712,降,h,aŋ,55,陽平,降伏
713,缸,k,ŋ,33,陰平,
725,雙,s,aŋ,33,陰平,
732,龐,pʰ,aŋ,55,陽平,
742,腔,kʰ,iõ,33,陰平,
779,枝,k,i,33,陰平,
801,移,0,i,55,陽平,
802,䄬,0,i,55,陽平,
833,爲,0,ui,55,陽平,作為
834,為,0,ui,55,陽平,作為
841,𪎮,h,ui,33,陰平,
842,麾,h,ui,33,陰平,
858,糜,m,ue,55,陽平,粥
879,𡍮,s,ui,11,陽平,
880,垂,s,ui,55,陽平,
891,吹,tsʰ,ue,33,陰平,
908,碑,p,i,33,陰平,
917,隨,s,ui,55,陽平,
920,虧,kʰ,ui,33,陰平,
923,奇,kʰ,i,55,陽平,
923,奇,kʰ,ia,33,陰平,"白,文"
925,騎,kʰ,ia,55,陽平,
992,儀,ŋ,i,55,陽平,
993,𥫃,̃ŋ,i,55,陽平,
999,皮,pʰ,ue,55,陽平,
1000,疲,pʰ,i,55,陽平,
1018,兒,z,i,55,陽平,
1019,𠒆,z,i,55,陽平,
1107,脾,p,i,55,陽平,"白,文"
1107,脾,pʰ,i,55,陽平,
1121,施,s,i,33,陰平,
1131,斯,s,u,33,陰平,
1188,雌,tsʰ,u,55,陽平,
1193,知,ts,i,33,陰平,"白,文"
1193,知,t,ai,33,陰平,
1212,池,t,i,55,陽平,
1225,危,0,ui,55,陽平,
1251,規,k,ui,33,陰平,
1288,姨,0,i,55,陽平,
1314,師,s,u,33,陰平,
1318,獅,s,ai,33,陰平,
1344,資,ts,u,33,陰平,
1358,飢,k,i,33,陰平,
1393,瓷,tsʰ,u,33,陰平,
1398,尼,n,i,55,陽平,
1410,遲,t,i,55,陽平,
1411,遟,t,i,55,陽平,
1421,私,s,u,33,陰平,
1428,屍,s,i,33,陰平,
1439,鰭,k,i,55,陽平,
1441,伊,0,i,33,陰平,
1446,棃,l,i,55,陽平,
1446,棃,l,ai,55,陽平,"白,文"
1447,梨,l,i,55,陽平,"白,文"
1447,梨,l,ai,55,陽平,
1468,追,t,ui,33,陰平,
1471,龜,k,u,33,陰平,
1472,龜,k,u,33,陰平,
1473,𠃾,k,u,33,陰平,
1484,衰,s,ue,33,陰平,
1490,遺,0,ui,55,陽平,
1525,逵,kʰ,ui,55,陽平,
1544,眉,b,ai,55,陽平,
1545,睂,b,ai,55,陽平,
1565,悲,p,i,33,陰平,
1566,錐,ts,ui,33,陰平,
1630,之,ts,u,33,陰平,
1661,時,s,i,55,陽平,
1662,旹,s,i,55,陽平,
1668,疑,ɡ,i,55,陽平,
1671,思,s,u,33,陰平,
1672,恖,s,u,33,陰平,
1673,司,s,u,33,陰平,
1690,旗,k,i,55,陽平,
1704,棊,k,i,55,陽平,
