字號,字,聲母,韻母,調值,調類,備註
1,東,t,əŋ,24,陰平,
2,菄,t,əŋ,24,陰平,
18,同,tʰ,əŋ,13,陽平,
19,仝,tʰ,əŋ,13,陽平,
20,童,tʰ,əŋ,13,陽平,
22,銅,tʰ,əŋ,13,陽平,
23,桐,tʰ,əŋ,13,陽平,
28,筒,tʰ,əŋ,13,陽平,
29,瞳,tʰ,əŋ,13,陽平,
63,中,tʂ,aŋ,24,陰平,
65,忠,tʂ,aŋ,24,陰平,
67,蟲,tʂʰ,aŋ,24,陰平,
75,終,tʂ,aŋ,24,陰平,
93,崇,tsʰ,əŋ,13,陽平,
94,崈,tsʰ,əŋ,13,陽平,
97,嵩,s,əŋ,24,陰平,
98,崧,s,əŋ,24,陰平,
106,戎,0,iəŋ,13,陽平,
107,𢦦,0,iəŋ,13,陽平,
113,狨,0,iəŋ,13,陽平,
114,絨,0,iəŋ,13,陽平,
115,弓,tɕ,iəŋ,24,陰平,
119,宮,tɕ,iəŋ,24,陰平,
121,融,0,iəŋ,13,陽平,
122,融,0,iəŋ,13,陽平,
125,雄,ɕ,iəŋ,13,陽平,
126,熊,ɕ,iəŋ,13,陽平,
140,窮,tɕʰ,iəŋ,13,陽平,
143,馮,f,əŋ,13,陽平,
150,風,f,əŋ,24,陰平,
151,飌,f,əŋ,24,陰平,
152,楓,f,əŋ,24,陰平,
157,豐,f,əŋ,24,陰平,
165,充,tʂʰ,aŋ,24,陰平,
172,隆,l,əŋ,13,陽平,
178,空,kʰ,aŋ,24,陰平,
192,公,k,aŋ,24,陰平,
193,功,ts,aŋ,24,,
193,功,k,ɔ,53,,
194,工,k,aŋ,24,陰平,
196,蚣,k,aŋ,24,陰平,
200,攻,k,aŋ,24,陰平,
205,蒙,m,əŋ,24,,
205,蒙,m,əŋ,13,,"～住,"
232,籠,l,əŋ,24,,
232,籠,l,əŋ,13,,"雞～,蒸～"
240,聾,l,əŋ,24,陰平,
259,洪,f,əŋ,13,陽平,
262,紅,f,əŋ,13,陽平,
265,鴻,f,əŋ,13,陽平,
282,叢,tsʰ,əŋ,13,陽平,
283,藂,tsʰ,əŋ,13,陽平,
287,翁,v,əŋ,24,陰平,
300,聦,tsʰ,əŋ,24,陰平,
305,囪,tsʰ,əŋ,24,陰平,
310,通,tʰ,əŋ,24,陰平,
326,椶,ts,əŋ,24,陰平,
327,騣,ts,əŋ,24,陰平,
341,蓬,pʰ,əŋ,13,陽平,
343,篷,pʰ,əŋ,13,陽平,
351,烘,f,əŋ,24,陰平,
361,冬,t,əŋ,24,陰平,
362,𡘬,t,əŋ,24,陰平,
401,農,n,əŋ,13,陽平,
402,䢉,n,əŋ,13,陽平,
403,辳,n,əŋ,13,陽平,
404,𨑋,n,əŋ,13,陽平,
411,𧗕,n,əŋ,13,陽平,
412,膿,n,əŋ,13,陽平,
422,宗,ts,əŋ,24,陰平,
427,鍾,tʂ,aŋ,24,陰平,
428,鐘,tʂ,aŋ,24,陰平,
445,龍,l,iəŋ,13,陽平,
454,舂,ʂ,aŋ,24,陰平,
460,松,tsʰ,iəŋ,24,陽平,
460,松,s,əŋ,13,陰平,
461,㮤,tsʰ,əŋ,24,陰平,
461,㮤,s,iəŋ,13,陽平,
475,容,0,iəŋ,13,陽平,
493,蓉,0,iəŋ,13,陽平,
510,封,f,əŋ,24,陰平,
511,𡉚,f,əŋ,24,陰平,
515,胷,ɕ,iəŋ,24,陰平,
516,凶,ɕ,iəŋ,24,陰平,
517,𣧑,ɕ,iəŋ,24,陰平,
530,雍,0,iəŋ,24,陰平,
547,濃,n,iəŋ,13,陽平,
553,重,tʂʰ,aŋ,24,陰平,
570,逢,f,əŋ,13,陽平,
571,縫,f,əŋ,13,陽平,
578,峯,f,əŋ,24,陰平,
579,鋒,f,əŋ,24,陰平,
584,蠭,f,əŋ,24,陰平,
585,蜂,f,əŋ,24,陰平,
586,𧒒,f,əŋ,24,陰平,
604,茸,0,iəŋ,13,陽平,
635,供,tɕ,iəŋ,24,陰平,
664,江,k,ɔŋ,24,陰平,
665,扛,k,ɔŋ,24,陰平,
670,豇,k,ɔŋ,24,陰平,
706,邦,p,ɔŋ,24,陰平,
707,𤰫,p,ɔŋ,24,陰平,
713,缸,k,ɔŋ,24,陰平,
714,瓨,k,ɔŋ,24,陰平,
725,雙,s,əŋ,24,陰平,
801,移,0,i,13,陽平,
802,䄬,0,i,13,陽平,
833,爲,v,i,13,去聲,
833,爲,v,i,53,陽平,
834,為,v,i,53,陽平,
834,為,v,i,13,去聲,
841,𪎮,f,i,24,陰平,
842,麾,f,i,24,陰平,
858,糜,m,i,13,陽平,
877,錘,tʂʰ,ɔi,13,陽平,
891,吹,tʂʰ,ɔi,24,陰平,
892,炊,tʂʰ,ɔi,24,陰平,
897,披,pʰ,i,24,陰平,
908,碑,p,i,24,陰平,
917,隨,s,i,13,陽平,
920,虧,kʰ,ui,24,陰平,
921,闚,kʰ,ui,24,陰平,
922,窺,kʰ,ui,24,陰平,
923,奇,tɕʰ,i,13,陽平,
925,騎,tɕʰ,i,13,陽平,
936,岐,tɕʰ,i,13,陽平,
959,犧,ɕ,i,24,陰平,
988,宜,n,i,13,陽平,
989,宐,n,i,13,陽平,
990,𡪀,n,i,13,陽平,
991,𡨆,n,i,13,陽平,
992,儀,n,i,13,陽平,
993,𥫃,n,i,13,陽平,
999,皮,pʰ,i,13,陽平,
1000,疲,pʰ,i,13,陽平,
1018,兒,0,ə,13,陽平,
1019,𠒆,0,ə,13,陽平,
1022,離,l,i,13,陽平,
1023,籬,l,i,13,陽平,
1026,璃,l,i,13,陽平,
1059,疵,tsʰ,ɿ,24,陰平,
1093,卑,p,i,24,陰平,
1107,脾,pʰ,i,13,陽平,
1131,斯,s,ɿ,24,陰平,
1136,廝,s,ɿ,24,陰平,
1137,㒋,s,ɿ,24,陰平,
1171,彌,m,i,13,陽平,
1172,𢏏,m,i,13,陽平,
1188,雌,tsʰ,ɿ,24,陰平,
1193,知,tʂ,ʅ,24,陰平,
1194,䵹,tʂ,ʅ,24,陰平,
1195,鼅,tʂ,ʅ,24,陰平,
1196,蜘,tʂ,ʅ,24,陰平,
1210,馳,tʂʰ,ʅ,13,陽平,
1212,池,tʂʰ,ʅ,13,陽平,
1225,危,v,i,13,陽平,
1251,規,k,ui,24,陰平,
1278,脂,tʂ,ʅ,24,陰平,
1288,姨,0,i,13,陽平,
1291,夷,0,i,13,陽平,
1314,師,s,ɿ,24,陰平,
1317,篩,s,ai,24,陰平,
1318,獅,s,ɿ,24,陰平,
1323,琵,pʰ,i,13,陽平,
1333,枇,pʰ,i,13,陽平,
1343,咨,ts,ɿ,24,陰平,
1350,姿,ts,ɿ,24,陰平,
1358,飢,tɕ,i,24,陰平,
1360,肌,tɕ,i,24,陰平,
1388,餈,tsʰ,ɿ,13,陽平,
1389,𩜴,tsʰ,ɿ,13,陽平,
1393,瓷,tsʰ,ɿ,13,陽平,
1398,尼,n,i,13,陽平,
1410,遲,tʂʰ,ʅ,13,陽平,
1411,遟,tʂʰ,ʅ,13,陽平,
1421,私,s,ɿ,24,陰平,
1426,尸,ʂ,ʅ,24,陰平,
1428,屍,ʂ,ʅ,24,陰平,
1437,祁,tɕʰ,i,13,陽平,
1439,鰭,tɕʰ,i,13,陽平,
1441,伊,0,i,24,陰平,
1446,棃,l,i,13,陽平,
1447,梨,l,i,13,陽平,
1460,葵,kʰ,ui,13,陽平,
1471,龜,k,ui,24,陰平,
1472,龜,k,ui,24,陰平,
1473,𠃾,k,ui,24,陰平,
1484,衰,s,ɔi,24,陰平,
1487,惟,v,i,13,陽平,
1489,維,v,i,13,陽平,
1513,綏,s,i,24,陰平,
1514,雖,s,i,24,陰平,
1525,逵,kʰ,ui,13,陽平,
1544,眉,m,i,13,陽平,
1545,睂,m,i,13,陽平,
1565,悲,p,i,24,陰平,
1630,之,tʂ,ʅ,24,陰平,
1632,芝,tʂ,ʅ,24,陰平,
1633,㞢,tʂ,ʅ,24,陰平,
1634,飴,0,i,13,陽平,
1635,𩛛,0,i,13,陽平,
1636,䬮,0,i,13,陽平,
1661,時,ʂ,ʅ,13,陽平,
1662,旹,ʂ,ʅ,13,陽平,
1668,疑,n,i,13,陽平,
1671,思,s,ɿ,24,陰平,
1672,恖,s,ɿ,24,陰平,
1673,司,s,ɿ,24,陰平,
1676,絲,s,ɿ,24,陰平,
1688,其,tɕʰ,i,13,陽平,
1689,期,tɕʰ,i,13,陽平,
1704,棊,tɕʰ,i,13,陽平,
1705,櫀,tɕʰ,i,13,陽平,
1706,碁,tɕʰ,i,13,陽平,
1718,詩,ʂ,ʅ,24,陰平,
1724,而,0,ə,13,陽平,
1745,欺,tɕʰ,i,24,陰平,
1759,基,tɕ,i,24,陰平,
1768,詞,tsʰ,ɿ,13,陽平,
1769,祠,tsʰ,ɿ,13,陽平,
1771,辭,tsʰ,ɿ,13,陽平,
1772,辤,tsʰ,ɿ,13,陽平,
1773,辝,tsʰ,ɿ,13,陽平,
1776,貍,l,i,13,陽平,
1777,狸,l,i,13,陽平,
1801,輜,ts,ɿ,24,陰平,
1813,嬉,ɕ,i,24,陰平,
1825,醫,0,i,24,陰平,
1826,毉,0,i,24,陰平,
1831,癡,tʂʰ,ʅ,24,陰平,
1834,痴,tʂʰ,ʅ,24,陰平,
1839,嗤,tʂʰ,ʅ,24,陰平,
1845,慈,tsʰ,ɿ,13,陽平,
1846,礠,tsʰ,ɿ,13,陽平,
1849,茲,ts,ɿ,24,陰平,
1850,茲,ts,ɿ,24,陰平,
1854,滋,ts,ɿ,24,陰平,
1876,揮,f,i,24,陰平,
1877,煇,f,i,24,陰平,
1878,輝,,i,24,陰平,
1880,徽,f,i,24,陰平,
1893,圍,v,i,13,陽平,
1896,違,v,i,13,陽平,
1906,妃,f,i,24,陰平,
1914,飛,f,i,24,陰平,
1918,非,f,i,24,陰平,
1925,肥,f,i,13,陽平,
1937,威,v,i,24,陰平,
1965,機,tɕ,i,24,陰平,
1966,譏,tɕ,i,24,陰平,
1974,幾,tɕ,i,21,上聲,
1993,依,0,i,24,陰平,
1995,衣,0,i,24,陰平,
2005,歸,k,ui,24,陰平,
2006,㱕,k,ui,24,陰平,
2020,初,tsʰ,ɿ,24,陰平,
2022,書,ʂ,u,24,陰平,
2025,舒,ʂ,u,24,陰平,
2029,居,k,ui,24,陰平,
2036,車,k,ui,24,陰平,
2043,渠,tɕ,i,24,陰平,
2073,餘,v,i,13,陽平,
2118,蛆,tsʰ,i,24,陰平,
2125,鉏,tsʰ,ɿ,13,陽平,
2126,鋤,tsʰ,ɿ,13,陽平,
2135,疏,s,ɿ,24,陰平,
2136,梳,s,ɿ,24,陰平,
2138,蔬,s,ɿ,24,陰平,
2146,虛,ɕ,i,24,陰平,
2152,徐,tsʰ,i,13,陽平,
2156,於,v,i,13,陽平,
2156,於,v,i,24,陰平,
2157,扵,v,i,13,陽平,
2157,扵,v,i,24,陰平,
2159,淤,v,i,24,陰平,
2161,豬,tʂ,u,24,陰平,
2162,䐗,tʂ,u,24,陰平,
2163,猪,tʂ,u,24,陰平,
2170,廬,l,u,13,陽平,
2184,諸,tʂ,u,24,陰平,
2191,除,tsʰ,u,13,陽平,
2193,儲,tsʰ,u,13,陽平,
2219,墟,ɕ,i,24,陰平,
2244,愚,n,i,13,陽平,
2245,娛,n,i,13,陽平,
2264,無,m,au,13,陽平,
2264,無,v,u,13,陽平,
2269,誣,v,u,13,陽平,
2270,巫,v,u,13,陽平,
2288,盂,v,i,13,陽平,
2378,須,s,i,24,陰平,
2386,需,s,i,24,陰平,
2392,株,tʂ,u,24,陰平,
2393,誅,tʂ,u,24,陰平,
2405,殊,ʂ,u,53,去聲,
2430,愉,v,i,13,陽平,
2439,榆,v,i,13,陽平,
2462,區,kʰ,ui,24,陰平,
2464,驅,kʰ,ui,24,陰平,
2465,敺,kʰ,ui,24,陰平,
2470,朱,tʂ,u,24,陰平,
2471,珠,tʂ,u,24,陰平,
2479,硃,tʂ,u,24,陰平,
2500,扶,pʰ,u,13,陽平,
2501,𢻳,pʰ,u,13,陽平,
2502,芙,f,u,13,陽平,
2503,符,pʰ,u,13,陽平,
2527,雛,tsʰ,ɿ,13,陽平,
2527,雛,tsʰ,u,13,陽平,
2528,鶵,tsʰ,u,13,陽平,
2528,鶵,tsʰ,ɿ,13,陽平,
2532,敷,f,u,24,陰平,
2541,俘,f,u,24,陰平,
2547,孵,pʰ,u,53,去聲,
2577,膚,f,u,24,陰平,
2578,肤,f,u,24,陰平,
2587,夫,f,u,24,陰平,
2603,迂,v,i,24,陰平,
2608,輸,ʂ,u,24,陰平,
