字號,字,聲母,韻母,調值,調類,備註
772,支,ts,i,33,陰平,
772,支,k,i,33,陰平,
779,枝,k,i,33,陰平,
783,肢,ts,i,33,陰平,
801,移,0,i,24,陽平,
834,為,0,ui,24,陽平,作為。
849,萎,0,ui,55,上聲,
858,糜,b,ue,24,陽平,
858,糜,b,e,24,陽平,
858,糜,b,i,24,陽平,
858,糜,m,ɪ̃,55,上聲,文讀，文讀，糜爛，粥也。
877,錘,tʰ,ui,24,陽平,
877,錘,t,ui,24,陽平,
880,垂,s,ui,24,陽平,
880,垂,s,e,24,陽平,
891,吹,tsʰ,ui,33,陰平,文讀，白讀。
891,吹,tsʰ,e,33,陰平,
892,炊,tsʰ,e,33,陰平,
892,炊,tsʰ,ui,33,陰平,文讀，白讀。
897,披,pʰ,i,33,陰平,
908,碑,p,i,33,陰平,
917,隨,s,ui,24,陽平,
918,隋,s,ui,24,陽平,
920,虧,kʰ,ui,33,陰平,
922,窺,kʰ,ui,33,陰平,
923,奇,k,i,24,陽平,
925,騎,k,i,24,陽平,
925,騎,kʰ,ia,24,陽平,
936,岐,k,i,24,陽平,
948,芪,k,i,24,陽平,
959,犧,h,i,33,陰平,
977,㩻,kʰ,i,33,陰平,~頭。原書作「欹」。
981,崎,k,ia,24,陽平,地名。
988,宜,g,i,24,陽平,
992,儀,g,i,24,陽平,
999,皮,pʰ,e,24,陽平,
999,皮,pʰ,i,24,陽平,
1000,疲,pʰ,i,24,陽平,
1008,匙,s,i,24,陽平,
1018,兒,l,i,24,陽平,
1022,離,l,i,24,陽平,
1023,籬,l,i,24,陽平,
1026,璃,l,e,24,陽平,
1089,奇,kʰ,ia,33,陰平,箸奇、鞋奇讀音亦同。
1093,卑,p,i,33,陰平,
1097,裨,p,i,33,陰平,
1107,脾,pʰ,i,24,陽平,
1107,脾,p,i,24,陽平,
1121,施,s,i,33,陰平,
1131,斯,s,i,33,陰平,
1171,彌,m,ɪ̃,24,陽平,
1187,瀰,m,ɪ̃,55,上聲,
1193,知,ts,ai,33,陰平,
1193,知,t,i,33,陰平,
1196,蜘,t,i,33,陰平,
1210,馳,t,i,24,陽平,
1212,池,t,i,24,陽平,
1225,危,h,ui,24,陽平,
1225,危,g,ui,24,陽平,
1232,簁,s,ai,33,陰平,
1251,規,k,ui,33,陰平,
1278,脂,ts,i,33,陰平,
1288,姨,0,i,24,陽平,
1291,夷,0,i,24,陽平,
1314,師,s,ai,33,陰平,師傅。
1318,獅,s,ai,33,陰平,
1323,琵,p,i,24,陽平,
1333,枇,p,i,24,陽平,
1343,咨,ts,i,33,陰平,
1344,資,ts,i,33,陰平,
1350,姿,ts,i,33,陰平,
1358,飢,k,i,33,陰平,
1360,肌,k,i,33,陰平,
1388,餈,ts,i,24,陽平,
1398,尼,n,ɪ̃,24,陽平,
1399,柅,n,ɪ̃,33,陰平,樹柅：橡膠。
1403,呢,n,ɪ̃,33,陰平,
1403,呢,n,ɪ̃,24,陽平,呢制服，單字讀。
1410,遲,t,i,24,陽平,
1421,私,s,i,33,陰平,文讀，私骹。
1421,私,s,ai,33,陰平,
1426,尸,s,i,33,陰平,
1428,屍,s,i,33,陰平,
1437,祁,k,i,24,陽平,
1439,鰭,k,i,24,陽平,
1441,伊,0,i,33,陰平,
1447,梨,l,e,24,陽平,
1460,葵,k,ui,24,陽平,
1468,追,t,ui,33,陰平,
1471,龜,k,ui,33,陰平,
1484,衰,s,ue,33,陰平,
1487,惟,0,ui,24,陽平,
1489,維,0,i,24,陽平,
1490,遺,0,ui,24,陽平,
1497,唯,0,ui,24,陽平,
1513,綏,s,ui,33,陰平,
1514,雖,s,ui,33,陰平,
1525,逵,k,ui,24,陽平,
1544,眉,b,i,24,陽平,
1550,楣,b,i,24,陽平,
1565,悲,p,i,33,陰平,
1566,錐,ts,ui,33,陰平,
1567,隹,ts,ui,33,陰平,
1574,誰,s,ui,24,陽平,
1577,帷,0,ui,24,陽平,
1584,丕,pʰ,i,33,陰平,
1604,槌,t,ui,24,陽平,動詞，名詞。
1604,槌,tʰ,ui,24,陽平,
1630,之,ts,i,33,陰平,
1632,芝,ts,i,33,陰平,
1634,飴,0,i,24,陽平,
1637,怡,0,i,24,陽平,
1645,貽,0,i,24,陽平,
1661,時,s,i,24,陽平,
1668,疑,g,i,24,陽平,
1671,思,s,i,33,陰平,
1673,司,s,i,33,陰平,
1676,絲,s,i,33,陰平,
1688,其,k,i,24,陽平,
1690,旗,k,i,24,陽平,
1696,蜝,kʰ,i,24,陽平,
1705,櫀,k,i,24,陽平,
1718,詩,s,i,33,陰平,
1724,而,l,i,24,陽平,
1745,欺,kʰ,i,33,陰平,
1756,姬,k,i,33,陰平,
1759,基,k,i,33,陰平,
1760,箕,k,i,33,陰平,
1768,詞,s,i,24,陽平,
1769,祠,s,i,24,陽平,
1771,辭,s,i,24,陽平,
1775,釐,l,i,24,陽平,
1777,狸,l,i,24,陽平,
1812,熙,h,i,33,陰平,
1813,嬉,h,i,33,陰平,
1820,熹,h,i,33,陰平,
1825,醫,0,i,33,陰平,
1831,癡,tsʰ,i,33,陰平,
1834,痴,tsʰ,i,33,陰平,
1838,蚩,tsʰ,i,33,陰平,
1839,嗤,tsʰ,i,33,陰平,
1868,微,b,i,24,陽平,
1876,揮,h,ui,33,陰平,
1878,輝,h,ui,33,陰平,
1879,暉,h,ui,33,陰平,
1880,徽,h,ui,33,陰平,
1891,韋,0,ui,55,上聲,
1893,圍,0,ui,24,陽平,
1896,違,0,ui,24,陽平,
1906,妃,h,ui,33,陰平,
1907,菲,h,ui,33,陰平,
1914,飛,p,e,33,陰平,
1914,飛,h,ui,33,陰平,文讀，白讀。
1918,非,h,ui,33,陰平,
1925,肥,p,ui,24,陽平,
1937,威,0,ui,33,陰平,
1945,祈,k,i,24,陽平,
1965,機,k,ui,33,陰平,織布機。
1981,希,h,i,33,陰平,
1986,稀,h,i,33,陰平,
1993,依,0,i,33,陰平,
1995,衣,0,ui,33,陰平,
1995,衣,0,i,33,陰平,文讀，胞衣。
2003,巍,g,ui,31,去聲,
2005,歸,k,ui,33,陰平,
2010,魚,h,i,24,陽平,
2012,漁,h,i,24,陽平,
2020,初,tsʰ,ue,33,陰平,
2022,書,s,u,33,陰平,
2022,書,s,i,33,陰平,
2025,舒,s,i,33,陰平,
2029,居,k,i,33,陰平,
2036,車,k,i,33,陰平,
2043,渠,k,i,24,陽平,
2069,余,0,i,24,陽平,
2073,餘,0,i,24,陽平,
2118,蛆,tsʰ,i,33,陰平,
2126,鋤,tʰ,i,24,陽平,
2126,鋤,t,i,24,陽平,鋤頭，鋤草。
2135,疏,s,ue,33,陰平,
2135,疏,s,ɔ,33,陰平,文讀，白讀。
2136,梳,s,ue,33,陰平,
2138,蔬,s,ue,33,陰平,
2138,蔬,s,ɔ,33,陰平,文讀，白讀。
2146,虛,h,i,33,陰平,
2149,噓,h,i,33,陰平,
2152,徐,s,i,24,陽平,
2156,於,0,i,33,陰平,
2159,淤,0,i,33,陰平,
2161,豬,t,i,33,陰平,
2170,廬,l,ɔ,24,陽平,
2173,驢,l,i,24,陽平,
2184,諸,ts,i,33,陰平,
2191,除,t,i,24,陽平,
2193,儲,tʰ,i,55,上聲,聲調不合規則。
2204,如,l,i,24,陽平,
2211,茹,l,i,24,陽平,絲亂。
2219,墟,h,i,33,陰平,
2235,𧄔,ts,i,24,陽平,原書作「薯」。
2242,虞,g,u,24,陽平,
2244,愚,g,u,24,陽平,
2244,愚,h,u,33,陰平,
2245,娛,g,u,24,陽平,
2264,無,b,u,24,陽平,文讀，白讀。
2264,無,b,o,24,陽平,
2269,誣,b,u,24,陽平,
2345,瞿,kʰ,u,24,陽平,
2362,儒,l,u,24,陽平,
2378,須,s,u,33,陰平,
2379,鬚,tsʰ,iu,33,陰平,
2379,鬚,s,u,33,陰平,
2386,需,s,u,33,陰平,
2392,株,ts,u,33,陰平,
2393,誅,t,u,33,陰平,
2405,殊,s,u,24,陽平,
2408,茱,ts,u,33,陰平,
2417,逾,l,u,24,陽平,
2428,俞,l,u,24,陽平,
2430,愉,l,u,24,陽平,
2439,榆,l,u,24,陽平,
2462,區,kʰ,u,33,陰平,
2464,驅,kʰ,u,33,陰平,
2467,軀,kʰ,u,33,陰平,
2470,朱,ts,u,33,陰平,
2471,珠,ts,iu,33,陰平,
2471,珠,ts,u,33,陰平,文讀，目珠：眼睛(原書作「目周」)。
2472,侏,ts,u,33,陰平,
2479,硃,ts,u,33,陰平,
2480,趨,tsʰ,u,33,陰平,
2500,扶,pʰ,ɔ,24,陽平,
2500,扶,h,u,24,陽平,文讀，扶坦：巴結。
2502,芙,h,u,24,陽平,
2502,芙,pʰ,u,24,陽平,
2503,符,h,u,24,陽平,
2527,雛,tsʰ,u,24,陽平,
2533,麩,pʰ,ɔ,33,陰平,麥麩頭麩。
2535,孚,h,u,24,陽平,
2541,俘,h,u,24,陽平,
2587,夫,p,ɔ,33,陰平,
2587,夫,h,u,33,陰平,文讀，姐夫。
2603,迂,0,u,33,陰平,
2608,輸,s,u,33,陰平,
2616,廚,t,u,24,陽平,
2621,拘,k,u,33,陰平,
2622,駒,k,u,33,陰平,
2629,跔,k,iu,33,陰平,縮回。
2631,俱,k,u,33,陰平,
2640,模,b,ɔ,24,陽平,
2642,摸,b,ɔ,33,陰平,
2657,菩,pʰ,ɔ,24,陽平,
2659,蒲,p,ɔ,24,陽平,
2662,胡,0,ɔ,24,陽平,
2665,壺,0,ɔ,24,陽平,
2670,湖,0,,24,陽平,
2677,糊,k,ɔ,24,陽平,
2677,糊,kʰ,ɔ,24,陽平,
2683,葫,h,ɔ,24,陽平,
2692,孤,k,ɔ,33,陰平,
2694,菰,k,ɔ,33,陰平,
2697,姑,k,ɔ,33,陰平,
2708,沽,k,ɔ,33,陰平,
2717,箍,kʰ,ɔ,33,陰平,
2721,徒,t,ɔ,24,陽平,
2723,屠,t,ɔ,55,上聲,
2725,塗,tʰ,ɔ,24,陽平,
2725,塗,t,ɔ,24,陽平,文讀，泥土。
2735,圖,t,ɔ,24,陽平,
2752,奴,l,ɔ,24,陽平,
2757,孥,l,ɔ,24,陽平,阿孥。
2759,呼,h,ɔ,33,陰平,
2776,吾,g,ɔ,24,陽平,
2780,吳,g,ɔ,24,陽平,
2780,吳,ŋ,ɔ̃,24,陽平,
2786,蜈,g,ɔ,24,陽平,
2792,梧,g,ɔ,24,陽平,
2797,租,ts,ɔ,33,陰平,
2799,盧,l,ɔ,24,陽平,
2803,蘆,l,ɔ,24,陽平,
2806,鱸,l,ue,33,陰平,
2817,爐,l,ɔ,24,陽平,
2833,蘇,s,ɔ,33,陰平,
2842,烏,0,ɔ,33,陰平,
2866,晡,p,ɔ,33,陰平,暗晡：午後。
2893,粗,tsʰ,ɔ,33,陰平,
2906,都,t,ɔ,33,陰平,
2914,鋪,pʰ,ɔ,33,陰平,床鋪。
2925,齊,ts,ue,24,陽平,
2925,齊,ts,e,24,陽平,
2926,臍,ts,ai,24,陽平,
2934,黎,l,e,24,陽平,
2935,犂,l,ue,24,陽平,
2935,犂,l,e,24,陽平,
2955,妻,tsʰ,e,33,陰平,
2955,妻,tsʰ,ue,33,陰平,
2965,低,t,e,33,陰平,
2974,堤,tʰ,e,24,陽平,文讀，堤笊籬：圍籬笆。
2974,堤,t,ue,24,陽平,
2987,䬫,t,e,33,陰平,
2990,啼,tʰ,e,24,陽平,
2990,啼,tʰ,i,24,陽平,
2993,蹄,t,ue,24,陽平,
2995,提,tʰ,e,24,陽平,
3000,題,t,ue,24,陽平,
3054,蓖,p,i,33,陰平,
3066,雞,k,e,33,陰平,
3066,雞,k,ue,33,陰平,
3068,稽,kʰ,e,33,陰平,
3076,奚,h,e,24,陽平,
3090,兮,h,e,24,陽平,
3106,倪,g,ue,24,陽平,
3130,西,s,e,33,陰平,文讀，白讀。
3130,西,s,ai,33,陰平,
3136,犀,s,e,33,陰平,文讀，白讀。
3136,犀,s,ai,33,陰平,
3138,撕,s,i,33,陰平,
3146,梯,tʰ,ui,33,陰平,
3167,批,pʰ,ue,33,陰平,
3185,迷,b,e,24,陽平,
3191,泥,n,ɪ̃,24,陽平,
3191,泥,l,e,24,陽平,
3197,溪,kʰ,e,33,陰平,文讀，白讀。
3197,溪,kʰ,ue,33,陰平,
3207,閨,k,ui,33,陰平,
3220,奎,k,ue,33,陰平,
3263,佳,k,a,33,陰平,
3264,街,k,ue,33,陰平,
3264,街,k,e,33,陰平,文讀，白讀。
3267,膎,k,ue,24,陽平,鹹膎、膎脯讀音亦同。原書作「鮭」。
3269,鞋,0,ue,24,陽平,
3273,牌,p,ai,24,陽平,
3287,蛙,0,ua,33,陰平,
3303,釵,tsʰ,ai,33,陰平,文讀，白讀。
3303,釵,tʰ,ue,33,陰平,
3310,差,tsʰ,ai,33,陰平,
3312,竵,0,uai,33,陰平,
3319,崖,g,ai,24,陽平,
3320,涯,g,ai,24,陽平,
3341,皆,k,ai,33,陰平,
3346,階,k,ai,33,陰平,
3361,諧,h,ai,33,陰平,
3370,排,p,ai,24,陽平,
3376,乖,k,uai,33,陰平,
3380,懷,h,uai,24,陽平,
3383,槐,h,uai,24,陽平,
3388,淮,h,uai,24,陽平,
3404,埋,b,ai,24,陽平,
3404,埋,t,ai,24,陽平,
3432,灰,h,e,33,陰平,
3432,灰,h,ue,33,陰平,文讀，白讀。
3438,恢,h,ue,33,陰平,文讀，白讀。
3438,恢,kʰ,ue,33,陰平,
3439,詼,kʰ,ue,33,陰平,
3439,詼,h,ue,33,陰平,文讀，白讀。
3441,魁,kʰ,ue,33,陰平,
3445,盔,kʰ,ue,33,陰平,
3457,回,h,e,24,陽平,
3457,回,h,ue,24,陽平,文讀，白讀。
3459,迴,h,ue,24,陽平,
3469,茴,h,ue,24,陽平,
3471,梅,m,uɪ̃,24,陽平,
3472,媒,m,uɪ̃,24,陽平,
3474,煤,m,uɪ̃,24,陽平,
3495,雷,l,ui,24,陽平,
3504,鐳,l,ui,33,陰平,
3504,鐳,l,ui,24,陽平,文讀，銅板錢。
3509,頹,t,ue,24,陽平,
3521,崔,tsʰ,ui,33,陰平,
3522,催,tsʰ,ui,33,陰平,
3523,縗,s,ui,33,陰平,
3531,堆,t,ui,33,陰平,
3548,摧,tsʰ,ue,24,陽平,拖行。
3553,裴,p,ue,24,陽平,
3555,培,p,e,24,陽平,
3555,培,p,ue,24,陽平,文讀，培土。
3556,陪,p,ue,24,陽平,
3562,𤗏,p,ue,33,陰平,竹~。
3566,杯,p,ue,33,陰平,
3568,肧,pʰ,i,33,陰平,文讀，白讀。
3568,肧,pʰ,e,33,陰平,
3569,坏,pʰ,i,33,陰平,文讀，白讀。
3569,坏,pʰ,e,33,陰平,
3585,推,tʰ,e,33,陰平,
