字號,字,聲母,韻母,調值,調類,備註
67,蟲,tʂʰ,ɐŋ,55,陽平,
113,狨,ȵ,iɐŋ,55,陽平,
114,絨,ȵ,iɐŋ,55,陽平,
115,弓,tɕ,iɐŋ,11,陰平,
125,雄,ɕ,iɐŋ,42,上聲,
157,豐,f,ɐŋ,11,陰平,
165,充,tʂʰ,ɐŋ,11,陰平,
192,公,k,ɐŋ,11,陰平,
262,紅,x,ɐŋ,55,陽平,
287,翁,0,ŋ̩,11,陰平,
297,葱,tsʰ,ɐŋ,11,陰平,
310,通,tʰ,ɐŋ,11,陰平,
343,篷,pʰ,ɐŋ,55,陽平,
361,冬,t,ɐŋ,11,陰平,
362,𡘬,t,ɐŋ,11,陰平,
424,鬆,s,ɐŋ,11,陰平,鬆緊。
425,䯳,s,ɐŋ,11,陰平,鬆緊。
428,鐘,tʂ,ɐŋ,11,陰平,
445,龍,n,ɐŋ,55,陽平,
460,松,tsʰ,ɐŋ,55,陽平,松樹。
461,㮤,tsʰ,ɐŋ,55,陽平,松樹。
547,濃,n,ɐŋ,55,陽平,
584,蠭,f,ɐŋ,11,陰平,
585,蜂,f,ɐŋ,11,陰平,
586,𧒒,f,ɐŋ,11,陰平,
633,恭,tɕ,iɐŋ,11,陰平,
698,䆫,tʂʰ,ũɐ̆,11,陰平,
699,牎,tʂʰ,ũɐ̆,11,陰平,
700,窓,tʂʰ,ũɐ̆,11,陰平,
706,邦,p,ũɐ̆,11,陰平,
707,𤰫,p,ũɐ̆,11,陰平,
725,雙,ʂ,ũɐ̆,11,陰平,
772,支,tʂ,i,11,陰平,
891,吹,tɕʰ,y,11,陰平,
908,碑,p,i,11,陰平,
925,騎,tɕʰ,i,55,陽平,
959,犧,ɕ,i,11,陰平,
999,皮,pʰ,i,55,陽平,
1018,兒,0,ɚ,55,陽平,
1019,𠒆,0,ɚ,55,陽平,
1193,知,tʂ,i,11,陰平,
1225,危,0,uei,55,陽平,
1288,姨,0,i,55,陽平,
1314,師,s,ɿ,11,陰平,
1317,篩,ɕ,ia,11,陰平,篩子。
1344,資,tʂ,i,11,陰平,
1358,飢,tɕ,i,11,陰平,
1410,遲,tʂʰ,i,55,陽平,
1411,遟,tʂʰ,i,55,陽平,
1460,葵,tɕʰ,y,55,陽平,
1468,追,tɕ,y,11,陰平,
1471,龜,k,uei,11,陰平,
1472,龜,k,uei,11,陰平,
1473,𠃾,k,uei,11,陰平,
1484,衰,ɕ,yɐ̆,11,陰平,
1514,雖,s,y,11,陰平,
1718,詩,ɕ,i,11,陰平,
1759,基,tɕ,i,11,陰平,
1825,醫,0,i,11,陰平,
1826,毉,0,i,11,陰平,
1880,徽,k,uei,11,陰平,
1914,飛,f,i,11,陰平,
1925,肥,f,i,55,陽平,
1986,稀,ɕ,i,11,陰平,
1995,衣,0,i,11,陰平,
2010,魚,ȵ,y,55,陽平,
2011,𩺰,ȵ,y,55,陽平,
2020,初,tsʰ,u,11,陰平,
2022,書,ɕ,y,11,陰平,
2029,居,tɕ,y,11,陰平,
2069,余,0,y,55,陽平,節余。
2118,蛆,tsʰ,y,11,陰平,
2125,鉏,tɕʰ,y,55,陽平,
2126,鋤,tɕʰ,y,55,陽平,
2152,徐,tsʰ,y,55,陽平,
2161,豬,tɕ,y,11,陰平,
2162,䐗,tɕ,y,11,陰平,
2163,猪,tɕ,y,11,陰平,
2191,除,tɕʰ,y,55,陽平,
2204,如,0,y,55,陽平,
2378,須,s,y,11,陰平,
2833,蘇,s,u,11,陰平,
2888,麁,tsʰ,u,11,陰平,
2893,粗,tsʰ,u,11,陰平,
2935,犂,l,iɐ̆,55,陽平,
2936,𤛿,l,iɐ̆,55,陽平,
2955,妻,tsʰ,iɐ̆,11,陰平,
3066,雞,tɕ,iɐ̆,11,陰平,
3067,鷄,tɕ,iɐ̆,11,陰平,
3146,梯,tʰ,iɐ̆,11,陰平,
3191,泥,ȵ,iɐ̆,55,陽平,
3192,埿,ȵ,iɐ̆,55,陽平,
3264,街,k,a,11,陰平,
3268,鞵,x,a,55,陽平,
3269,鞋,x,a,55,陽平,
3273,牌,p,a,55,陽平,
3295,柴,tɕʰ,ia,55,陽平,
3355,街,k,a,11,陰平,
3368,鞋,x,a,55,陽平,
