字號,字,聲母,韻母,調值,調類,備註
1,東,t,əŋ,44,陰平,
2,菄,t,əŋ,44,陰平,
22,銅,h,əŋ,13,陽平,
22,銅,tʰ,əŋ,13,陽平,
63,中,tɕ,yŋ,44,陰平,中間。
67,蟲,tɕʰ,yŋ,13,陽平,
113,狨,0,yŋ,13,陽平,
114,絨,0,yŋ,13,陽平,
115,弓,k,uŋ,44,陰平,
126,熊,ɕ,yŋ,13,陽平,
140,窮,tɕʰ,yŋ,13,陽平,
143,馮,h,uŋ,13,陽平,
150,風,h,uŋ,44,陰平,
151,飌,h,uŋ,44,陰平,
178,空,kʰ,əŋ,44,陰平,空虛。
192,公,k,əŋ,44,陰平,
205,蒙,m,əŋ,13,陽平,蒙古、蒙住讀音亦同。
232,籠,n,əŋ,13,陽平,雞籠、蒸籠讀音亦同。
240,聾,n,əŋ,13,陽平,
262,紅,h,uŋ,13,陽平,
287,翁,0,uŋ,44,陰平,
297,葱,tsʰ,əŋ,44,陰平,
310,通,h,əŋ,44,陰平,
326,椶,ts,əŋ,44,陰平,
343,篷,p,əŋ,13,陽平,
361,冬,t,əŋ,44,陰平,
362,𡘬,t,əŋ,44,陰平,
401,農,n,əŋ,13,陽平,
402,䢉,n,əŋ,13,陽平,
403,辳,n,əŋ,13,陽平,
404,𨑋,n,əŋ,13,陽平,
422,宗,ts,əŋ,44,陰平,
424,鬆,s,əŋ,44,陰平,輕鬆。
425,䯳,s,əŋ,44,陰平,輕鬆。
428,鐘,tɕ,yŋ,44,陰平,
445,龍,n,əŋ,13,陽平,
454,舂,tɕʰ,yŋ,44,陰平,舂米。
460,松,s,əŋ,44,陰平,松樹。
461,㮤,s,əŋ,44,陰平,松樹。
464,𧘂,tɕʰ,yŋ,44,陰平,
465,衝,tɕʰ,yŋ,44,陰平,
475,容,0,yŋ,13,陽平,
510,封,h,uŋ,44,陰平,
511,𡉚,h,uŋ,44,陰平,
515,胷,ɕ,yŋ,44,陰平,
516,凶,ɕ,yŋ,44,陰平,
517,𣧑,ɕ,yŋ,44,陰平,
547,濃,n,əŋ,13,陽平,
553,重,tɕʰ,yŋ,13,陽平,重複。
571,縫,h,uŋ,13,陽平,縫衣。
635,供,k,uŋ,22,去聲,供應。
652,從,tsʰ,əŋ,13,陽平,
664,江,k,ɔ̃,44,陰平,
698,䆫,tsʰ,ɔ̃,44,陰平,
699,牎,tsʰ,ɔ̃,44,陰平,
700,窓,tsʰ,ɔ̃,44,陰平,
725,雙,s,ɔ̃,44,陰平,
765,樁,ts,ɔ̃,44,陰平,
772,支,ts,ɿ,44,陰平,
877,錘,tɕʰ,y,13,陽平,
891,吹,tɕʰ,y,44,陰平,
897,披,pʰ,i,44,陰平,
908,碑,p,i,44,陰平,
917,隨,ɕ,iu,13,陽平,
920,虧,kʰ,uœ,44,陰平,
999,皮,pʰ,i,13,陽平,
1018,兒,0,ɜ,13,陽平,
1019,𠒆,0,ɜ,13,陽平,
1023,籬,l,i,13,陽平,
1193,知,ts,ɿ,44,陰平,
1251,規,k,uœ,44,陰平,
1358,飢,tɕ,i,44,陰平,
1421,私,s,ɿ,44,陰平,
1446,棃,l,i,13,陽平,
1447,梨,l,i,13,陽平,
1471,龜,k,uœ,44,陰平,
1472,龜,k,uœ,44,陰平,
1473,𠃾,k,uœ,44,陰平,
1484,衰,ɕ,y,44,陰平,
1489,維,0,uœ,13,陽平,
1565,悲,p,i,44,陰平,
1661,時,s,ɿ,13,陽平,
1662,旹,s,ɿ,13,陽平,
