字號,字,聲母,韻母,調值,調類,備註
1,東,t,uŋ,44,陰平,
2,菄,t,uŋ,44,陰平,
22,銅,tʰ,uŋ,24,陽平2,
63,中,ts,uŋ,44,陰平,中間。
67,蟲,tsʰ,uŋ,35,陽平1,
113,狨,l,uŋ,35,陽平1,
114,絨,l,uŋ,35,陽平1,
115,弓,k,uŋ,44,陰平,
126,熊,ɕ,yŋ,35,陽平1,
140,窮,tɕʰ,yŋ,213,上聲,
143,馮,f,uŋ,35,陽平1,
150,風,ɸ,uŋ,44,陰平,
151,飌,ɸ,uŋ,44,陰平,
178,空,k,uŋ,44,陰平,空虛。
192,公,k,uŋ,44,陰平,
205,蒙,m,uŋ,35,陽平1,蒙古
205,蒙,m,uŋ,44,陰平,蒙住。
232,籠,l,uŋ,35,陽平1,雞籠、蒸籠讀音亦同。
240,聾,l,uŋ,44,陰平,
262,紅,ɸ,uŋ,35,陽平1,
287,翁,0,uŋ,44,陰平,
297,葱,tsʰ,uŋ,44,陰平,
310,通,tʰ,uŋ,44,陰平,
326,椶,ts,uŋ,44,陰平,
343,篷,pʰ,uŋ,213,上聲,
361,冬,t,uŋ,44,陰平,
362,𡘬,t,uŋ,44,陰平,
401,農,l,uŋ,35,陽平1,
402,䢉,l,uŋ,35,陽平1,
403,辳,l,uŋ,35,陽平1,
404,𨑋,l,uŋ,35,陽平1,
422,宗,ts,uŋ,44,陰平,
424,鬆,s,uŋ,44,陰平,輕鬆。
425,䯳,s,uŋ,44,陰平,輕鬆。
428,鐘,ts,uŋ,44,陰平,
445,龍,l,yŋ,35,陽平1,
454,舂,ts,uŋ,44,陰平,舂米。
460,松,ɕ,yŋ,44,陰平,松樹。
461,㮤,ɕ,yŋ,44,陰平,松樹。
464,𧘂,tsʰ,uŋ,44,陰平,
465,衝,tsʰ,uŋ,44,陰平,
475,容,0,yŋ,35,陽平1,
510,封,ɸ,uŋ,44,陰平,
511,𡉚,ɸ,uŋ,44,陰平,
515,胷,ɕ,yŋ,44,陰平,
516,凶,ɕ,yŋ,44,陰平,
517,𣧑,ɕ,yŋ,44,陰平,
547,濃,l,uŋ,35,陽平1,
553,重,tsʰ,uŋ,24,陽平2,重複。
571,縫,ɸ,uŋ,35,陽平1,縫衣。
635,供,tɕ,yŋ,44,陰平,供應。
652,從,tsʰ,uŋ,35,陽平1,
664,江,k,ɔŋ,44,陰平,
698,䆫,tsʰ,ɔŋ,44,陰平,
699,牎,tsʰ,ɔŋ,44,陰平,
700,窓,tsʰ,ɔŋ,44,陰平,
725,雙,s,ɔŋ,44,陰平,
765,樁,ts,ɔŋ,44,陰平,
772,支,ts,ɿ,44,陰平,
877,錘,tsʰ,uɨi,24,陽平2,
891,吹,tsʰ,uɨi,44,陰平,
897,披,pʰ,i,44,陰平,
908,碑,p,i,44,陰平,
917,隨,s,uɨi,24,陽平2,
920,虧,kʰ,uɨi,44,陰平,
999,皮,pʰ,i,24,陽平2,
1018,兒,0,ɵ,35,陽平1,
1019,𠒆,0,ɵ,35,陽平1,
1023,籬,l,i,35,陽平1,
1193,知,ts,ɿ,44,陰平,文讀
1193,知,tɕ,i,44,陰平,白讀。
1251,規,k,uɨi,44,陰平,
1358,飢,tɕ,i,44,陰平,
1421,私,s,ɿ,44,陰平,
1446,棃,l,i,24,陽平2,
1447,梨,l,i,24,陽平2,
1471,龜,k,uɨi,44,陰平,
1472,龜,k,uɨi,44,陰平,
1473,𠃾,k,uɨi,44,陰平,
1484,衰,s,ai,44,陰平,
1489,維,0,uɨi,35,陽平1,
1565,悲,p,i,44,陰平,
1661,時,ɕ,i,24,陽平2,
1662,旹,ɕ,i,24,陽平2,
1668,疑,ȵ,i,35,陽平1,
1690,旗,tɕʰ,i,24,陽平2,
1724,而,0,ɵ,24,陽平2,
1745,欺,tɕʰ,i,44,陰平,
1759,基,tɕ,i,44,陰平,
1876,揮,ɸ,ɨi,44,陰平,
1914,飛,ɸ,ɨi,44,陰平,
1925,肥,ɸ,ɨi,35,陽平1,
1965,機,tɕ,i,44,陽平2,
1974,幾,tɕ,i,213,上聲,
1995,衣,0,i,44,陰平,
2005,歸,k,uɨi,44,陰平,
2006,㱕,k,uɨi,44,陰平,
2010,魚,ȵ,ie,35,陽平1,
2011,𩺰,ȵ,ie,35,陽平1,
2022,書,s,ɿ,44,陰平,
2036,車,tsʰ,a,44,陰平,車馬炮。
2043,渠,tɕʰ,ie,213,上聲,他。
2069,余,0,i,35,陽平1,
2118,蛆,tɕʰ,i,44,陰平,
2125,鉏,tsʰ,u,24,陽平2,
2126,鋤,tsʰ,u,24,陽平2,
2136,梳,s,u,44,陰平,
2146,虛,ɕ,i,44,陰平,
2152,徐,ɕ,i,35,陽平1,
2161,豬,ts,ɿ,44,陰平,
2162,䐗,ts,ɿ,44,陰平,
2163,猪,ts,ɿ,44,陰平,
2191,除,tsʰ,ɿ,24,陽平2,
2378,須,ɕ,i,35,陽平1,
2462,區,tɕʰ,i,44,陰平,
2470,朱,ts,ɿ,44,陰平,
2500,扶,ɸ,u,24,陽平2,
2501,𢻳,ɸ,u,24,陽平2,
2503,符,ɸ,u,35,陽平1,
2587,夫,ɸ,u,44,陰平,
2608,輸,s,ɿ,44,陰平,
2616,廚,tsʰ,ɿ,24,陽平2,
2640,模,m,u,35,陽平1,模子。
2641,橅,m,u,35,陽平1,模子。
2662,胡,ɸ,u,35,陽平1,
2780,吳,0,u,35,陽平1,
2797,租,ts,u,44,陰平,
2817,爐,l,u,35,陽平1,
2842,烏,0,u,44,陰平,
2887,麤,tsʰ,u,44,陰平,
2888,麁,tsʰ,u,44,陰平,
2891,觕,tsʰ,u,44,陰平,
2893,粗,tsʰ,u,44,陰平,
2925,齊,tɕʰ,i,24,陽平2,
2935,犂,l,i,35,陽平1,
2936,𤛿,l,i,35,陽平1,
2965,低,t,i,44,陰平,
3066,雞,tɕ,i,44,陰平,
3067,鷄,tɕ,i,44,陰平,
3130,西,ɕ,i,44,陰平,
3131,卤,ɕ,i,44,陰平,
3132,卥,ɕ,i,44,陰平,
3146,梯,tɕ,i,44,陰平,
3191,泥,ȵ,i,35,陽平1,
3192,埿,ȵ,i,35,陽平1,
3195,谿,tɕʰ,i,44,陰平,
3196,嵠,tɕʰ,i,44,陰平,
3197,溪,tɕʰ,i,44,陰平,
3198,磎,tɕʰ,i,44,陰平,
3220,奎,kʰ,ui,24,陽平2,
3263,佳,k,a,44,陰平,
3264,街,k,ai,44,陰平,
3268,鞵,h,ai,24,陽平2,
3269,鞋,h,ai,24,陽平2,
3287,蛙,0,ua,44,陰平,
3288,鼃,0,ua,44,陰平,
3295,柴,tsʰ,ai,24,陽平2,
3346,階,k,ai,44,陰平,
3351,堦,k,ai,44,陰平,
3355,街,k,ai,44,陰平,
3360,𢰇,ŋ,ai,44,陰平,
3368,鞋,h,ai,24,陽平2,
3370,排,pʰ,ai,35,陽平1,
3376,乖,k,uai,44,陰平,
3377,𦮃,k,uai,44,陰平,
3388,淮,ɸ,uai,35,陽平1,
3404,埋,m,ai,35,陽平1,
3418,揩,h,ai,44,陰平,
3432,灰,ɸ,ɨi,44,陰平,
3457,回,ɸ,ɨi,35,陽平1,
3471,梅,m,i,35,陽平1,
3531,堆,t,i,44,陰平,
3565,桮,p,i,44,陰平,
3566,杯,p,i,44,陰平,
3567,盃,p,i,44,陰平,
3585,推,tʰ,i,44,陰平,
3598,開,h,ei,44,陰平,
3603,哀,ŋ,ai,44,陰平,
3624,該,k,ei,44,陰平,
3647,財,tsʰ,ai,24,陽平2,
3654,來,l,ei,35,陽平1,
3683,栽,ts,ai,44,陰平,
3700,台,tʰ,ai,24,陽平2,
3733,真,tɕ,in,44,陰平,
3776,新,ɕ,in,44,陰平,
3795,神,ɕ,in,35,陽平1,
3797,親,tɕʰ,in,44,陰平,
3798,寴,tɕʰ,in,44,陰平,
3799,𡪔,tɕʰ,in,44,陰平,
3815,身,ɕ,in,44,陰平,
3819,賓,p,in,44,陰平,
3820,𧶉,p,in,44,陰平,
3839,鱗,l,in,35,陽平1,
3860,陳,tɕʰ,in,24,陽平2,
3861,敶,tɕʰ,in,24,陽平2,
3958,貧,pʰ,in,24,陽平2,
3959,𡧋,pʰ,in,24,陽平2,
3980,民,m,in,35,陽平1,
4065,遵,tɕ,in,44,陰平,
4070,春,tsʰ,ɨn,44,陰平,
4141,蟁,m,ɨn,35,陽平1,
4142,蚊,m,ɨn,35,陽平1,
4143,䘇,m,ɨn,35,陽平1,
4150,雲,0,in,35,陽平1,
4219,分,ɸ,un,44,陰平,
4226,帬,tɕʰ,in,24,陽平2,
4227,裠,tɕʰ,in,24,陽平2,
4243,軍,tɕ,in,44,陰平,
4273,勤,tɕʰ,in,24,陽平2,
4282,斤,tɕ,in,44,陰平,
4298,元,ȵ,yɵn,35,陽平1,
4374,飜,ɸ,an,44,陰平,
4375,翻,ɸ,an,44,陰平,
4405,冤,0,yɵn,44,陰平,
4422,言,ȵ,iɛn,35,陽平1,
4467,渾,ɸ,un,24,陽平2,
4503,溫,0,un,44,陰平,
4515,門,m,ɨn,35,陽平1,
4534,尊,tɕ,in,44,陰平,
4535,罇,tɕ,in,44,陰平,
4536,樽,tɕ,in,44,陰平,
4580,村,tsʰ,ɨn,44,陰平,
4604,昏,ɸ,un,44,陰平,
4615,痕,h,ɛn,24,陽平2,
4619,根,k,iɛn,44,陰平,
4623,恩,ŋ,ɛn,44,陰平,
4626,吞,tʰ,ɛn,44,陰平,
4630,寒,h,ɵn,24,陽平2,
4645,單,t,an,44,陰平,
4655,安,ŋ,an,44,陰平,
4660,難,l,an,35,陽平1,難易。
4661,𪅀,l,an,35,陽平1,難易。
4662,𩁢,l,an,35,陽平1,難易。
4663,𩁚,l,an,35,陽平1,難易。
4664,餐,tsʰ,an,44,陰平,
4665,湌,tsʰ,an,44,陰平,
4673,攤,tʰ,an,44,陰平,
4687,彈,tʰ,an,24,陽平2,彈琴。
4708,肝,k,ɵn,44,陰平,
4720,蘭,l,an,35,陽平1,
4743,完,0,uɵn,35,陽平1,
4783,端,t,ɵn,44,陰平,
4808,酸,s,ɵn,44,陰平,
4813,團,tʰ,ɵn,24,陽平2,
4834,官,k,uɵn,44,陰平,
4858,歡,ɸ,uɵn,44,陰平,
4859,懽,ɸ,uɵn,44,陰平,
4871,寬,kʰ,uɵn,44,陰平,
4879,槃,pʰ,ɵn,24,陽平2,
4880,盤,pʰ,ɵn,24,陽平2,
4881,鎜,pʰ,ɵn,24,陽平2,
4882,柈,pʰ,ɵn,24,陽平2,
4926,潘,pʰ,ɵn,44,陰平,
4933,般,p,ɵn,44,陰平,
4941,關,k,uan,44,陰平,姓、關門讀音亦同。
4942,関,k,uan,44,陰平,姓、關門讀音亦同。
4947,彎,0,uan,44,陰平,
4952,𣠯,s,ɵn,44,陰平,
4953,還,0,uan,35,陽平1,歸還。
4973,班,p,an,44,陰平,
4993,顏,ŋ,an,35,陽平1,
